ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,Niya est une Sylvar chargée de veiller sur les graines sauvages de son bosquet. Vous l’avez rencontrée alors que son bosquet moribond était abandonné à son triste sort afin que son anima puisse être réutilisé ailleurs. C’est en voyageant à vos côtés qu’elle a découvert la dure réalité de la survie en ces temps de pénurie. Les compétences de cette chasseresse et pisteuse hors pair contribueront à endiguer la pénurie et à éliminer les autres menaces qui pèsent sur Sylvarden.,1,95232,1030,5312,0,6,171896
2,"D’un naturel impassible et serein, Tisse-Rêves est passé maître dans l’exploration des rêves des esprits de la nature qui sommeillent dans les graines sauvages de la forêt en attendant leur renaissance. Il vous a $gaidé:aidée; à nouer des liens avec une graine sauvage dont l’esprit cherchait désespérément à communiquer. Il met également ses pouvoirs de guérison au service de Sylvarden, assiégée par des forces extérieures.",2,94430,1029,5313,1,7,171898
3,"Le général Draven a servi Revendreth des siècles durant en tant que commandant de la Légion de pierre. Toujours en première ligne, ce guerrier au sens de l’honneur sans faille est prêt à se battre jusqu’à son dernier souffle, sans jamais abandonner le moindre soldat. Quand Denathrius a choisi le camp du Geôlier, Draven s’est rangé du côté du prince rebelle Rénathal. À ses yeux, Revendreth passe toujours en priorité.",3,92399,1031,5314,2,11,171889
4,"Génie aussi excentrique que brillant, Marileth a créé certaines des potions les plus puissantes de Maldraxxus. La destruction de la maison de la Peste lui a malheureusement fait perdre la tête. Le catalyseur de peste et ses solutions originales se sont révélés indispensables à l’effort de guerre… malgré quelques effets secondaires inattendus.",4,94122,1035,5315,0,3,171890
5,"Si le corps d’Éméni a été assemblé dans la Rapiècerie de Maldraxxus, elle était de son vivant une noble célèbre pour avoir assassiné des centaines de ses frères et sœurs dans la course au trône. Elle respecte la force et le talent que vous avez déployés pour exterminer vos ennemis mutuels. En liant son âme à celle $gdu:de la; Sans-Entraves, cette figure légendaire verra sa renommée atteindre de nouveaux sommets.",5,93825,1036,5316,1,4,171892
7,"Chasseresse de l’Hallali, Korayn est un chef déterminé doublé d’une farouche combattante. Chargée de protéger la forêt contre les menaces les plus dangereuses et insaisissables, elle n’aura de cesse d’éliminer sa proie pour assurer la sécurité de Sylvarden. Quand le creux Hibernal a été assiégé, son charisme et sa détermination ont largement contribué à la victoire de son camp.",6,95248,1037,5317,2,8,171899
9,"Aspirant du Bastion, Pélagos s’entraîne sans relâche en vue de son ascension malgré les défis qui se dressent sur sa route. Tout comme Kléia, son autre âme liée, il s’associe rapidement à vous en vue d’obtenir une audience auprès de l’Archonte pour combattre les désavoués. Bien que ses épreuves soient placées sous le signe du doute et des souvenirs de sa vie passée, Pélagos ne se départit jamais d’une gaieté et d’un optimisme à toute épreuve.",7,94137,1039,5318,0,0,171883
10,"Apprentie du Primat en personne, la forge-os Heirmir est l’une des âmes mortelles les plus anciennes de Maldraxxus. Elle a appris au fil des siècles à forger des armes en combinant os et acier. Son arsenal vous permet, ainsi qu’à la maison des Élus, de ne jamais manquer d’armes face aux ennemis qui vous entourent.",10,96102,1038,5319,2,5,171894
11,"Kléia, une Kyriane transcendée, a fait votre connaissance alors qu’elle n’était encore qu’une aspirante. Elle a prouvé à son âme liée Pélagos, ainsi qu’au reste des Kyrians, sa détermination à surmonter les épreuves auxquelles ils étaient confrontés. Mentor bienveillante pour Pélagos et pour vous-même, elle fera tout son possible pour protéger ses amis et le Bastion dans son ensemble.",13,94873,1040,5320,1,1,171885
12,"Mikanikos, régisseur du Bastion de son état, s’est rapidement distingué avant de se hisser au rang de premier forgelite. On lui doit notamment bon nombre des créations les plus emblématiques du Bastion. Jugeant $gle:la; Sans-Entraves $gprometteur:prometteuse;, il s’est allié à vous pour enrayer la pénurie d’anima et combattre les menaces qui pèsent sur le royaume.",18,96348,1041,5322,2,2,171886
14,"Avide de nouvelles expériences, Nadjia, qui se targue d’être la plus grande duelliste de tous les temps, ne supporte pas la routine. Quand il y a du grabuge, elle se retrouve toujours au cœur de l’action. Elle est prête à mettre ses compétences au service de Revendreth, sous votre commandement et pour son plus grand plaisir.",8,93210,1042,5327,0,9,171887
15,"La folie n’excuse pas les mauvaises manières ! Banni des cercles aristocratiques traditionnels, Théotar a fondé sa propre cour de parias pour le seul plaisir de colporter des ragots. Que ce soit pour imprégner sa théière favorite d’une puissante magie ou pour animer des purotins afin de porter son parasol, cet excentrique se sert de l’incroyable pouvoir de Revendreth de façon toute personnelle.",9,93223,1043,5328,1,10,171888
