ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,Akunda de l’Akunda,,1
4,Akunda de l’Omniscience,,1
5,Akunda de l’Anxiété,,1
6,Akunda de la Ruse,,1
7,Akunda de la Perplexité,,1
8,Akunda de la Cruauté,,1
9,Akunda de l’Ingéniosité,,1
10,Akunda des Condamnés,,1
11,Akunda de la Timidité,,1
12,Akunda de l’Excentricité,,1
13,Akunda de l’Enthousiasme,,1
14,Akunda de la Complicité,,1
15,Akunda de l’Etourderie,,1
16,Akunda de la Loyauté,,1
17,Akunda de l’Inconscience,,1
18,Akunda de l’Originalité,,1
19,Akunda de la Frustration,,1
20,Akunda de la Repentance,,1
21,Akunda de la Renommée,,1
22,Akunda de la Déférence,,1
23,Akunda de l’Opulence,,1
24,Akunda de la Singularité,,1
25,Akunda de la Détermination,,1
26,Mordragon rassasié,,1
27,Droozen,,1
28,Ghaanam,,1
29,Thoodhon,,1
30,Vernin,,1
31,Pryyshin,,1
32,Flaadym,,1
33,Khaalum,,1
34,Maagrym,,1
35,Thogro le Dévoreur,,0
36,Khemkan la Sans-pitié,,0
37,Xzzikti le Déserteur,,0
38,Colère figée,,1
39,Peur figée,,1
40,Solitude figée,,1
41,Amertume figée,,1
42,Souffrance figée,,1
43,Doute figé,,1
44,Peine figée,,1
45,Deuil figé,,1
46,Inquiétude figée,,1
47,Chagrin figé,,1
48,Haine croissante,,1
49,Terreur croissante,,1
50,Isolation croissante,,1
51,Désespoir croissant,,1
52,Agonie croissante,,1
53,Tourment croissant,,1
54,Aiguillonneur illusoire,,0
55,Sabrecroc illusoire,,0
56,Marteleur illusoire,,0
57,Béhémoth illusoire,,0
58,Manifestation de la peur,,0
59,Pallaval le Partial,,0
60,Trikidi la Sanglante,,0
61,Zii Gii Tii la Fanatique,,0
62,Lilizzinnk l’Obscène,,0
63,Boppe le Honteux,,0
64,Vortophe l’Innommable,,0
65,Jonapa l’Opulente,,0
66,Maynard,,0
67,Le chasseur cornu,,0
68,Grande prêtresse Sélénis,,0
69,Krok McBouftête,,0
70,Yu’gaz,,0
71,Réginald,,0
72,Pikpik,,0
73,Muscle,,1
74,Zill’kie l’Arrache-monde,,0
75,Moungo le roi-soleil,,0
76,Disciple du courage,,0
77,Rathborne,,0
78,Thultaïn,,0
79,Mal’endra,,0
80,Fel’endaë,,0
81,Mondain terrorisé,,0
82,Image miroir,,1
83,Arcaniste voilé,,0
84,Manifestation de l’orgueil,,0
85,Manifestation d’arrogance,,0
86,Manifestation de fatuité,,0
87,Manifestation d’égoïsme,,0
88,Manifestation de narcissisme,,0
89,Manifestation d’égocentrisme,,0
90,Manifestation de paranoïa,,0
91,Tibo,,0
92,Kimos,,0
93,Ilapos,,0
94,Bumos,,0
95,Dintos,,0
96,Gramilos,,0
97,Isilios,,0
98,Abalus,,0
99,Ipadipos,,0
100,Pico,,0
101,Haka,,0
102,Dafi,,0
103,Thima,,0
104,Arathane,,0
105,Syla,,0
106,Farra,,0
107,Korinthe,,0
108,Aséllia,,0
109,Minta,,0
110,Laratis,,0
111,Bola,,0
112,Apa,,0
113,Deka,,0
114,Koukis,,0
115,Akiris,,0
116,Ipa,,0
117,Toulis,,0
118,Zenza,,0
119,Chærmi,,0
120,Mupu,,0
121,Aspirant déchu,,0
122,Spectateur,,0
123,Fardeau de vie,,0
124,Croisé d’argent,,1
125,Invité assoiffé,,0
126,Invité affamé,,0
127,Villageois de Tirna Scithe,,0
128,Zombie infectieux,,1
129,Aspirant déchu Éolis,,0
130,Écorcheur d’âme emprisonné,,0
131,Rage expulsée,,0
132,Fureur expulsée,,0
133,Courroux expulsé,,0
134,Haine expulsée,,0
135,Colère expulsée,,0
136,Inimitié expulsée,,0
137,Malveillance expulsée,,0
138,Rancune expulsée,,0
139,Gourmandise expulsée,,0
140,Faim expulsée,,0
141,Indulgence expulsée,,0
142,Convoitise expulsée,,0
144,Écho passager,,0
145,Souvenir fuyant,,0
146,Reflet errant,,0
147,Vestige évanescent,,0
148,Liriana,,0
149,Ordefort,,0
150,Lorra des Tisseurs,,0
151,Borial Iosa,,0
152,Raxxat,,0
153,Bravalat,,0
154,Ramorra,,0
155,Toloria des Ardents,,0
156,Majar’Ta,,0
157,Sagesse du Rhoula,,0
158,Courroux du Rhoula,,0
159,Pénitence du Rhoula,,0
160,Virielle,,0
161,R’ty’ghn,,0
162,Loret Ty’mana,,0
163,Uima Uima,,0
164,Limao Yuna,,0
165,Sawo des Anciens,,0
166,Malice l’Agile,,0
167,Bassilion Quash,,0
168,Jassa Ruash,,0
169,Jasslina,,0
170,Jassona,,0
171,Brilla la Prodigue,,0
172,Gur de la Lame,,0
173,Craignos le Sournois,,0
174,Havan du Tivan,,0
175,Galooft Eir,,0
176,Rashtar le Sage,,0
177,Roh Brillétoile,,0
178,Rih Brillétoile,,0
179,Mystérion de l’Amour,,0
180,Polron le Grand,,0
181,Reska des Humbles,,0
182,Jar Lom,,0
183,Vénérable Harrish de Xel,,0
184,Radsur de la Guerre,,0
185,Fioni Portespoir,,0
186,Seigneur du ciel Thienna,,0
187,Seigneur du ciel Vastuk,,0
188,Mystérion du Destin,,0
189,Aoifena la Bienveillante,,0
190,Largéna Brise-Volonté,,0
191,Lessa du Cœur,,0
192,Gop des Favi,,0
193,Larian Sombrâme,,0
194,Kasha Âme-Oracle,,0
195,Giléan des Traditions,,0
196,Forrida de la Dévotion,,0
197,Étranger camouflé,,0
198,Rogi,,0
199,Grail,,0
200,Chiko,,0
201,Ferro,,0
202,Plouk,,0
203,Bouborlin de la Bourbignère III,,0
204,Belvy,,0
205,Wustur,,0
206,Canaï,,0
207,Egor,,0
208,Puroval,,0
209,Vairgus,,0
210,Colem,,0
211,Récho,,0
212,Vazar,,0
213,Dobb,,0
214,Plumo,,0
215,Sansou,,0
216,Fred,,0
217,Rakaï,,0
218,Catalyseur de feuilles temporelles,,0
219,Catalyseur de fleur-de-nuit sauvage,,0
220,Catalyseur de grain de racine sauvage,,0
221,Chantier de quai de pêche,,0
222,Quai de pêche,,0
224,Margrave Draka,,1
225,Âme digne,,0
226,Fa’bul,,1
227,Bo’bar,,1
228,Si’mul,,1
229,Tru’kaj,,1
230,Fa’dez,,1
231,Sa’lad,,1
232,Rat de l’Antre soumis,,0
233,Entraveur antrelige renforcé,,0
234,Jouet à mâcher antrelige,,0
235,Combattante val’kyr digne,,0
236,Marchedroit Kalisthène,,0
237,Client culotté,,0
238,Farceur fébrile,,0
239,Investisseur invétéré,,0
240,Enchérisseur entêté,,0
241,Expert excessif,,0
242,Marchandeur méprisant,,0
243,Consommateur caractériel,,0
244,Client sans crédit,,0
245,Documentariste dévoué,,0
246,Chapardeur chiche,,0
247,Acquéreur inquiétant,,0
248,Acheteur hargneux,,0
249,Frimeur fauché,,0
250,Marchandeur mal à l’aise,,0
251,Troqueur tête à claque,,0
252,Portomancien Zo’honn,,0
253,Portomancien Zo’dahh,,0
254,Portomancien Zo’nyy,,0
255,Amateur assoiffé,,0
256,Client causant,,0
257,Poivrot populaire,,0
258,Fidèle frustré,,0
259,Personnalité prétentieuse,,0
260,Explorateur éméché,,0
261,Gronil truffe-à-or,Brave bête,0
262,Gronil truffe-à-or,Fidèle compagnon,0
263,Gronil truffe-à-or,Meilleur ami,0
264,Vazzaren l’Illuminé,,1
265,Kléia,Main de la dévotion,0
266,Air Blade,,1
267,Marauder,,1
268,Dirt Devil,,1
269,Battle Trak,,1
270,Havac,,1
272,Oléa Hanoa,,0
273,Seigneur de l’effroi infiltrateur,,1
274,Ombre tangible,,0
275,Automa à matrice de défense,,1
276,Automa dégénératif,,1
277,Automa gardien,,1
278,Automa pourvoyeur,,1
279,Mal’Ganis,L’Éternel,0
280,Kin’tessa,La Dissimulatrice,0
281,Automa ravageur : Néo,,1
282,Élémentaire stabilisé,,1
283,Noyau surmultiplicateur,,0
284,Image des Arcanes,,0
285,Gardien attentif,,1
286,Auxiliaire pacifié,,1
287,Traqueur opportuniste,,0
288,Sous-chef ambitieux,,0
289,Chaman comploteur,,0
290,,,0
291,Infiltrateur nathrezim,,0
292,Crabe réconforté,,0
293,Tortue de mer secourue,,0
294,Jeune tortue secourue,,0
295,Canard secouru,,0
296,Potamodonte secouru,,0
297,Jeune potamodonte secouru,,0
298,Gnoll « amical »,,1
299,Basilic secouru,,0
300,Corveffroi ardent,,0
301,Akora,Gardienne,0
302,Dazakros,Gardienne,0
303,Bufflacien timoré,,0
304,Trotte-bois vengeur,,0
305,Maître chasseur uktulut,Chasseur ou chasseresse,0
306,Loutrèke apprivoisée,Compagnon de chasse,0
307,Élémentaire de foudre surchargé,,1
308,Wyrm apaisé,,1
309,Squammandant Sarkareth,La Flamme fracturée,0
310,Coasseur stylé,,0
311,Outil alimenté,,1
312,Grenouille pacifiée,,0
313,Faisande,,1
314,Déchiqueteuse infectieuse,,1
315,Déchiqueteuse flétrie,,1
