ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,Développement,0,0,0,0,-127
2,États-Unis,0,1,1,0,0
3,Océanique,0,1,1,0,0
4,Amérique latine,0,1,1,0,0
5,Tournoi,0,1,1,1,50
6,Corée,0,10,10,0,0
7,Tournoi,0,10,10,1,50
8,Anglais,3277,1,1,0,0
9,Allemand,3277,1,1,0,0
10,Français,3277,1,1,0,0
11,Espagnol,3277,1,1,0,0
12,Russe,256,4,4,0,0
13,Tournoi,0,1,1,1,50
14,Taïwan,0,17,17,0,-127
15,Tournoi,0,17,17,1,50
16,Chine,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,Tournoi,0,17,17,1,50
26,Serveur de test,0,0,0,0,0
27,Tournoi,0,0,0,1,50
28,Serveur QA,0,0,0,0,0
29,CN9,0,17,17,0,0
30,Serveur de test 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,Tournoi russe,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,Brésil,0,1,1,0,0
50,Italien,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,Royaume recommandé,0,17,17,0,0
56,Test,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Test régional,0,0,0,0,80
160,Classic,0,0,0,0,0
161,Classic,0,0,0,0,0
162,USA (Ouest),0,1,1,0,-50
163,USA (Est),0,1,1,0,-49
164,Automatisation,0,0,0,0,0
165,Test d’ère,0,0,0,0,0
166,Ère classique,0,1,1,0,0
167,Ère classique,3277,1,1,0,0
168,Ère classique,0,10,10,0,0
169,Ère classique,0,17,17,0,0
170,Ère classique,0,17,17,0,0
171,Saisonnier,0,1,1,0,-127
172,Saisonnier,3277,1,1,0,-127
173,Saisonnier,0,10,10,0,-127
174,Saisonnier,0,17,17,0,-127
175,Saisonnier,0,17,17,0,-127
179,Copie test,0,17,17,0,-127
180,Mondial,0,17,17,0,0
181,Extrême,0,0,0,0,0
182,Saisonnier,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Dev 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Bêta,0,0,0,0,0
187,Test NetEase,0,17,17,0,0
188,Retour en Norfendre,0,1,1,2,0
189,Progression,0,1,1,0,0
190,Progression,3277,1,1,0,0
191,Progression,0,10,10,0,0
192,Progression,0,17,17,0,0
193,Progression,0,17,17,0,0
194,Anniversaire,0,1,1,0,-127
195,Anniversaire,0,10,10,0,-127
196,Anniversaire,3277,1,1,0,-127
197,Anniversaire,0,17,17,0,-127
198,Anniversaire,0,17,17,0,-127
199,Ère classique,0,17,17,0,0
201,Ère classique,0,0,0,0,0
202,Anniversaire,0,0,0,0,0
203,Active,0,1,1,0,-50
204,Legacy,0,1,1,0,-49
205,Active,0,1,1,0,-50
206,Legacy,0,1,1,0,-49
