ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Chevalier de la mort Sang,Chevalier de la mort Sang,Chevalier de la mort Sang,3487,6,0,0
3,Chevalier de la mort Givre,Chevalier de la mort Givre,Chevalier de la mort Givre,3487,7,0,0
4,Chevalier de la mort Impie,Chevalier de la mort Impie,Chevalier de la mort Impie,3487,8,0,0
5,Druide Équilibre,Druide Équilibre,Druidesse Équilibre,3485,9,0,0
7,Druide Farouche,Druide Farouche,Druidesse Farouche,3485,10,0,0
8,Druide Gardien,Druide Gardien,Druidesse Gardien,3485,11,0,0
9,Druide Restauration,Druide Restauration,Druidesse Restauration,3485,12,0,0
10,Chasseur Maîtrise des bêtes,Chasseur Maîtrise des bêtes,Chasseresse Maîtrise des bêtes,3477,13,0,0
12,Chasseur Précision,Chasseur Précision,Chasseresse Précision,3477,14,0,0
13,Chasseur Survie,Chasseur Survie,Chasseresse Survie,3477,15,0,0
14,Mage Arcanes,Mage Arcanes,Mage Arcanes,3482,16,0,0
15,Mage Feu,Mage Feu,Mage Feu,3482,17,0,0
16,Mage Givre,Mage Givre,Mage Givre,3482,18,0,0
17,Moine Maître brasseur,Moine Maître brasseur,Moniale Maître brasseur,3480,19,0,0
18,Moine Tisse-brume,Moine Tisse-brume,Moniale Tisse-brume,3480,20,0,0
19,Moine Marche-vent,Moine Marche-vent,Moniale Marche-vent,3480,21,0,0
20,Paladin Sacré,Paladin Sacré,Paladin Sacré,3486,22,0,0
21,Paladin Protection,Paladin Protection,Paladin Protection,3486,23,0,0
22,Paladin Vindicte,Paladin Vindicte,Paladin Vindicte,3486,24,0,0
23,Prêtre Discipline,Prêtre Discipline,Prêtresse Discipline,3479,25,0,0
24,Prêtre Sacré,Prêtre Sacré,Prêtresse Sacré,3479,26,0,0
25,Prêtre Ombre,Prêtre Ombre,Prêtresse Ombre,3479,27,0,0
26,Voleur Assassinat,Voleur Assassinat,Voleuse Assassinat,3481,28,0,0
27,Voleur Combat,Voleur Combat,Voleuse Combat,3481,29,0,0
28,Voleur Finesse,Voleur Finesse,Voleuse Finesse,3481,30,0,0
29,Chaman Élémentaire,Chaman Élémentaire,Chamane Élémentaire,3484,31,0,0
30,Chaman Amélioration,Chaman Amélioration,Chamane Amélioration,3484,32,0,0
31,Chaman Restauration,Chaman Restauration,Chamane Restauration,3484,33,0,0
32,Démoniste Affliction,Démoniste Affliction,Démoniste Affliction,3483,34,0,0
33,Démoniste Démonologie,Démoniste Démonologie,Démoniste Démonologie,3483,35,0,0
34,Démoniste Destruction,Démoniste Destruction,Démoniste Destruction,3483,36,0,0
35,Guerrier Armes,Guerrier Armes,Guerrière Armes,3478,37,0,0
37,Guerrier Fureur,Guerrier Fureur,Guerrière Fureur,3478,38,0,0
38,Guerrier Protection,Guerrier Protection,Guerrière Protection,3478,39,0,0
53,Transporteur,Transporteur,Transporteur,4597,0,0,0
54,Destroyer,Destroyer,Destroyer,4620,0,0,0
55,Porte-nefs,Porte-nefs,Porte-nefs,4838,0,0,0
56,Cuirassé,Cuirassé,Cuirassé,4601,0,0,0
57,Sous-marin,Sous-marin,Sous-marin,4609,0,0,0
58,Transporteur,Transporteur,Transporteur,4597,0,0,0
59,Destroyer,Destroyer,Destroyer,4568,0,0,0
60,Porte-nefs,Porte-nefs,Porte-nefs,4842,0,0,0
61,Cuirassé,Cuirassé,Cuirassé,4601,0,0,0
62,Sous-marin,Sous-marin,Sous-marin,4605,0,0,0
63,Chasseur de démons Dévastation,Chasseur de démons Dévastation,Chasseuse de démons Dévastation,5939,0,0,0
64,Chasseur de démons Vengeance,Chasseur de démons Vengeance,Chasseuse de démons Vengeance,5940,0,0,0
