Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Toutes les spécialisations,1,0,13,5,0
Spécialisation,2,1,19,6,0
Tous les emplacements,3,2,13,2,0
Zone de repos,4,3,1,3,0
Monde,5,6,1,4,0
Gouffres,6,7,1,4,1
Maison,7,4,1,3,1
Sélection du personnage,8,5,1,3,2
Donjons,9,8,1,4,2
Raids,10,9,1,4,3
Arènes,11,10,1,4,4
Champs de bataille,12,11,1,4,5
Tous les déplacements,13,12,13,7,0
Hors monture,14,13,1,8,0
Natation,15,14,1,8,1
Monture terrestre,16,15,1,8,2
Monture volante,17,16,1,8,3
Tous les ensembles d’équipement,18,17,13,9,0
Ensemble d’équipement,19,18,17,10,0
Toutes les formes raciales,20,19,13,11,0
Forme native,21,20,17,12,0
Forme non native,22,21,17,12,1
Toutes les météos,32,22,13,14,0
Ciel dégagé,33,23,1,15,0
Pluie,34,24,1,15,1
Neige,35,25,1,15,2
Tempête de sable,36,26,1,15,3
Toutes les périodes,37,27,13,16,0
Matin,38,28,1,17,0
Journée,39,29,1,17,1
Soirée,40,30,1,17,2
Nuit,41,31,1,17,3
