Name_lang,ID,Flags,PlayerConditionID,ReagentType,ReagentSource,Field_11_2_0_61476_006,Field_12_0_0_63534_007
,12,1,0,0,0,0,0
Changement de niveau d’objet - majeur,16,0,0,0,0,0,0
Définir une caractéristique secondaire,17,0,0,0,0,0,0
,31,0,0,0,0,0,0
Changement de niveau d’objet - mineur,46,0,0,0,0,0,0
,47,0,0,0,0,0,0
,48,0,0,0,0,0,0
,49,0,0,0,0,0,0
,50,0,0,0,0,0,0
Définir une caractéristique secondaire,67,0,0,0,0,0,0
Définir une caractéristique secondaire,72,0,0,0,0,0,0
Définir une caractéristique secondaire,73,0,0,0,0,0,0
Définir une caractéristique secondaire,74,0,0,0,0,0,0
Définir une caractéristique secondaire,75,0,0,0,0,0,0
Changement de niveau d’objet - mineur,77,0,0,0,0,0,0
Augmentation du rang,78,0,92156,0,0,0,0
Ajout d’amélioration des Progéniteurs,79,0,95770,0,0,0,0
Test Ore (DNT),80,1,0,1,0,0,0
Draconium Ore (DNT),81,0,0,1,0,0,0
Primal Molten Alloy (DNT),82,0,0,1,0,0,0
Frostfire Alloy (DNT),83,0,0,1,0,0,0
Obsidian Seared Alloy (DNT),84,0,0,1,0,0,0
Infurious Alloy (DNT),85,0,0,1,0,0,0
Composants optionnels sans variation de qualité,86,0,0,0,0,0,0
Composants optionnels avec variation de qualité,87,0,0,0,0,0,0
Composants optionnels avec et sans variation de qualité,88,0,0,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0,0,0
Test finishing reagent Slot (DNT),90,0,0,2,0,0,0
Catalyseur alchimique,91,2,0,2,2,0,0
Clairvoyance illustre inférieure,92,2,0,2,2,0,0
Clairvoyance illustre,93,2,0,2,2,0,0
Catalyseur alchimique,94,2,0,2,2,0,0
Hochenblume (DNT),98,0,0,1,0,0,0
Writhebark (DNT),99,0,0,1,0,0,0
Saxifrage (DNT),100,0,0,1,0,0,0
Bubble Poppy (DNT),101,0,0,1,0,0,0
Primal Convergent (DNT),102,0,0,1,0,0,0
Omnium Draconis (DNT),103,0,0,1,0,0,0
Draconic Vial (DNT),104,0,0,1,0,0,0
Elemental Potion of Power (DNT),105,0,0,1,0,0,0
Phial of Tepid Versatility (DNT),106,0,0,1,0,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0,0
Augmentation du rang,110,0,92156,0,0,0,0
Imprégnation de puissance,111,2,0,0,1,0,0
Ajout d’embellissement,112,0,0,0,1,0,0
Serevite Ore (DNT),114,0,0,1,0,0,0
Renforcement par une matrice d’entraînement,116,0,0,0,1,0,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0,0
Ajout d’embellissement,123,0,0,0,1,0,0
Liquide d’extinction,124,2,0,2,2,0,0
Personnaliser les caractéristiques secondaires,125,2,0,0,0,0,0
Imprégnation de puissance,126,0,0,0,1,0,0
Queen's Ruby (DNT),128,0,0,1,0,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0,0
Sundered Onyx (DNT),131,0,0,1,0,0,0
Eternity Amber (DNT),132,0,0,1,0,0,0
Alexstraszite (DNT),133,0,0,1,0,0,0
Malygite (DNT),134,0,0,1,0,0,0
Ysemerald (DNT),135,0,0,1,0,0,0
Neltharite (DNT),136,0,0,1,0,0,0
Nozdorite (DNT),137,0,0,1,0,0,0
Illimited Diamond (DNT),138,0,0,1,0,0,0
