Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2]
Temple du Serpent de jade,2,960,2,4,0,1800,1440,1080
Brasserie Brune d’Orage,56,961,2,0,0,2700,1260,720
Porte du Soleil couchant,57,962,2,0,0,2700,1320,780
Monastère des Pandashan,58,959,2,0,0,3600,2100,1260
Siège du temple de Niuzao,59,1011,2,0,0,3000,1800,1050
Palais Mogu’shan,60,994,2,0,0,2700,1440,720
Scholomance,76,1007,2,0,0,3300,1980,1140
Salles Écarlates,77,1001,2,0,0,2700,1320,780
Monastère Écarlate,78,1004,2,0,0,2700,1320,780
Orée-du-Ciel,161,1209,2,0,0,3400,1700,1020
Mine de la Masse-Sanglante,163,1175,2,0,0,3600,2100,1320
Auchindoun,164,1182,2,0,0,3300,1920,1140
Terres sacrées d’Ombrelune,165,1176,2,5,0,1980,1584,1188
Dépôt de Tristerail,166,1208,2,5,0,1800,1440,1080
Sommet du pic Rochenoire,167,1358,2,0,0,5100,2580,1500
La Flore éternelle,168,1279,2,0,0,3600,1800,1050
Quais de Fer,169,1195,2,5,0,1800,1440,1080
Œil d’Azshara,197,1456,6,0,21063,2100,1680,1260
Fourré Sombrecœur,198,1466,6,0,21063,1800,1440,1080
Bastion du Freux,199,1501,6,0,21063,2340,1872,1404
Salles des Valeureux,200,1477,6,0,0,2280,1824,1368
Repaire de Neltharion,206,1458,6,6,21063,1980,1584,1188
Caveau des Gardiennes,207,1493,6,0,21063,1980,1584,1188
Gueule des âmes,208,1492,6,0,0,1440,1152,864
L’Arcavia,209,1516,6,0,0,2700,2160,1620
Cour des Étoiles,210,1571,6,0,0,1800,1440,1080
Retour à Karazhan : bas,227,1651,6,0,0,2520,2016,1512
Cathédrale de la Nuit éternelle,233,1677,6,0,0,2100,1680,1260
Retour à Karazhan : sommet,234,1651,2,0,0,2100,1680,1260
Siège du triumvirat,239,1753,6,0,0,2100,1680,1260
Atal’Dazar,244,1763,4,7,0,1800,1440,1080
Port-Liberté,245,1754,4,7,0,1980,1584,1188
Tol Dagor,246,1771,0,7,0,2160,1728,1296
Le Filon,247,1594,0,7,0,2340,1872,1404
Manoir Malvoie,248,1862,0,7,0,2340,1872,1404
Repos des rois,249,1762,0,7,0,2520,2016,1512
Temple de Sephraliss,250,1877,0,7,0,2160,1728,1296
Tréfonds Putrides,251,1841,0,7,0,1980,1584,1188
Sanctuaire des Tempêtes,252,1864,0,7,0,2520,2016,1512
Siège de Boralus,353,1822,0,7,0,2160,1728,1296
Opération Mécagone - La casse,369,2097,4,7,0,2280,1824,1368
Opération Mécagone - L’atelier,370,2097,0,7,0,1920,1536,1152
Brumes de Tirna Scithe,375,2290,0,8,0,1800,1440,1080
Sillage nécrotique,376,2286,0,8,0,2160,1728,1296
L’Autre côté,377,2291,0,8,0,2580,2064,1548
Salles de l’Expiation,378,2287,0,8,0,1920,1536,1152
Malepeste,379,2289,0,8,0,2280,1824,1368
Profondeurs Sanguines,380,2284,0,8,0,2460,1968,1476
Flèches de l’Ascension,381,2285,0,8,0,2340,1872,1404
Théâtre de la Souffrance,382,2293,0,8,0,2280,1824,1368
Tazavesh : les rues des merveilles,391,2441,0,8,0,2340,1872,1404
Tazavesh : le stratagème de So’leah,392,2441,0,8,0,1800,1440,1080
Bassins de l’Essence rubis,399,2521,0,9,0,1800,1440,1080
L’offensive nokhud,400,2516,0,9,0,2400,1920,1440
Caveau d’Azur,401,2515,0,9,0,2040,1632,1224
Académie d’Algeth’ar,402,2526,0,9,0,1920,1536,1152
Uldaman : l’héritage de Tyr,403,2451,0,9,0,0,0,0
Neltharus,404,2519,0,9,0,0,0,0
Creux des Fougerobes,405,2520,0,9,0,0,0,0
Salles de l’Imprégnation,406,2527,0,9,0,0,0,0
