Description_lang,ID,DataTag
Minuscule,1,65
Petit,2,66
Moyen,3,67
Grand,4,68
Énorme,5,69
Nain,6,74
Nain marteau-hardi,7,75
Nain barbe-de-bronze (Forgefer),8,76
Nain sombrefer,9,77
Terrestre (de Dorn),10,78
Humain,11,79
Hurlevent,12,80
Kul Tiras,13,81
Gilnéas/Worgen,14,82
Elfe,15,83
Elfe de sang,16,84
Elfe de la nuit,17,85
Elfe du Vide,18,86
Sacrenuit,19,87
Tauren,20,88
Draeneï,21,89
Orc,22,90
Gobelin,23,91
Vulpérin,24,92
Troll,25,93
Troll sombrelance,26,94
Troll zandalari,27,95
Mort-vivant,28,96
Gnome,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Anniversaires de WoW,44,111
Fête des Brasseurs,45,112
Semaine des enfants,46,113
Foire de Sombrelune,47,114
Jour des Morts,48,115
Féerie des artifices,49,116
Sanssaint,50,117
Fête des moissons,51,118
De l’amour dans l’air,52,119
Fête lunaire,53,120
Fête du Feu du solstice d'été,54,121
Jardin des nobles,55,122
Bienfaits du pèlerin,56,123
Jour des pirates,57,124
Voile d’hiver,58,125
Autre,59,126
Imposant,60,141
Détente,61,142
Confortable,62,143
Adorable,63,144
Élégant,64,145
Faë,65,146
Corruption,66,147
Luxe,67,148
Lumière,68,149
Mécanique,69,150
Nature,70,151
Pirate,71,152
Romantique,72,153
Simple,73,154
Effrayant,74,155
Vide,75,156
Vrykul,76,157
Fantaisiste,77,158
Alliance,78,159
Horde,79,160
Printemps,80,161
Été,81,162
Automne,82,163
Hiver,83,164
chemin chemins,84,202
tapis,85,201
tasse tasses chope chopes mug pinte bock,86,196
argenterie ustensile couvert couverts fourchette cuillère cuiller couteau,87,198
boisson boissons breuvage breuvages,88,195
nourriture repas festin en-cas encas,89,194
cuisine,90,199
plat plats assiette assiettes,91,197
livre livres tome tomes,92,190
vase vases,93,189
art tableau peinture toile,94,192
eau étang,95,236
chaise chaises,96,177
canapé canapés sofa sofas,97,178
placard placards,98,185
étagère étagères rangement,99,184
comptoir comptoirs plan de travail plans de travail,100,182
bureau bureaux,101,181
table tables,102,180
mannequin mannequins,103,224
cuisine cuisiner four cuisinière fourneau grill,104,222
métier artisanat fabriqué profession,105,221
colonne colonnes pilier piliers poteau,106,208
barrière barrières clôture,107,209
cloison cloisons mur murs,108,207
Rudimentaire,109,70
Folklorique,110,71
Opulence,111,72
Fête/évènement,112,73
Magique,113,458
Dracthyr,114,484
