Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
[DNT] rt_hook01,0,0,0,129,1,9,0,0,0,1,13,1,0,0,0
Stuc,0,0,0,141,2,9,0,6648736,3,1,9,1,0,0,0
Maçonnerie,0,0,0,142,2,9,0,6648737,2,1,9,1,0,0,0
Stuc,0,0,0,144,3,9,0,6648733,3,1,9,1,0,0,0
Cottage,0,0,0,145,3,9,0,6648734,2,1,9,1,0,0,0
Stuc,0,0,0,147,4,9,0,6648730,3,1,9,1,0,0,0
Cottage,0,0,0,148,4,9,0,6648731,2,1,9,1,0,0,0
Toit enjolivé,0,0,0,568,4,55,0,6892531,2,4,10,1,0,36,267925
Toit en bois,0,0,0,569,4,55,0,6892530,3,4,10,1,0,36,267919
Pierre,0,0,0,570,3,55,0,6892517,2,4,9,1,0,0,267867
Enjolivement,0,0,0,571,3,55,0,6892516,2,4,9,1,0,0,267866
Toit en bois,0,0,0,572,3,55,0,6892524,3,4,10,1,0,36,267937
Toit enjolivé,0,0,0,573,3,55,0,6892525,2,4,10,1,0,36,267943
Bois,0,0,0,574,3,55,0,6892497,3,4,9,1,0,0,267865
Toit rustique,0,0,0,575,3,55,0,6892526,2,4,10,1,0,36,267949
Toit rustique,0,0,0,576,4,55,0,6892532,2,4,10,1,0,36,267931
Pierre,0,0,0,577,4,55,0,6892523,2,4,9,1,0,0,267864
Bois,0,0,0,578,4,55,0,6892521,3,4,9,1,0,0,267862
Toit rustique,0,0,0,579,2,55,0,6892529,2,4,10,1,0,36,267967
Pierre,0,0,0,580,2,55,0,6892520,2,4,9,1,0,0,267870
Enjolivement,0,0,0,581,2,55,0,6892519,2,4,9,1,0,0,267869
Toit en bois,0,0,0,582,2,55,0,6892527,3,4,10,1,0,36,267955
Bois,0,0,0,583,2,55,0,6892518,3,4,9,1,0,0,267868
Toit enjolivé,0,0,0,584,2,55,0,6892528,2,4,10,1,0,36,267961
