ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Volonté des Réprouvés,"Peut se libérer des effets de peur, de sommeil et de charme.","Se libère des effets de peur, de sommeil et de charme",136187,0,5
2,Cannibalisme,Peut dévorer des cadavres pour regagner de la vie et du mana.,Dévore des cadavres pour regagner vie et mana,132278,1,5
3,Toucher du tombeau,Peut drainer les points de vie des ennemis.,Draine les points de vie des ennemis,136157,2,5
4,Résistance à l’Ombre,Résistant aux dégâts d’Ombre.,Résistant aux dégâts d’Ombre,136152,3,5
5,L’esprit humain,"Hâte, score de Coup critique, Maîtrise et Polyvalence augmentés.","Hâte, score de Coup critique, Maîtrise et Polyvalence augmentés",132874,0,1
6,Rien ne vaut son chez-soi,Bonus d’efficacité de la pierre de foyer,Bonus d’efficacité de la pierre de foyer,134328,1,1
7,Chacun pour soi,Peut se libérer des effets d’étourdissement.,Se libère des effets d’étourdissement,136129,2,1
8,Forme de pierre,Peut prendre une forme de pierre.,Peut prendre une forme de pierre,136225,0,3
9,Puissance de la montagne,Effets des coups critiques améliorés.,Effets des coups critiques améliorés,133042,1,3
10,Résistance au Givre,Résistant aux dégâts de Givre.,Résistant aux dégâts de Givre,135865,2,3
11,Explorateur,Recherche de fragments archéologiques et vitesse de levé améliorées.,Recherche de fragments archéologiques et vitesse de levé améliorées,237387,3,3
98,Histoire ancienne,Compétence en calligraphie augmentée.,Compétence en calligraphie améliorée,1723985,4,27
99,Affinité avec la magie,Augmente les dégâts magiques.,Dégâts magiques augmentés,1723986,2,27
100,Sortilèges,Invoque un livre volant qui peut servir de boîte aux lettres.,Invoque un livre volant qui peut servir de boîte aux lettres,1723988,1,27
101,Étreinte entropique,Vos techniques ont une chance de vous renforcer en vous imprégnant d’essence du Vide.,Renforcé par le Vide,1723992,1,29
102,Connexion éthérienne,Réduit le coût de la transmogrification.,Coût de transmogrification réduit,1723993,3,29
103,Calme surnaturel,Vos incantations ne sont pas retardées lorsque vous subissez des dégâts.,Incantations non retardées par les dégâts subis,1724001,2,29
104,Frisson nocturne,Résistant aux dégâts d’Ombre.,Résistant aux dégâts d’Ombre,1723989,4,29
105,Faille spatiale,Ouvre une faille et vous téléporte.,Se téléporte par le biais d’une faille dans l’espace,1724004,0,29
106,Résistance aux Arcanes,Résistant aux dégâts des Arcanes.,Résistant aux dégâts des Arcanes,1723997,3,27
107,Impulsion arcanique,Inflige des dégâts aux ennemis proches et les ralentit.,Ennemis proches blessés et ralentis,1851463,0,27
108,Charge de taureau,Vous chargez vers l’avant et renversez vos ennemis au passage.,Charge en avant et renverse les ennemis,1723987,0,28
109,Fierté de Corne-de-Fer,Compétence et vitesse en minage améliorées.,Compétence et vitesse en minage améliorées,1724002,4,28
110,Faut pas gâcher,Collecte de viande et de poisson améliorée.,Collecte de viande et de poisson améliorée,1724005,3,28
111,Montagnard,Augmente la Polyvalence.,Polyvalence augmentée.,1723999,2,28
112,Ténacité robuste,Réduit les dégâts des attaques subies.,Dégâts des attaques subies réduits,1724003,1,28
113,Jugement de la Lumière,Inflige de lourds dégâts du Sacré dans une zone.,Dégâts du Sacré infligés dans une zone,1724000,0,30
114,Résistance au Sacré,Réduit les dégâts du Sacré subis.,Résistant aux dégâts du Sacré,1723996,2,30
115,Rétribution de la Lumière,"À votre mort, une éruption de lumière inflige des dégâts du Sacré à tous les ennemis proches et soigne tous les alliés proches.","À la mort, inflige des dégâts aux ennemis proches et soigne les alliés proches",1723994,1,30
116,Forge de Lumière,Compétence en forge améliorée et vous permet d’invoquer une enclume.,Compétence en forge améliorée et peut invoquer une enclume,1723995,3,30
117,Fléau des démons,Expérience gagnée en tuant des démons augmentée.,Expérience gagnée en tuant des démons augmentée,1723990,4,30
118,Sang de feu,Supprime les effets néfastes et vous renforce.,Supprime les effets néfastes et vous renforce,1786406,0,34
119,Arpenteur de donjons,Se déplace plus vite à l’intérieur.,Se déplace plus vite à l’intérieur,1786405,1,34
120,Production de masse,Compétence en forge améliorée et forge plus vite.,Compétence en forge améliorée et forge plus vite,1786408,2,34
121,Taupe mécanique,"À l’extérieur, peut invoquer une taupe mécanique pour voyager à travers la terre.",Invoque une taupe mécanique pour voyager à travers la terre,1786409,3,34
122,Forgé dans les flammes,Réduit les dégâts physiques subis.,Dégâts physiques subis réduits,1786407,4,34
123,Appel ancestral,"Vous invoquez les esprits de vos ancêtres, ce qui vous confère leurs pouvoirs.",Invoque vos ancêtres et vous confère leurs pouvoirs,2021574,0,36
124,À ciel ouvert,Vitesse de déplacement des montures améliorée en extérieur.,Monture plus rapide en extérieur,2021575,1,36
125,Vigueur compatissante,Points de vie du familier augmentés.,Points de vie du familier augmentés,2021577,2,36
126,Sang sauvage,"Réduit la durée de tous les effets d’empoisonnement, de maladie et de malédiction sur vous.","Durée des effets d’empoisonnement, de maladie et de malédiction réduite",2021576,3,36
127,Régénération,Se concentre pour se soigner rapidement.,Se soigne rapidement,1850550,0,31
128,Étreinte des Loas,Fait appel à la grâce d’un Loa afin de recevoir l’une des six puissantes faveurs.,Fait appel à un Loa pour recevoir l’une des six puissantes faveurs,1850548,1,31
129,Cité d’or,Découvre davantage d’or sur les créatures.,Plus d’or sur les créatures,1850547,2,31
130,Renfort aérien,Invoque un pterreurdactyle qui réduit votre vitesse de chute.,Un pterreurdactyle invoqué réduit votre vitesse de chute,1850549,3,31
131,Main lourde,"Heurte votre adversaire, ce qui l’étourdit et le fait tomber à la renverse.","Heurte votre adversaire, l’étourdit et le renverse",2447782,0,32
132,Touche-à-tout,Augmente toutes les compétences de métier.,Compétences de métier augmentées,2447783,1,32
133,Lai du vieux marin,Résistant aux dégâts de Givre et de Nature.,Résistant aux dégâts de Givre et de Nature,2447784,2,32
134,Nation marine,Nage plus vite et retient son souffle plus longtemps sous l’eau.,Nage plus vite et retient son souffle plus longtemps sous l’eau,2447781,3,32
135,Dur à cuire,Augmente la Polyvalence et rend une partie des dégâts subis.,Augmente la Polyvalence et soigne une partie des dégâts subis,2447780,4,32
144,Halo Organique à Leurre Optique,Vous invoquez des répliques pour détourner l’attention de vos ennemis.,Des répliques invoquées détournent l’attention des ennemis,3192686,0,37
145,Savoir-faire,Vous remplacez tout un atelier.,Remplace un atelier,3192687,2,37
146,Analyse de combat,L’analyse de votre ennemi au combat vous fait progressivement gagner en puissance.,Vous gagnez progressivement en puissance au combat,3192685,1,37
147,Auriculaire passe-partout,Vous permet de crocheter des serrures.,Peut crocheter les serrures,3192689,3,37
148,Arrêt d’urgence,Vous rend automatiquement des points de vie en cas de blessure grave.,Rend automatiquement des points de vie en cas de blessure grave,3192688,4,37
149,Sac à malice / Fouille de sac,Vous avez recours à un tour qui inflige des dégâts à un ennemi ou soigne un allié. Il existe toutes sortes de tours à récupérer dans le monde.,Lance un tour pour blesser un ennemi ou aider un allié,3193416,0,35
150,Bivouac / Retour au camp,Vous établissez un bivouac et avez la possibilité d’y revenir ultérieurement.,Établit un bivouac à l’emplacement de votre choix,3193418,1,35
151,Le nez pour les ennuis,Le premier coup d’un ennemi vous inflige moins de dégâts.,Le premier coup subi inflige moins de dégâts,3193419,2,35
152,Sacoche de selle d’alpaga,Votre sac à dos comporte 8 emplacements supplémentaires.,8 emplacements de sac supplémentaires,3193421,3,35
153,Résistance au Feu,Réduit les dégâts de Feu subis.,Résistant aux dégâts de Feu,3193417,4,35
248,Soulagement,"Votre corps se transforme en anima pur, ce qui augmente considérablement votre vitesse de déplacement, ralentit votre vitesse de chute et vous propulse vers l’avant.

Réduit la portée à laquelle les unités ennemies peuvent vous détecter jusqu’à la fin de l’effet.",,298642,0,15
