ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,Contreforts de Hautebrande,Rejoignez la machine de guerre des Réprouvés dans sa marche pour la Horde au sein des contreforts de Hautebrande.,Commencer la quête,,,0,33200,0,3,236779,0,28571,0,250,250,0,0,25,33600,33200,1,0
8,Orneval,"Chassez les Elfes de la nuit d’Orneval et prenez possession des ressources de la zone, pour la Horde !",Commencer la quête,,,0,33201,0,3,236713,0,28493,0,250,250,0,0,63,33636,33201,1,0
9,Cavernes des Lamentations,Aventurez-vous dans les cavernes des Lamentations et affrontez-y les déments druides du Croc.,Rejoindre un groupe,,,6,33956,0,1,236450,1,0,0,90,90,0,0,0,33955,33956,0,0
10,Les Mortemines,"Explorez les mines abandonnées sous la marche de l’Ouest, où la Confrérie défias rassemble son armée de bandits.",Rejoindre un groupe,,,6,33202,0,1,236409,6,0,0,90,90,0,0,0,33957,33202,0,0
12,Donjon d’Ombrecroc,Un donjon en ruines surplombant la forêt des Pins-Argentés. Cette sombre forteresse sert de repaire à une cabale de nobles déchus de Gilnéas.,Rejoindre un groupe,,,6,33774,0,1,463876,8,0,0,90,90,0,0,0,33958,33774,0,0
13,Goulet des Chanteguerres,Revendiquez le goulet des Chanteguerres pour la Horde en capturant le drapeau sur ce champ de bataille.,Rejoindre le combat !,,,5,33717,1,4,236350,0,0,2,10,10,0,0,0,34691,33717,1,0
14,Bassin Arathi,Combattez les personnages-joueurs de l’Alliance pour prendre le contrôle du bassin Arathi dans ce champ de bataille de course aux ressources.,Rejoindre le combat !,,,5,33718,1,4,236712,0,0,3,10,10,0,0,0,34691,33718,1,0
17,Gouffre de Ragefeu,Affrontez le sombre culte de la Lame brûlante au sein des cavernes volcaniques sous Orgrimmar !,Rejoindre un groupe,,,6,33674,0,1,136216,4,0,0,90,90,0,0,0,33959,33674,0,0
21,Donjon aléatoire,Participez à un donjon aléatoire de Warlords of Draenor pour améliorer l’équipement de votre personnage !,Rejoindre un groupe,,,6,33723,0,1,1042626,788,0,0,90,90,0,0,0,0,33723,0,0
27,Champ de bataille aléatoire,Affrontez d’autres personnages-joueurs dans un champ de bataille aléatoire !,Rejoindre le combat !,,,5,34154,0,8,132269,0,0,32,10,10,0,0,0,33559,34154,4,0
29,Forêt des Pins-Argentés,Aidez le haut-commandement Réprouvé à conquérir le port de Gilnéas pour la Horde !,Commencer la quête,,,0,33561,0,3,236830,0,28568,0,250,250,0,0,21,33596,33561,1,0
30,Vashj’ir,Joignez-vous à la flotte d’invasion pour sécuriser l’île découverte au large des côtes de Hurlevent !,Commencer la quête,,,0,33562,0,3,409551,0,27718,0,250,250,0,0,203,33597,33562,0,0
31,Mont Hyjal,Les serviteurs d’Aile de mort ont lancé un assaut contre l’Arbre-Monde. Nos alliés du Cercle cénarien ont besoin de vous !,Commencer la quête,,,0,33563,0,3,409547,0,27721,0,250,250,0,0,198,33598,33563,0,0
32,Le Tréfonds,Thrall et le Cercle terrestre ont besoin de votre aide pour prendre d’assaut le plan élémentaire du Tréfonds !,Commencer la quête,,,0,33564,0,3,409546,0,27722,0,250,250,0,0,207,33599,33564,0,0
33,Contreforts de Hautebrande,Rejoignez la machine de guerre des Réprouvés dans sa marche pour la Horde au sein des contreforts de Hautebrande.,Commencer la quête,,,0,33565,1,3,236779,0,28089,0,250,250,0,0,0,33600,33565,0,0
34,Tarides du Nord,Nous avons besoin de votre aide pour protéger les Tarides du Nord des Hurans et des Centaures qui les envahissent !,Commencer la quête,,,0,33566,0,3,236717,0,28494,0,250,250,0,0,10,33601,33566,1,1
35,Azshara,"Aidez-nous à repousser les forces de l’Alliance qui empiètent sur le territoire d’Azshara et à sécuriser la zone, pour la gloire de la Horde !",Commencer la quête,,,0,33567,0,3,236714,0,28496,0,250,250,0,0,76,33602,33567,1,1
36,Mille pointes,Rejoignez les forces de la Horde dans la lutte contre les renégats du Totem-Sinistre qui dominent les Mille pointes.,Commencer la quête,,,0,33568,0,3,236848,0,28504,0,250,250,0,0,64,33603,33568,1,1
37,Tanaris,Aidez la Horde et le cartel Baille-Fonds à s’établir en Tanaris avant que l’Alliance ne le fasse !,Commencer la quête,,,0,33569,0,3,236846,0,28509,0,250,250,0,0,71,33604,33569,1,0
38,Féralas,Aidez la Horde à sécuriser la grande forêt de Féralas contre l’Alliance et les Totems-Sinistres !,Commencer la quête,,,0,33570,0,3,236764,0,28510,0,250,250,0,0,69,33605,33570,1,1
39,Cratère d’Un’Goro,Apportez votre aide au personnel des Expéditions Marshal alors qu’il tente de percer les secrets du cratère d’Un’Goro.,Commencer la quête,,,0,33571,0,3,236850,0,28526,0,250,250,0,0,78,33606,33571,1,0
40,Silithus,Nos alliés cénariens ont besoin de votre aide en Silithus pour repousser le Marteau du crépuscule.,Commencer la quête,,,0,33572,0,3,236829,0,28527,0,250,250,0,0,81,33607,33572,1,0
41,Les Serres-Rocheuses,Les forces de la Horde des Serres-Rocheuses ont besoin de vous pour repousser les envahisseurs de l’Alliance et protéger notre peuple.,Commencer la quête,,,0,33573,0,3,236831,0,28532,0,250,250,0,0,65,33611,33573,1,0
42,Gangrebois,Le Cercle cénarien a besoin de votre aide pour soulager Gangrebois de l’influence des démons et d’autres créatures corrompues !,Commencer la quête,,,0,33574,0,3,236763,0,28542,0,250,250,0,0,77,33612,33574,1,0
43,Berceau-de-l’Hiver,Donova Antreneige a peut-être trouvé une stratégie permettant de mettre un terme à la menace des Furbolgs tombe-hiver à Berceau-de-l’Hiver.,Commencer la quête,,,0,33575,0,3,236854,0,28545,0,250,250,0,0,83,33613,33575,1,0
44,Désolace,Les fiers combattants de la Horde de Désolace ont besoin de votre aide pour repousser les armées de l’Alliance et d’anciens démons.,Commencer la quête,,,0,33576,0,3,236742,0,28548,0,250,250,0,0,66,33614,33576,1,0
45,Tarides du Sud,"Après les récentes victoires de l’Alliance dans les Tarides, nos ennemis menacent de couper nos voies de ravitaillement. Il faut les arrêter !",Commencer la quête,,,0,33577,0,3,236717,0,28549,0,250,250,0,0,199,33615,33577,1,0
46,Marécage d’Âprefange,"Le marécage d’Âprefange regorge d’ennemis de toutes sortes, et les forces de l’Alliance en présence y sont particulièrement redoutables.",Commencer la quête,,,0,33578,0,3,236758,0,28554,0,250,250,0,0,70,33616,33578,1,1
