ID,Name,Message_lang
1,MSG_TITLE_WOW,World of Warcraft
2,MSG_GX_INIT_FAILED_D3D,World of Warcraft n'a pu lancer l'accélération 3D. Assurez-vous que DirectX 9.0c est installé et que vos pilotes graphiques sont à jour.
3,MSG_GX_INIT_FAILED,World of Warcraft n'a pu lancer l'accélération 3D.
4,MSG_HW_UNSUPPORTED,"Votre carte accélératrice 3D n'est pas compatible avec World of Warcraft. Pour de plus amples informations, rendez-vous à l’adresse : https://eu.battle.net/support/fr/article/configuration-minimale-requise-pour-world-of-warcraft."
5,MSG_HW_CHANGED,Matériel modifié. Charger les paramètres par défaut ?
9,MSG_GLUEXML_UI_CORRUPT,Vos fichiers d'interface de connexion sont corrompus. Veuillez réinstaller le jeu.
10,MSG_FRAMEXML_UI_CORRUPT,Vos fichiers d'interface sont corrompus. Veuillez supprimer votre dossier Interface\Frame\XML.
11,MSG_GX_NO_DEVICE,Impossible de trouver un dispositif d'affichage adéquat. Fermeture du programme.
12,MSG_REMOTE_DESKTOP,World of Warcraft n'est pas conçu pour fonctionner via une connexion de bureau virtuel distant. Fermeture du programme.
14,MSG_CLIENT_INIT,Des données de jeu nécessaires à World of Warcraft sont en cours d'installation initiale. Cela peut prendre quelques minutes. Vous pouvez également annuler le processus et permettre au Launcher de terminer l'installation.
15,MSG_DOWNLOAD_FAILED,Impossible de récupérer d'importantes données du jeu. Veuillez vérifier votre connectivité à Internet.
16,MSG_DISK_FULL,Le disque dur est plein. Veuillez libérer de l'espace sur votre lecteur.
17,MSG_GX_FAIL_API_VERSION,"World of Warcraft requiert la version la plus récente de DirectX Runtime pour pouvoir être installé. Pour davantage d’informations, veuillez consulter la page suivante : http://eu.battle.net/support/fr/article/driverupdates"
18,MSG_GX_FAIL_NO_DRIVER,"WoW n’a pas trouvé de carte graphique compatible. Vérifiez que le pilote de la carte graphique est à jour et que vous n'êtes pas en mode sans échec. Pour plus d'informations, consultez http://us.battle.net/support/en/article/driver-update-information "
27,MSG_COMPATIBILITY_ERROR,WoW n’a pas pu être lancé en raison des réglages du mode de compatibilité. Veuillez désactiver le mode de compatibilité pour WoW.exe et Launcher.exe puis tenter à nouveau de lancer le jeu. La marche à suivre est indiquée à l'adresse http://www.battle.net/support/article/8500085
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,"Il existe un problème connu, touchant les pilotes de processeurs, qui peut provoquer un lancement de première partie très lent, le temps d’assembler les shaders. Ce processus peut prendre plusieurs minutes."
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,World of Warcraft a détecté que votre ordinateur utilise un processeur Intel de 13e ou 14e génération qui ne possède pas les mises à jour censées régler les problèmes d’instabilité potentielle du processeur. Il est fortement conseillé de mettre le BIOS de votre carte-mère à jour vers le micromodule Intel 0x12B ou supérieur.
136,MSG_MOTHERBOARD_BIOS_UPDATE,Consultez %s pour en savoir plus sur la mise à jour du BIOS de votre carte-mère.
137,MSG_MOTHERBOARD_INFO,"Nom du processeur : %s
Nom de la carte-mère : %s
Date de parution du BIOS : %s
Version microcode : 0x%llX"
