ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Sésame pour le niveau 100,Sésame gratuit pour le niveau 100,"World of Warcraft: Legion comprend un Sésame pour le niveau 100. Vous pouvez choisir de propulser au niveau 100 un personnage existant, essayer une nouvelle classe avant d’utiliser votre Sésame, ou fermer la fenêtre pour utiliser le Sésame plus tard.",1,2,1033987,90,1,700,100,6,260,0
5,Sésame de Battle for Azeroth,Sésame gratuit pour le niveau 110,World of Warcraft: Battle for Azeroth comprend un Sésame pour le niveau 110. Choisissez une des options ci-dessous ou fermez la fenêtre pour utiliser le Sésame plus tard.,1,3,3573824,80,1,700,48,7,265,0
6,Sésame pour le niveau 90,Sésame gratuit pour le niveau 90,Vous avez obtenu ce Sésame en cadeau pour l’achat de Warlords of Draenor.,1,1,614740,100,0,625,90,5,260,0
107,Essayer Dragonflight gratuitement,Essayer Dragonflight gratuitement,"Pendant une durée limitée, jouez gratuitement à Dragonflight !|n|nCréez un évocateur ou une évocatrice dracthyr, ou explorez les îles aux Dragons avec tout personnage de niveau 60.",0,0,4723908,1100,0,0,0,7,265,0
118,Sésame de Shadowlands,Sésame gratuit pour le niveau 120,,1,4,3752121,50,1,0,50,7,265,0
120,Sésame pour le niveau 60,Sésame gratuit pour le niveau 60,,1,6,4279397,60,1,0,60,8,265,5595
123,Transfert de personnage,Transfert de personnage,Transférez votre personnage vers un autre royaume ou compte.,2,1,1530081,40,0,0,0,0,5362,5590
125,Changement de faction,Changement de faction,Changez la faction d’un personnage (de la Horde vers l’Alliance ou de l’Alliance vers la Horde).,2,2,1126583,35,0,0,0,0,5362,5587
139,Changement de race,Changement de race,Changer la race d’un personnage (dans votre faction actuelle),2,3,1126585,30,0,0,0,0,5362,5589
140,Changement de nom,Changement de nom,Changez le nom d’un personnage.,2,4,1126584,25,0,0,0,0,5362,5588
143,Sésame pour le niveau 70,Sésame gratuit pour le niveau 70,,1,8,4734167,70,0,0,70,9,5468,5594
179,Sésame amélioré pour le niveau 80,Sésame amélioré pour le niveau 80,,1,11,4279397,120,0,0,80,10,5586,0
