SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200Butin : |rButin mondial,1,1973,0,0
|cFFFFD200Hôtel des ventes au marché noir|r,4,32566,0,2
|cFFFFD200Hôtel des ventes au marché noir|r,5,33223,0,2
|cFFFFD200Hôtel des ventes au marché noir|r,7,38578,0,2
|cFFFFD200Évènement mondial : |rDe l’amour dans l’air|n|cFFFFD200Vendeur : |rMarchande ravissante|n|cFFFFD200Région : |rCapitales|n|cFFFFD200Coût : |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200Promotion|r,12,67097,0,7
|cFFFFD200Vendeur : |rTex Vortabobine|n|cFFFFD200Région : |rAzshara|n|cFFFFD200Coût : |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200Vendeur : |rAyla Ombretempête|n|cFFFFD200Région : |rFront du Magma|n|cFFFFD200Coût : |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200Évènement mondial : |rSanssaint|n|cFFFFD200Vendeur : |rPoupin / Dorothy|n|cFFFFD200Région : |rClairières de Tirisfal / Hurlevent|n|cFFFFD200Coût : |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200Promotion|r,19,72161,0,7
|cFFFFD200Butin : |rPandarie,20,72231,2,0
|cFFFFD200Butin : |rYorik Œil Vif|n|cFFFFD200Région : |rVal de l’Éternel printemps,21,86568,0,0
|cFFFFD200Butin : |rKang le Voleur d’âmes|n|cFFFFD200Région : |rVal de l’Éternel printemps,22,86571,0,0
|cFFFFD200Butin : |rHavak|n|cFFFFD200Région : |rSommet de Kun-Lai,23,72221,2,0
|cFFFFD200Butin : |rUrgolax|n|cFFFFD200Région : |rVal de l’Éternel printemps,24,86575,0,0
|cFFFFD200Butin : |rSki’thik|n|cFFFFD200Région : |rSommet de Kun-Lai,25,72225,2,0
|cFFFFD200Quête : |rLa bénédiction d’Élune|n|cFFFFD200Région : |rReflet-de-Lune,29,21540,0,1
,30,33079,2,7
|cFFFFD200Métier : |rArchéologie,33,64651,0,3
"|cFFFFD200Vendeur : |rOlut Alegut, Rork Menton-pointu|n|cFFFFD200Région : |rPics Foudroyés|n|cFFFFD200Coût : |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200Butin : |rTerokk|n|cFFFFD200Région : |rForêt de Terokkar,99,32782,0,0
|cFFFFD200Hôtel des ventes au marché noir|r,100,34499,0,2
|cFFFFD200Butin : |rNorfendre - butin mondial,101,37254,0,0
|cFFFFD200Promotion|r,102,38301,0,7
|cFFFFD200Haut fait : |rLe maître des pièces|n|cFFFFD200Catégorie : |rPêche,103,44430,0,5
|cFFFFD200Évènement mondial :|r Fête du Voile d’hiver,109,46709,0,6
|cFFFFD200Promotion|r,110,49703,0,7
|cFFFFD200Promotion|r,111,49704,2,7
|cFFFFD200Quête : |rLes lamentations de Muradin|n|cFFFFD200Région : |rCitadelle de la Couronne de glace,112,52201,0,1
|cFFFFD200Quête : |rLa vengeance de Sylvanas|n|cFFFFD200Région : |rCitadelle de la Couronne de glace,114,52253,0,1
|cFFFFD200Métier : |rArchéologie,116,64358,0,3
|cFFFFD200Métier : |rArchéologie,117,64361,0,3
|cFFFFD200Métier : |rArchéologie,118,64373,0,3
|cFFFFD200Métier : |rArchéologie,119,64383,0,3
|cFFFFD200Métier : |rArchéologie,120,64456,0,3
|cFFFFD200Métier : |rArchéologie,121,64481,0,3
|cFFFFD200Métier : |rArchéologie,122,64482,0,3
|cFFFFD200Métier : |rArchéologie,123,64646,0,3
|cFFFFD200Métier : |rArchéologie,124,64881,0,3
|cFFFFD200Vendeur : |rMeilosh|n|cFFFFD200Région : |rGangrebois|n|cFFFFD200Faction : |rRepaire des Grumegueules - exalté|n|cFFFFD200Coût : |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
|cFFFFD200Évènement mondial : |rSemaine des enfants|n|cFFFFD200Vendeur : |rBlax Fusenbouteille / Foltiff Tremblhoupette|n|cFFFFD200Région : |rOrgrimmar / Hurlevent|n|cFFFFD200Coût : |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,126,69895,0,2
|cFFFFD200Promotion|r,127,72159,0,7
|cFFFFD200Promotion|r,128,79769,0,7
|cFFFFD200Butin : |rZaï le Paria|n|cFFFFD200Région : |rSommet de Kun-Lai,129,86581,0,0
|cFFFFD200Butin : |rNessos l’Oracle|n|cFFFFD200Région : |rSommet de Kun-Lai,131,72224,2,0
|cFFFFD200Butin : |rMoldo le Borgne|n|cFFFFD200Région : |rVal de l’Éternel printemps,132,86586,0,0
|cFFFFD200Butin : |rAhone l’Errante|n|cFFFFD200Région : |rSommet de Kun-Lai,133,86588,0,0
|cFFFFD200Drop: |rAi-Li Moire Ciel|n|cFFFFD200Région : |rTerres de l’Angoisse,134,86589,0,0
|cFFFFD200Butin : |rAi Ran le Nuage Fantasque|n|cFFFFD200Région : |rVal de l’Éternel printemps,135,72229,2,0
|cFFFFD200Butin : |rBonobos|n|cFFFFD200Région : |rVallée des Quatre vents,136,72227,2,0
|cFFFFD200Butin : |rIk-Ik l’Agile|n|cFFFFD200Région : |rTerres de l’Angoisse,137,86593,0,0
|cFFFFD200Haut fait : |rC’est qui le meilleur ?|n|cFFFFD200Catégorie : |rPêche,139,86596,0,5
|cFFFFD200Haut fait : |rLa tournée des grands ducs|n|cFFFFD200Catégorie : |rMists of Pandaria,140,87528,0,5
|cFFFFD200Vendeur : |rGina Griffe de Tourbe|n|cFFFFD200Région : |rVallée des Quatre vents|n|cFFFFD200Faction : |rLaboureurs - Exalté|n|cFFFFD200Coût : |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,142,90175,4,2
|cFFFFD200Évènement mondial : |rFête du Voile d’hiver,143,90883,0,6
|cFFFFD200Évènement mondial : |rFête du Voile d’hiver,144,90888,0,6
|cFFFFD200Vendeur : |rGerlvas Crasseporte|n|cFFFFD200Région : |rÎle de Sombrelune|n|cFFFFD200Coût : |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,145,90899,0,6
|cFFFFD200Donné par : |rOrsur|n|cFFFFD200Région : |rManoir de Ravenholdt,147,72220,2,0
|cFFFFD200Butin : |rRa’sha|n|cFFFFD200Région : |rÎle du tonnerre,148,72226,2,0
|cFFFFD200Haut fait : |rQuand t’es dans le geyser…|n|cFFFFD200Catégorie : |rRaid de Pandarie,151,98132,0,5
|cFFFFD200Butin : |rGastéropode|n|cFFFFD200Région : |rTrône du tonnerre,152,98136,0,0
|cFFFFD200Vendeur :|r Porte-parole Gulan|n|cFFFFD200Région :|r Île du Temps figé,153,72230,2,2
|cFFFFD200Vendeur : |rTisse-brume Ku|n|cFFFFD200Région : |rÎle du Temps figé|n|cFFFFD200Faction : |rEmpereur Shaohao - Révéré,154,103685,4,2
|cFFFFD200Butin : |rHante-falaise érodé|n|cFFFFD200Région : |rÎle du Temps figé,155,104262,0,0
|cFFFFD200Butin : |rChampion de la flamme noire|n|cFFFFD200Région : |rÎle du Temps figé,156,104302,0,0
|cFFFFD200Butin : |rMaître du four éternel|n|cFFFFD200Région : |rÎle du Temps figé,157,104309,0,0
