ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Forme de félin,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,Forme d'arbre de vie,7,2257,0,0,0,0,0,37165,0,0,0,0,0,0,0,0,0,0,0
3,Forme de voyage,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Forme aquatique,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,Forme d’ours,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,Ambiant,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,Goule,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Forme d’ours redoutable,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,Posture de la grue,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Squelette de Tharon'ja,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Sombrelune - épreuve de force,-1,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,Joueur BLB,-1,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Danse de l'ombre,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Créature - Ours,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,Créature - Félin,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,Loup fantôme,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
17,Posture de combat,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Posture défensive,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Posture berserker,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Posture du serpent,-1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Zombie,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Métamorphose,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Posture du buffle,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Posture du tigre,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mort-vivant,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Frénésie,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,"Forme de vol, épique",1,32776,0,0,0,0,246,21243,0,0,0,0,0,0,0,0,0,0,0
28,Forme d'ombre,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Forme de vol,1,32776,0,0,0,0,245,20857,0,0,0,0,0,0,0,0,0,0,0
30,Camouflage,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Forme de sélénien,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Esprit de rédemption,-1,82704,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
33,Posture du gladiateur,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Métamorphose,3,472,1035040,0,0,0.4,0,64560,0,0,0,0,0,0,0,0,0,0,0
35,Forme de sélénien,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Forme de tréant,7,2257,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
37,Forme d’esprit de la chouette,1,32776,0,0,0,0,295,38633,0,0,0,0,0,0,0,0,0,0,0
38,Forme d’esprit de la chouette,0,32776,0,0,0,0,204,38633,0,0,0,0,0,0,0,0,0,0,0
39,Forme de feu follet,6,32776,0,0,0,0,295,10045,0,0,0,0,0,0,0,0,0,0,0
40,Forme de feu follet,6,32776,0,0,0,0,204,10045,0,0,0,0,0,0,0,0,0,0,0
41,Forme d’âme,1,216,0,0,0,0,0,93949,0,0,0,0,0,0,0,0,0,0,0
42,Rêveries forge-nées,-1,65792,0,0,0,0,0,66094,0,0,0,0,0,0,0,0,0,0,0
43,Forme humaine,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Drake des îles aux Dragons,-1,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,0,0,0,0,0
48,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
