Name_lang,Description_lang,ID,Pos[0],Pos[1],Pos[2],PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,Field_9_1_0_38783_011,ContinentID,AreaID,WorldStateID,Field_10_0_0_45141_012,UiWidgetSetID,UiTextureKitID,Field_9_1_0_38783_017,Importance,Icon
Courbenclume,,1,-6134.28,383.763,399.254,0,0,0,517,0,0,0,0,0,132,0,0,0,0,0,3,7
Brill,,2,2249.85,278.414,34.1137,0,0,0,517,0,0,0,0,0,159,0,0,0,0,0,2,7
Sombre-Comté,,3,-10564.7,-1170.65,28.0505,0,0,0,517,0,0,0,0,0,10,0,0,0,0,0,3,0
Le Glas,,4,1879.83,1588.2,90.172,0,0,0,517,0,0,0,0,0,154,0,0,0,0,0,3,7
Dun Algaz,,5,-4191.02,-2373.14,205.151,0,0,0,517,0,0,0,0,0,836,0,0,0,0,0,3,7
Dun Modr,,6,-2610.26,-2350.56,81.5912,0,0,0,517,0,0,0,0,0,205,0,0,0,0,0,3,7
Comté-de-l’Or,,7,-9480.09,63.5218,56.1757,0,0,0,517,0,0,0,0,0,87,0,0,0,0,0,3,7
Forgefer,,8,-4798.776,-1107.4966,498.8072,0,0,0,541,0,0,0,0,0,1,0,0,0,0,0,3,46
Kharanos,,9,-5585.95,-482.127,397.017,0,0,0,517,0,0,0,0,0,131,0,0,0,0,0,2,7
Comté-du-Lac,,10,-9227.69,-2201.47,63.9334,0,0,0,517,0,0,0,0,0,44,0,0,0,0,0,3,0
Port de Menethil,,11,-3672.7,-828.455,9.89915,0,0,0,525,0,0,0,0,0,11,0,0,0,0,0,3,5
Ruisselune,,12,-11017.1,1510.17,43.1657,0,0,0,517,0,0,0,0,0,20,0,0,0,0,0,3,7
Abbaye de Comté-du-Nord,,13,-8896.16,-179.328,80.2909,0,0,0,517,0,0,0,0,0,24,0,0,0,0,0,3,7
Colline-aux-Corbeaux,,14,-10752.5,310.433,40.1628,0,0,0,517,0,0,0,0,0,94,0,0,0,0,0,3,7
Colline des Sentinelles,,15,-10503.7,1027.76,55.5831,0,0,0,517,0,0,0,0,0,40,0,0,0,0,0,3,0
Hurlevent,,16,-8678.426,729.6007,122.33388,0,0,0,541,0,0,0,0,0,12,0,0,0,0,0,3,46
Le Sépulcre,,17,508.073,1619.02,125.272,0,0,0,517,0,0,0,0,0,130,0,0,0,0,0,2,0
Fossoyeuse,,18,1594.3385,240.2882,-52.142963,0,62731,0,541,0,0,0,0,0,85,0,0,0,0,0,4,48
Thelsamar,,19,-5349.27,-2959.91,323.627,0,0,0,517,0,0,0,0,0,38,0,0,0,0,0,3,0
Alliance,,20,-448.982,-1028.22,431.971,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Horde,,21,-669.134,-483.289,387.273,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Austrivage,,22,-803.031,-531.727,15.9654,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,3,5
Moulin-de-Tarren,,23,-27.0354,-900.562,55.9603,0,0,0,517,0,0,0,0,0,267,0,0,0,0,0,2,0
Refuge de l'Ornière,,24,-1251.05,-2526.81,20.7117,0,0,0,517,0,0,0,0,0,320,0,0,0,0,84,2,0
Trépas-d'Orgrim,,25,-991.57,-3528.34,56.5482,0,0,0,517,0,0,0,0,0,45,0,0,0,0,83,2,0
Kargath,,26,-6676.42,-2186.68,245.829,0,0,0,0,0,0,0,0,0,3,0,0,0,0,83,3,5
Forteresse d'Angor,,27,-6392.65,-3158,299.765,0,0,0,517,0,0,0,0,0,338,0,0,0,0,84,3,7
Sabot-de-Sang,,28,-2323.92,-394.981,-9.12757,0,0,0,517,0,0,0,0,1,222,0,0,0,0,83,3,7
Les Pitons-du-Tonnerre,,29,-1205.41,29.4214,126.347,0,0,0,541,0,0,0,0,1,215,0,0,0,0,83,3,48
Camp Narache,,30,-2906.49,-253.607,52.9407,0,0,0,517,0,0,0,0,1,221,0,0,0,0,83,3,7
Tranchecolline,,31,312.659,-4745.52,9.54726,0,0,0,517,0,0,0,0,1,362,0,0,0,0,83,3,7
L'Antre,,32,-604.098,-4202.92,38.7281,0,0,0,517,0,0,0,0,1,364,0,0,0,0,83,3,7
Orgrimmar,,33,1381.77,-4371.16,26.0233,0,0,0,541,0,0,0,0,1,14,0,0,0,0,83,3,48
Village de Sen'jin,,34,-819.492,-4918.24,19.3401,0,0,0,516,0,0,0,0,1,367,0,0,0,0,83,3,7
La Croisée,,35,-455.9,-2652.15,95.5865,0,0,0,517,0,0,0,0,1,17,0,0,0,0,83,3,0
Aldrassil,,36,10462.7,805.993,1312.66,0,0,0,517,0,0,0,0,1,188,0,0,0,0,84,3,5
Dolanaar,,37,9787.99,949.897,1306.73,0,0,0,517,0,0,0,0,1,5481,0,0,0,0,84,3,7
Darnassus,,38,9951.75,2254.5,1335.42,0,68088,0,541,0,0,0,0,1,141,0,0,0,0,84,3,46
Cabestan,,39,-951.364,-3680.07,8.04018,0,0,0,525,0,0,0,0,1,392,0,0,0,0,0,3,5
Baie-du-Butin,,40,-14383.3,487.139,-29.5617,0,0,0,525,0,0,0,0,0,35,0,0,0,0,0,3,5
Campement Grom'gol,,41,-12378.4,185.734,3.05513,0,0,0,525,0,0,0,0,0,33,0,0,0,0,83,3,5
Astranaar,,42,2720.43,-382.391,107.09,0,0,0,517,0,0,0,0,1,331,0,0,0,0,84,3,0
Pic des Serres-Rocheuses,,44,2658.78,1449.71,226.135,0,0,0,0,0,0,0,0,1,467,0,0,0,0,84,3,5
Thalanaar,,45,-4510.03,-779.474,-41.5353,0,0,0,0,0,0,0,0,1,489,0,0,0,0,84,3,5
Poste de Librevent,,46,-5454.07,-2445.5,90.1133,0,0,0,0,0,0,0,0,1,484,0,0,0,0,83,3,5
Lac Miroir,,227,-9389.26,458.427,38.2854,0,0,0,516,0,0,0,0,0,92,0,0,0,0,0,0,3
Creux du Massacre,,247,861.216,-558.217,146.61,0,0,0,516,0,0,0,0,0,282,0,0,0,0,0,0,3
Gorge des Sèches-Moustaches,,327,-1014.22,-3827.39,145.41,0,0,0,516,0,0,0,0,0,321,0,0,0,0,0,0,7
Retraite de Roche-Soleil,,701,936.308,910.974,104.439,0,0,0,517,0,0,0,0,1,406,0,0,0,0,0,1,7
Temple de Zin-Malor,,707,3549.15,-5359.12,204.102,0,0,0,516,0,0,0,0,1,1221,0,0,0,0,0,0,7
Frai d'Hetaera,,708,3556.64,-6232.79,44.0086,0,0,0,516,0,0,0,0,1,1227,0,0,0,0,0,0,7
Tombeau d'Uther,,709,969.176,-1825.52,99.6067,0,0,0,516,0,0,0,0,0,197,0,0,0,0,0,0,7
Scholomance,,710,1262.19,-2579.41,126.37,0,0,0,516,0,0,0,0,0,2298,0,0,0,0,0,0,7
Poste de Blanc-relais,,767,-4917.35,-1375.5,-52.3732,0,0,0,516,0,0,0,0,1,480,0,0,0,0,0,0,7
Pierrêche,,788,-10443.7,-3277.49,20.1782,0,0,0,517,0,0,0,0,0,8,0,0,0,0,0,1,7
Gadgetzan,,789,-7139.15,-3752.11,8.5398,0,0,0,517,0,0,0,0,1,440,0,0,0,0,0,3,0
Camp Mojache,,790,-4394.98,215.611,25.4133,0,0,0,517,0,0,0,0,1,215,0,0,0,0,0,3,0
Île de Theramore,,791,-3680.17,-4388.51,10.5549,0,0,0,525,0,0,0,0,1,15,0,0,0,0,0,3,5
