ID,Tablename,Object_ID,Flags,PushID
351,AI_GROUPACTIONSET,1090483,0,94780
352,AI_GROUPACTIONSET,1090484,0,94780
353,AI_GROUPACTIONSET,1090485,0,94780
354,AI_GROUPACTIONSET,1090486,0,94780
355,AI_GROUPACTIONSET,1090487,0,94780
356,AI_GROUPACTIONSET,1090488,0,94780
357,AI_GROUPACTIONSET,1090489,0,94780
358,AI_GROUPACTIONSET,1090490,0,94780
359,CREATUREDIFFICULTY,278310,0,94780
360,CREATUREDIFFICULTY,282833,0,94780
361,CREATUREDIFFICULTY,283646,0,94780
362,CRITERIATREE,206517,0,94780
363,SPAWNEVENT,4676286,0,94780
364,SPAWNEVENT,4676287,0,94780
365,SPAWNEVENT,4676288,0,94780
366,SPAWNEVENT,4676289,0,94780
367,SPAWNEVENT,4758757,0,94780
368,SPAWNEVENT,4758758,0,94780
369,SPAWNEVENT,4758759,0,94780
370,SPAWNGROUP,2771951,0,94780
371,SPAWNLOC,4386005,0,94780
372,SPAWNLOC,4526287,0,94780
373,SPAWNLOC,4526288,0,94780
374,SPAWNLOC,4526289,0,94780
375,SPAWNLOC,4612653,0,94780
376,SPAWNOBJECT,7154688,0,94780
377,SPAWNOBJECT,7478163,0,94780
378,SPAWNPATHNODE,3229589,0,94780
379,SPAWNPATHNODE,3229590,0,94780
380,SPAWNPATHNODE,3229591,0,94780
381,SPAWNPATHNODE,3229592,0,94780
382,SPAWNPATHNODE,3229593,0,94780
383,SPAWNPATHNODE,3229594,0,94780
384,SPAWNPATHNODE,3229595,0,94780
385,SPAWNSQUAD,4828752,0,94780
386,SPELLEFFECT,1176042,0,94780
387,SPELLEFFECT,1184771,0,94780
388,SPELLEFFECT,1184772,0,94780
389,SPELLEFFECT,1191693,0,94780
390,SPELLEFFECT,1196876,0,94780
391,SPELLEFFECT,1196877,0,94780
392,SPELLMISC,755518,0,94780
393,SPELLMISC,758288,0,94780
394,SPELLMISC,758405,0,94780
395,SPELLMISC,762548,0,94780
396,SPELLMISC,764484,0,94780
397,SPELLSCRIPT,105351,0,94780
398,SPELLTARGETFILTERRULE,5894,0,94780
399,SPELLTARGETFILTERRULE,5895,0,94780
400,AI_GROUPACTIONSET,1090483,0,94780
401,AI_GROUPACTIONSET,1090484,0,94780
402,AI_GROUPACTIONSET,1090485,0,94780
403,AI_GROUPACTIONSET,1090486,0,94780
404,AI_GROUPACTIONSET,1090487,0,94780
405,AI_GROUPACTIONSET,1090488,0,94780
406,AI_GROUPACTIONSET,1090489,0,94780
407,AI_GROUPACTIONSET,1090490,0,94780
408,CREATUREDIFFICULTY,278310,0,94780
409,CREATUREDIFFICULTY,282833,0,94780
410,CREATUREDIFFICULTY,283646,0,94780
411,CRITERIATREE,206517,0,94780
412,SPAWNEVENT,4676286,0,94780
413,SPAWNEVENT,4676287,0,94780
414,SPAWNEVENT,4676288,0,94780
415,SPAWNEVENT,4676289,0,94780
