ID,Text_lang,Title_lang,ConditionID
3,"The Winter Queen has asked for you to deliver a message to Sire Denathrius, the Master of Revendreth. You will need his help for the coming conflict.",Welcome to Revendreth,0
111,Test,,0
158,"Following an unprovoked assault on Bastion, you were tasked with journeying to Maldraxxus and investigating why the armies of the dead have betrayed their oath to defend the Shadowlands.",Champion of Pain,0
277,"Using a set of blueprints you recovered and the destructive capabilities of the G.M.O.D. at your disposal, you and Gallywix managed to destroy an airship utilized by High Tinker Mekkatorque and set Alliance interests in Drustvar back even further.",,0
1128,Khadgar has summoned you to Dalaran to help him investigate a mysterious figure called the Harbinger who possesses a powerful relic called the Dark Heart. The Archmage has also asked Alleria Windrunner to join you in order to give her unique perspective.,Hunt for the Harbinger,0
1254,"You were summoned to Silithus to seek out Magni, the Speaker of Azeroth, in order to learn more about the mysterious Radiant Song being heard all across Azeroth.",The Radiant Cry,0
1427,"Orweyna reveals that she found a recording from none other than Gallywix, the leader of the operations around Opportunity Point. But she is worried about what she heard behind a massive cave wall. Machines grinding and drilling with a purpose that remains hidden, for now...",The Mastermind Revealed,0
446,"Pelagos has discovered that devourers have entered Zereth Mortis and threaten Haven. When the two of you go to assess the danger, you discover an oracle who delivers a cryptic warning before falling comatose.",Cryptic Warnings,95966
441,"You manage to make your way through the portal just before it is destroyed, leaving you and Pelagos to explore this strange new land with no way to return home. While exploring, you encounter Firim, a broker who is willing to help you in return for aid. He leads you to the village of Haven.",,95961
443,The Mawsworn have concentrated their efforts on the Forge of Afterlives. Bolvar tasks you to investigate with Shandris Feathermoon.,In Search of Answers,95963
445,"Mal'ganis reveals that Anduin is about to open the way to the Sepulcher. You rush to stop him with the help of Jaina and Baine. However, you are unable to stop the Jailer from entering the Sepulcher and taking Anduin with him.",,95965
439,"With the help of Tal-Inara, Kah-Delen, and Kah-Sher, the new Arbiter's sigil is formed. Used together with the sigils collected from the other covenants, a gateway to Zereth Mortis is opened.",,95941
440,"You have been tasked to go through the gateway--but Pelagos unexpectedly offers to go with you. As you prepare to leave, a dreadlord reveals themselves and orders a Mawsworn ambush.",A One-Way Trip,95960
444,"You discover that the Jailer is dominating automa to open the way to the Sepulcher of the First Ones. Armed with this knowledge, you attempt to halt his progress, and uncover the dreadlord infiltrators among your forces--including their leader, Mal'ganis.",,95964
447,"You decide to take the oracle to Firim and ask for his assistance. An automa core that Firim obtained has an unusual reaction to the oracle. Firim tasks you with using the core, called Pocopoc, to unravel the secrets of the Cyphers of the First Ones.",,95967
442,"In Haven, you assist the Enlightened in defending the small village from the Mawsworn. After you have earned their trust, the Enlightened open an ancient gateway back to Oribos, allowing you to return and bring back Bolvar's expeditionary forces.",,95962
416,"You discovered a val'kyr, Danica, and freed her. After seeking out the aid of Odyn, you forced the Eye of the Jailer to retreat within the walls of Torghast.",,92025
329,"With the great houses of Maldraxxus in turmoil, you helped the House of the Chosen regain its footing and stand strong against its former brethren.",Rallying Maldraxxus,88643
330,"You helped protect the remaining groves from assault, giving the Winter Queen and her court a chance to stabilize the eternal forest.",Aiding Ardenweald,88644
414,"Working with Ve'nari, you were able to open an ancient waygate in the new landscape of Korthia. Once activated, the waygate provided a portal to Oribos, establishing a foothold for your allies to pass to and from the Maw.",Maw Walkers,92773
412,"A terrible attack on Bastion has left the Archon wounded, and Ardenweald is the Jailer's next target. Highlord Bolvar has tasked you to keep the Winter Queen's sigil safe.",Battle of Ardenweald,91640
413,"After a bitter battle to protect Ardenweald, Sylvanas and Tyrande finally crossed blades. But the power of the Night Warrior was too great.

In the chaos, Anduin, dominated by the Jailer, sneaked behind covenant lines and stole the Winter Queen's sigil.",,91641
415,"While assisting Ve'nari, you used a Korthian device and were transported to Desmotaeron where you discovered Baron Vyraz's forces.",Focusing the Eye,92032
184,"Highlord Bolvar Fordragon sent you into Torghast, Tower of the Damned to rescue Baine Bloodhoof from the clutches of Warden Arkoban.

With Baine safe in Oribos, you returned to Torghast with one of the Warden's keys to plunge further into the tower's depths. Your search brought you to a mysterious prisoner known as the Runecarver.

You recovered one of the Runecarver's memories from the Maw, then worked with Ve'nari to free one of his bonds. In exchange, the Runecarver has offered to help you craft powerful armor.",Torghast,88880
328,"You aided the Kyrian against the Forsworn threat, both directly and by strengthening their position across their realm.",Bolstering Bastion,88642
331,Denathrius's betrayal left Prince Renathal and his rebellion in a precarious position. Your efforts gave them a fighting chance against their former master.,Reinforcing Revendreth,88645
327,"Fatescribe Roh-Tahl helped you weave the threads of fate to pull your destiny forward.

You aligned yourself with a covenant, then set off to aiding the realms of the Shadowlands.",Aiding the Shadowlands,88641
952,"Princess Talanji sent you to Nazmir to resolve a threat from blood trolls. After fighting them and burning Zandalari corpses, you confronted Grand Ma'da Aleena and learned about the blood trolls' pact with G'huun. You ventured into the Heart of Darkness to stop a powerful construct.

From there, you went to a pilgrimage site for tortollans, some of whom you recruited. Venturing to Frogmarsh, you then found an injured witch doctor named Zentimo. You recovered idols of the Krag'wa idols and performed a rite to honor him, healing the witch doctor. You also helped goblins fight naga and allied with a Gob Squad mech to defeat Aleena, driving out G'huun's corruption.",Nazmir,110517
949,"The Alliance launched a full offensive against the Ruins of Lordaeron and the Undercity beneath it. While you and other heroes of the Horde fought valiantly, the battle ended with the Alliance breaching the throne room of Lordaeron. 

As a final act, Lady Sylvanas Windrunner flooded the Undercity with plague, forcing both sides to retreat.",The Battle for Lordaeron,49081
953,"You arrived in Vol'dun in search of Princess Talanji. You met the vulpera, freed Rakera from a cult of Akunda, and healed the corrupted Akunda loa. Working with the vulpera, you helped the sethrak in their fight against the Faithless. You then defeated General Jakra'zet, but at the end of your fight, he sacrificed himelf to summon Mythrax. Baine Bloodhoof heard your report on developments in Vol'dun.",Vol'dun,110518
950,"Lady Sylvanas Windrunner dispatched you and an elite cadre of Horde forces to Stormwind under the cover of night. The objective was rescuing Princess Talanji and her escort, Zul the Prophet. These two figureheads of the Zandalari Empire had been captured by the Alliance while in transit to Orgrimmar for negotiations. 

While in the Stockades, you encountered the captured Saurfang. Although freedom was offered to him, he chose to stay behind rather than return to a Horde run by Sylvanas.",The Stormwind Extraction,110549
715,"In the wake of the Battle for Lordaeron, you traveled with Lady Jaina Proudmoore as she returned to her homeland of Kul Tiras. Upon arrival, she asked for aid for the Alliance, but her reunion with her mother, Lord Admiral Katherine Proudmoore, was... disappointing. You were immediately imprisoned within Tol Barad.

You later escaped with the aid of an adventurer named Flynn Fairwind. He introduced you to his friend, Taelia. She had connections to the city's harbormaster, Cyrus Crestfall, and he granted you and the Alliance a safe haven. Within the city of Boralus, you can plan your next move.",A Nation Divided,110539
947,"Witchcraft abounds in Drustvar, along with wild accusations. Working with Lucille Waycrest, you helped form a new Order of Embers to fight forces of darkness.",Drustvar,110513
713,"Two great armies are at war. The Horde has burned down Teldrassil, former home of the night elves. In retaliation, King Anduin Wrynn and Genn Greymane have ordered the combined might of the Alliance to attack the Ruins of Lordaeron and the Undercity.

After the Alliance took Varok Saurfang prisoner and cornered Lady Sylvanas Windruner within the keep, the Banshee Queen unleashed blight throughout the city, forcing both sides to depart. As the death toll increases, the Battle for Azeroth continues...",Battle for Lordaeron,49081
