ID,Locale,DurationMS,BroadcastTextID
0,4,2654,298946
1,15,2316,298947
2,14,4062,285475
3,2,3209,304905
4,0,2409,304916
5,1,3170,312988
6,1,3369,312987
7,12,3499,304918
8,14,3363,304918
9,5,3540,304918
10,13,3545,304916
11,6,2538,304916
12,15,2800,312988
13,5,4456,255289
14,1,8350,256734
15,7,2988,255288
16,15,3556,255289
17,2,1714,267816
18,15,1747,275971
19,15,1487,275972
20,2,1419,275972
21,5,1597,273466
22,5,1736,273739
23,12,1499,273659
24,12,1427,273661
25,12,1108,273571
26,5,1641,273667
27,12,1881,273667
28,5,2495,273842
29,12,1909,273542
30,5,1925,273844
31,12,1803,273832
32,5,1333,273834
33,5,1463,273539
34,5,1117,273853
35,12,720,273546
36,5,1630,273848
37,12,1820,275970
38,2,2664,275782
39,15,4340,275783
40,12,3011,275782
41,15,4832,272557
42,14,4356,272559
43,15,3155,272690
44,14,3939,272688
45,15,919,276620
46,15,1055,276614
47,15,1122,276616
48,15,745,273457
49,15,1185,273671
50,2,1861,273742
51,2,1912,273532
52,2,878,273736
53,15,1417,273739
54,15,1035,273560
55,2,2773,273862
56,15,2989,273561
57,15,1283,273447
58,2,1391,273449
59,15,1244,273661
60,15,437,273445
61,15,2019,273662
62,15,1357,273570
63,15,710,273870
64,15,1378,273571
65,15,1945,273572
66,2,1949,273863
67,12,946,273729
68,5,1130,273733
69,12,1495,273741
70,5,962,273531
71,5,1381,273532
72,12,1792,273744
73,5,1067,273736
74,2,2179,273566
75,15,1928,273568
76,2,1413,273541
77,15,1392,273831
78,2,1219,273536
79,15,1673,273537
80,15,5042,273544
81,15,1405,273549
82,15,1702,273550
83,15,1349,273846
84,2,1374,273846
85,7,8675,252740
86,7,8934,256735
87,15,10153,261091
88,4,8717,261090
89,14,10245,261090
90,14,8134,256734
91,6,8716,256735
92,13,1442,276621
93,13,805,276618
94,13,7685,276625
95,7,4099,272547
96,7,3397,272546
97,8,4222,272544
98,7,3740,272543
99,8,4833,272554
100,8,2581,272690
101,8,3689,272689
102,8,3148,272687
103,7,840,276618
104,8,1095,276619
105,12,3586,272557
106,12,3653,272547
107,12,3198,272542
108,13,3653,272551
109,13,3148,272548
110,13,3202,272689
111,1,1831,273742
112,1,1139,273533
113,1,1165,273736
114,1,1267,273461
115,1,1216,273861
116,1,1299,273659
117,1,642,273445
118,1,1553,273868
119,1,1492,273542
120,1,2335,273830
121,1,1234,273535
122,1,1806,273537
123,1,1164,273550
124,1,994,273846
125,4,4459,272555
126,4,3618,272560
127,2,2873,272560
128,2,3886,272691
129,4,3239,272546
130,2,3191,272544
131,4,4346,272554
132,2,3505,272553
133,4,4023,272551
134,4,2932,272548
135,4,930,276618
136,6,3950,272555
137,6,3207,272558
138,6,3715,272547
139,5,3439,272546
140,1,11189,272686
141,6,3666,272544
142,5,4259,272543
143,1,3577,272556
144,1,3791,272554
145,1,3322,272687
146,7,1661,262428
147,7,1333,262430
148,6,1515,262426
149,6,1489,262430
150,13,1392,262426
151,12,1480,262426
152,1,2819,284112
153,1,2620,284122
154,1,2439,284127
155,1,4073,284130
156,1,1716,284136
157,1,3128,284145
158,6,2204,273466
159,8,1484,273467
160,6,2350,273534
161,8,1244,273558
162,6,1726,273860
163,8,1223,273560
164,6,2705,273561
165,8,3033,273561
166,6,1461,273448
167,6,899,273450
168,8,1896,273659
169,4,2142,275973
170,4,1962,275971
171,8,1487,273566
172,6,2158,273667
173,6,2332,273830
174,8,1084,273832
175,6,7447,273845
176,6,664,273847
177,13,1065,273730
178,14,1109,273668
179,13,739,273455
180,13,1776,273734
181,14,1500,273741
182,13,1136,273533
183,13,1465,273736
184,13,2963,273746
185,14,1804,273534
186,13,1835,273859
187,13,1371,273860
188,14,1450,273856
189,13,1430,273555
190,14,1268,273556
191,14,912,273557
192,13,2831,273561
193,14,1408,273664
194,13,1171,273448
195,14,1682,273449
196,13,978,273450
197,14,1306,273661
198,13,1158,273661
199,14,1198,273446
200,14,1060,273870
201,13,2647,273871
202,13,1841,273451
203,13,1689,273843
204,14,1302,273542
205,13,1422,273535
206,13,1438,273831
207,14,1478,273536
208,14,1008,273549
209,14,1210,273546
210,14,983,273849
211,8,1478,267816
212,6,1862,275973
213,8,1058,275970
214,1,7029,276885
215,6,4604,275783
216,13,1847,275973
217,7,1113,273456
218,7,1007,273668
219,4,969,273454
220,4,1772,273530
221,4,1056,273531
222,7,1978,273742
223,4,2079,273742
224,4,1969,273744
225,7,1942,273738
226,7,1931,273859
227,7,1453,273558
228,7,1398,273559
229,4,1095,273556
230,7,2254,273862
231,7,1285,273659
232,4,1618,273442
233,7,1492,273569
234,7,691,273870
235,4,1592,273572
236,4,1195,273565
237,7,2372,273567
238,4,3890,273872
239,4,1771,273667
240,4,1483,273836
241,7,1755,273832
242,7,1643,273539
243,4,8354,273845
244,4,1226,273550
245,7,1262,273545
246,7,1516,273548
247,4,918,273548
248,4,5876,273855
249,8,941,273733
250,6,1083,273668
251,6,1222,273452
252,6,995,273669
253,6,1191,273671
254,6,1988,273734
255,6,1650,273530
256,8,1494,273742
257,7,1248,284094
258,7,2144,284095
259,7,4199,284103
260,7,2013,284113
261,7,7252,284114
262,7,1141,284128
263,7,2040,284133
264,12,10317,281525
265,13,882,284099
266,13,2362,284113
267,13,4837,284114
268,12,3016,284122
269,13,1132,284128
270,12,1192,284132
271,13,4005,284134
272,12,4527,284135
273,12,1894,284136
274,12,4076,284138
275,12,2934,284143
276,13,1677,284150
277,5,1568,284094
278,2,1355,284099
279,2,6324,284110
280,5,1592,284113
281,2,5047,284120
282,2,3855,284123
283,5,1075,284128
284,2,3042,284129
285,2,3589,284134
286,2,1511,284136
287,2,2391,284148
288,15,2066,284095
289,15,3682,284097
290,14,3006,284112
291,14,1941,284118
292,14,4210,284120
293,15,1792,284121
294,14,2349,284122
295,15,3196,284124
296,14,1040,284125
297,15,1859,284133
298,14,2163,284133
299,14,2747,284134
300,14,2351,284141
301,15,1363,284142
302,15,3064,284145
303,15,1917,284150
304,12,5280,285482
305,13,4704,285496
306,8,1844,284093
307,6,3046,284097
308,8,1108,284099
309,13,3607,285791
310,8,1449,284111
311,8,6268,284114
312,8,3132,284118
313,8,3814,284123
314,8,4032,284130
315,6,3317,284134
316,6,1824,284141
317,13,6440,286431
318,12,10061,280243
319,13,13462,280247
320,4,3059,284097
321,4,1110,284099
322,4,2945,284105
323,4,4039,284117
324,4,2196,284118
325,4,2174,284119
326,4,2746,284124
327,4,3334,284134
328,4,3672,284138
329,1,1906,289775
330,1,2420,287674
331,1,1782,298697
332,1,1639,285949
333,2,5925,278194
334,4,5329,285482
335,2,4189,278516
336,2,5138,285789
337,2,12581,280247
338,6,11496,280019
339,14,5132,278193
340,14,4922,285496
341,15,8424,276885
342,4,9331,281525
343,7,4836,278347
344,7,5855,285496
345,15,11620,280019
346,5,5020,278193
347,5,7819,285484
348,6,4931,285789
349,5,6832,286431
350,6,5681,286431
351,7,4359,281586
352,12,1342,287920
353,6,2224,289775
354,6,3091,287686
355,6,2116,298693
356,6,1610,287679
357,6,2404,287673
358,6,2121,298696
359,6,2056,287682
360,6,1756,287681
361,8,2668,285950
362,6,2580,285948
363,6,2017,285947
364,8,1823,287931
365,6,1099,287920
366,8,4456,292550
367,2,2443,287679
368,2,3047,287674
369,2,1949,287681
370,2,2111,287684
371,2,2363,285951
372,2,2456,285946
373,2,1889,285945
374,2,1634,287919
375,5,2563,287674
376,7,1955,298696
377,5,2058,298669
378,5,2577,287683
379,7,2258,287683
380,7,2741,285951
381,7,1495,285944
382,5,648,285943
383,7,2999,285942
384,7,2757,285941
385,5,1885,285939
386,5,1677,285938
387,5,1683,298677
388,5,2129,298682
389,7,2054,298682
390,5,1405,298684
391,7,2256,287931
392,15,4380,287686
393,15,1226,287679
394,15,1680,285948
395,12,2232,285946
396,15,1517,285946
397,12,1779,285945
398,12,2644,298692
399,15,1458,298684
400,15,3597,287930
401,12,2137,287933
402,13,1700,289775
403,14,3864,287686
404,13,2047,298695
405,14,1997,298694
406,14,1081,298664
407,14,2465,287672
408,14,1687,298697
409,13,2453,298697
410,14,2155,287682
411,13,2438,287682
412,14,2691,287683
413,13,2570,285950
414,14,2010,285946
415,13,2782,285946
416,14,574,285943
417,13,1847,298682
418,13,1697,287923
419,14,1236,287920
420,14,2150,287922
421,4,3472,287684
422,4,2430,285942
423,4,1293,287921
424,4,2259,287922
425,12,8077,209025
426,14,6254,209180
427,5,4355,209198
428,5,6088,209200
429,6,5415,209200
430,4,1465,208315
431,4,2261,208632
432,2,1899,208632
433,2,7045,209025
434,5,1761,208316
435,5,3244,208633
436,5,2271,211076
437,15,7647,211093
438,15,5335,209380
439,13,6148,209180
440,8,3589,209198
441,13,7134,209200
442,15,8151,209025
443,8,1656,208315
444,12,5213,214682
445,0,3525,219937
446,0,1878,217596
447,0,3068,219941
448,14,3984,240407
449,7,4903,240407
450,15,5143,240407
451,15,2023,240408
452,4,2222,277262
453,13,2222,277262
454,1,2420,68013
455,4,3279,68012
456,12,2615,68007
457,13,2624,68013
458,5,2736,78301
459,8,2589,78228
460,14,1646,81226
461,6,2177,78303
462,8,1808,269312
463,6,1925,299848
464,14,5240,135217
465,2,5707,134839
466,1,2359,190113
467,1,4200,188637
468,1,2545,189947
469,7,2435,190113
470,15,3195,186858
471,5,3172,183005
472,15,4715,188917
473,7,2924,183005
474,15,3292,183005
475,5,3184,186858
476,1,3016,194954
477,6,6037,191329
478,1,3159,193233
479,1,4415,198730
480,1,6670,203157
481,4,4794,188917
482,1,7585,203704
483,6,4114,188692
484,6,2496,189699
485,4,2695,194954
486,14,3567,277335
487,7,3893,188690
488,1,4568,203712
489,12,5749,194953
490,14,5378,194953
491,8,5540,188692
492,4,1925,186592
493,8,2529,190113
494,15,3091,194954
495,13,2681,178806
496,13,1960,186592
497,14,7360,191765
498,4,6750,191765
499,2,2617,189947
500,15,2941,193233
501,1,2426,208633
502,15,6792,191765
503,2,5133,209380
504,1,2379,210931
505,1,3163,211073
506,9,2169,78226
507,1,6684,99368
508,1,6712,277336
509,14,2276,299848
510,6,6707,99368
511,8,2072,122893
512,8,3851,118518
513,4,4891,122131
514,15,3232,118518
515,12,2706,93399
516,2,1807,122463
517,5,2919,277297
518,5,5635,134839
519,2,6720,135215
520,7,4539,135217
521,6,5342,134840
522,1,4136,148695
523,14,4013,143567
524,13,1200,148625
525,1,1225,148625
526,14,3229,141844
527,13,3488,143567
528,13,1114,153261
529,7,6237,151023
530,6,6692,151023
531,8,2105,133935
532,15,7893,151023
533,13,3750,148695
534,12,7784,151021
535,14,7162,151021
536,12,1816,133935
537,2,3732,148620
538,7,1401,148625
539,5,5469,148697
540,6,1054,153261
541,15,4719,139384
542,4,7183,151021
543,4,4402,148695
544,5,5791,151021
545,2,2302,68009
546,2,1808,68013
547,1,2980,68007
548,1,2302,68009
549,4,2433,68009
550,5,2077,68009
551,5,2967,1148
552,6,3679,277278
553,7,2565,1148
554,6,1694,68014
555,7,2832,68012
556,8,1308,68009
557,8,2980,68007
558,9,2274,68014
559,9,1993,68016
560,12,4103,68020
561,13,2225,1148
562,14,6381,68020
563,14,5628,277270
564,15,6022,277270
565,16,3672,68012
566,1,1626,78273
567,4,3978,277283
568,7,2608,81228
569,1,2589,78228
570,14,2011,81227
571,12,4900,78297
572,15,2384,78301
573,13,1803,78273
574,5,1846,78226
575,5,2349,78227
576,5,3273,78229
577,7,2270,78227
578,7,2179,78273
579,13,2407,78227
580,13,1360,78302
581,13,1887,78303
582,12,2546,81229
583,12,4285,81225
584,14,3986,78273
585,14,4518,78297
586,2,1745,81223
587,2,2407,78227
588,2,1360,78302
589,16,2011,81227
590,9,2544,81222
591,5,5100,81225
592,5,5175,78297
593,6,1457,78302
594,6,1310,81228
595,6,2949,81224
596,9,1997,81228
597,4,4252,285476
598,4,6638,287848
599,4,3139,298947
600,5,5524,287851
601,14,6512,283197
602,6,7092,287848
603,6,7298,287854
604,0,11500,315954
605,8,2824,298947
606,5,3522,285476
607,13,4397,285476
608,0,3135,304918
609,4,3395,312988
610,12,3845,304905
611,5,2627,304916
612,5,4503,312989
613,15,4025,304905
614,4,2964,255288
615,1,9098,261091
616,12,2788,255288
617,1,1602,262426
618,13,2858,255288
619,2,2681,255288
620,12,1700,273466
621,12,1513,273559
622,12,1603,273861
623,12,1534,273555
624,5,1310,273665
625,12,739,273450
626,12,1607,273868
627,5,2664,273871
628,5,1573,273572
629,5,2029,273863
630,12,1120,273565
631,12,2149,273568
632,12,2217,273540
633,5,1318,273831
634,5,1194,273536
635,5,8001,273845
636,12,8336,273845
637,5,5197,273544
638,12,824,273852
639,12,1533,273553
640,12,1054,273846
641,5,1320,273548
642,14,11152,272686
643,15,3501,272545
644,15,3813,272542
645,14,3906,272542
646,15,4317,272554
647,14,4330,272553
648,14,3937,272550
649,15,1083,273730
650,2,973,273457
651,15,1703,273731
652,15,1026,273458
653,15,1653,273670
654,2,1452,273460
655,2,1673,273741
656,2,2003,273744
657,2,1259,273533
658,2,3206,273746
659,2,1206,273861
660,15,1472,273856
661,15,1258,273556
662,15,1079,273663
663,2,1202,273447
664,15,994,273664
665,2,1229,273665
666,15,1823,273449
667,15,1069,273659
668,2,1422,273569
669,12,889,273458
670,5,1209,273459
671,5,855,273453
672,12,708,273453
673,5,1957,273670
674,5,1046,273454
675,12,1218,273530
676,12,1059,273532
677,2,1968,273865
678,15,1496,273567
679,15,2522,273867
680,2,3557,273872
681,2,1645,273836
682,2,1885,273540
683,15,1794,273843
684,2,1485,273543
685,2,1341,273550
686,15,904,273852
687,15,1010,273847
688,2,1324,273847
689,2,1055,273546
690,15,6283,273855
691,7,8816,261091
692,12,8876,256734
693,4,7394,252740
694,4,7786,261091
695,14,10573,256735
696,8,11285,261090
697,1,1008,273729
698,6,844,276620
699,5,1446,276621
700,6,1098,276619
701,6,7096,276625
702,8,10634,272686
703,12,1042,276620
704,12,596,276618
705,12,8286,276625
706,7,3999,272557
707,7,4229,272559
708,7,3676,272552
709,7,3478,272689
710,8,1018,276620
711,7,1556,276621
712,8,1088,276623
713,7,1159,276614
714,13,4107,272556
715,12,4429,272555
716,13,5550,272555
717,12,3761,272559
718,12,3398,272546
719,12,3499,272541
720,12,3659,272550
721,12,2816,272690
722,1,1026,273671
723,1,1740,273460
724,1,1302,273741
725,1,952,273531
726,1,3063,273746
727,1,1386,273859
728,1,1263,273856
729,1,2681,273444
730,1,955,273571
731,1,2441,273871
732,1,3612,273872
733,1,1251,273541
734,1,1720,273539
735,1,824,273847
736,1,1130,273849
737,4,3963,272557
738,1,1208,275972
739,4,3830,272543
740,4,3724,272552
741,4,3451,272690
742,4,3466,272687
743,2,1090,276614
744,4,1005,276619
745,1,975,276622
746,1,990,276623
747,5,5064,272559
748,5,5315,272691
749,6,3408,272543
750,5,4391,272542
751,6,3579,272542
752,5,3997,272549
753,1,4397,272555
754,1,4157,272691
755,1,2932,272548
756,5,1610,262430
757,8,1467,262426
758,6,1122,262428
759,14,1455,262426
760,4,1541,262428
761,1,4498,284109
762,1,2380,284121
763,1,2602,284124
764,1,2394,284133
765,8,1232,273738
766,8,1340,273860
767,8,1304,273559
768,8,1074,273861
769,8,1347,273856
770,6,1063,273557
771,8,1057,273557
772,6,1378,273447
773,8,1041,273665
774,6,1405,273442
775,6,1063,273868
776,6,1984,273863
777,6,1046,273565
778,8,3347,273573
779,6,1283,273451
780,8,1667,273451
781,8,1006,273541
782,8,1356,273535
783,8,972,273831
784,8,1227,273536
785,8,1813,273537
786,8,622,273551
787,6,670,273545
788,8,1399,273547
789,4,2275,275782
790,7,2710,275783
791,14,876,273730
792,14,1198,273452
793,14,1470,273740
794,14,947,273531
795,14,1179,273532
796,13,1335,273738
797,14,1673,273466
798,14,1703,273739
799,13,1518,273739
800,13,2366,273534
801,14,1356,273558
802,14,934,273559
803,13,924,273556
804,14,1348,273858
805,13,1274,273569
806,13,1314,273869
807,14,4146,273865
808,14,2154,273566
809,13,1711,273567
810,13,2185,273568
811,14,4116,273573
812,13,2222,273667
813,1,3815,285791
814,1,10175,286432
815,13,2330,273842
816,14,1190,273541
817,13,2167,273537
818,13,1903,273539
819,13,6830,273845
820,13,5288,273544
821,14,1058,273851
822,14,1046,273847
823,13,1789,273848
824,13,1195,273547
825,14,1042,273548
826,8,2203,275973
827,1,9460,280243
828,13,1667,275974
829,14,1671,275971
830,13,2125,275782
831,13,3559,275783
832,7,1430,273730
833,7,1323,273733
834,4,1187,273459
835,7,1220,273671
836,7,1141,273455
837,7,1913,273460
838,4,1673,273460
839,7,1501,273740
840,7,2020,273744
841,7,1725,273461
842,4,1468,273461
843,4,1470,273739
844,4,1676,273859
845,4,1467,273559
