Obsidian Gladiator's Chain Armor,2910,4096,0,16,212,13301,0,1,9,100100,3820,0
Obsidian Gladiator's Chain Armor,2911,4096,0,48,212,3859,2910,1,9,100100,3820,0
Obsidian Gladiator's Chain Armor,2927,4,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Chain Armor,2928,4,0,48,212,3859,2927,1,9,100100,10402,0
Obsidian Gladiator's Chain Armor,2929,64,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Chain Armor,2930,64,0,48,212,3859,2929,1,9,100100,10402,0
Obsidian Gladiator's Leather Armor,2919,2048,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Leather Armor,2920,2048,0,48,212,3859,2919,1,9,100100,10402,0
Obsidian Gladiator's Leather Armor,2921,1024,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Leather Armor,2922,1024,0,48,212,3859,2921,1,9,100100,10402,0
Obsidian Gladiator's Leather Armor,2923,512,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Leather Armor,2924,512,0,48,212,3859,2923,1,9,100100,10401,0
Obsidian Gladiator's Leather Armor,2925,8,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Leather Armor,2926,8,0,48,212,3859,2925,1,9,100100,10402,0
Obsidian Gladiator's Plate Armor,2913,32,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Plate Armor,2914,32,0,48,212,3859,2913,1,9,100100,10402,0
Obsidian Gladiator's Plate Armor,2931,2,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Plate Armor,2932,2,0,48,212,3859,2931,1,9,100100,10402,0
Obsidian Gladiator's Plate Armor,2933,1,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Plate Armor,2934,1,0,48,212,3859,2933,1,9,100100,10402,0
Obsidian Gladiator's Silk Armor,2915,16,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Silk Armor,2916,16,0,48,212,3859,2915,1,9,100100,10402,0
Obsidian Gladiator's Silk Armor,2917,256,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Silk Armor,2918,256,0,48,212,3859,2917,1,9,100100,10402,0
Obsidian Gladiator's Silk Armor,2935,128,0,16,212,13301,0,1,9,100100,10401,0
Obsidian Gladiator's Silk Armor,2936,128,0,48,212,3859,2935,1,9,100100,10402,0
