ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Charakteraufwertung (Stufe 100),Kostenlose Charakteraufwertung (Stufe 100),"World of Warcraft: Legion beinhaltet eine Charakteraufwertung auf Stufe 100. Sie können sofort einen existierenden Charakter aufwerten, zuerst eine neue Klasse auf Stufe 100 ausprobieren oder dieses Fenster schließen, um die Charakteraufwertung später zu nutzen.",1,2,1033987,90,1,700,100,6,260,0
5,Aufwertung für Battle for Azeroth,Kostenlose Charakteraufwertung (Stufe 110),"World of Warcraft: Battle for Azeroth beinhaltet eine Charakteraufwertung auf Stufe 110. Wählen Sie eine der Optionen unten oder schließen Sie das Fenster, um die Charakteraufwertung später zu nutzen.",1,3,3573824,80,1,700,48,7,265,0
6,Charakteraufwertung (Stufe 90),Kostenlose Charakteraufwertung (Stufe 90),Kostenlos inbegriffen beim Kauf von Warlords of Draenor,1,1,614740,100,0,625,90,5,260,0
107,Dragonflight kostenlos ausprobieren,Dragonflight kostenlos ausprobieren,Für kurze Zeit: Spielt Dragonflight kostenlos!|n|nErstellt einen Dracthyrrufer oder erforscht die Dracheninseln mit einem beliebigen Charakter auf Stufe 60!,0,0,4723908,1100,0,0,0,7,265,0
118,Aufwertung für Shadowlands,Kostenlose Charakteraufwertung (Stufe 120),,1,4,3752121,50,1,0,50,7,265,0
120,Charakteraufwertung (Stufe 60),Kostenlose Charakteraufwertung (Stufe 60),,1,6,4279397,60,1,0,60,8,265,5595
123,Charaktertransfer,Charaktertransfer,Transferiert Euren Charakter auf einen anderen Realm oder Account,2,1,1530081,40,0,0,0,0,5362,5590
125,Fraktionswechsel,Fraktionswechsel,Wechselt die Fraktion des Charakters (Horde zu Allianz oder Allianz zu Horde).,2,2,1126583,35,0,0,0,0,5362,5587
139,Volkswechsel,Volkswechsel,Wechselt das Volk Eures Charakters (innerhalb Eurer aktuellen Fraktion),2,3,1126585,30,0,0,0,0,5362,5589
140,Charakterumbenennung,Charakterumbenennung,Ändert den Namen eines Charakters,2,4,1126584,25,0,0,0,0,5362,5588
143,Charakteraufwertung (Stufe 70),Kostenlose Charakteraufwertung (Stufe 70),,1,8,4734167,70,0,0,70,9,5468,5594
