ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,Allgemein - %s,Allgemein,1572875,0,0
2,Handel - %s,Handel,1048635,0,0
22,LokaleVerteidigung - %s,LokaleVerteidigung,1114123,0,0
26,SucheNachGruppe,SucheNachGruppe,262152,0,0
27,BigfootWeltChannel,BigfootWeltChannel,8,0,0
28,Versammlungsstein,Versammlungsstein,8,0,0
32,Einsteigerchat,Einsteigerchat,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,ShadowlandsBetaDiscussion,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,ShadowlandsPTRDiscussion,2097160,0,2
35,War Within Test Discussion,WarWithinTestDiscussion,6291465,0,0
36,Chromiezeit - Cataclysm,Chromiezeit,2097160,0,2
37,Chromiezeit - Burning Crusade,Chromiezeit,2097160,0,2
38,Chromiezeit - Wrath of the Lich King,Chromiezeit,2097160,0,2
39,Chromiezeit - Mists of Pandaria,Chromiezeit,2097160,0,2
40,Chromiezeit - Warlords of Draenor,Chromiezeit,2097160,0,2
41,Chromiezeit - Legion,Chromiezeit,2097160,0,2
42,Handel (Dienste) - %s,Dienste,1048635,0,0
