ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Todesminen,"Es heißt, die Goldvorräte der Todesminen hätten einst ein Drittel der Schatzreserven von Sturmwind dargestellt. Im Chaos des Ersten Krieges wurden die Minen dann aufgegeben und später glaubte man, dass es in ihnen spuken würde. Dadurch waren sie relativ unberührt, bis die Bruderschaft der Defias - eine Gruppe von früheren Arbeitern, die zu Räubern geworden waren - das Labyrinth als ihre Operationsbasis für ihre subversiven Angriffe auf Sturmwind erwählte.",36,522336,522352,136332,526404,1,1581,0
64,Burg Schattenfang,"Die verlassenen Ruinen der Burg Schattenfang überragen das Dorf Lohenscheit im Silberwald. Die verfluchte Seele von Baron Silberlein sucht die Burg noch immer heim, aber nun hat auch eine neue Präsenz von Schattenfangs kalten Mauern Besitz ergriffen. Der abtrünnige Adlige Lord Godfrey hat die Burg zu seiner Zuflucht erklärt, wo er nun die Zerstörung sowohl von Gilneas als auch der Verlassenen plant.",33,522342,522358,136357,526410,0,0,0
65,Thron der Gezeiten,"Tief in den unergründlichen Weiten des Meeresschlunds liegt der Thron der Gezeiten. Von hier aus überwacht und schützt seit Ewigkeiten der große Elementarlord Neptulon der Gezeitenjäger sein Meeresreich. Nun muss er sich der größten Herausforderung stellen, da sein Herrschaftsgebiet von Streitkräften der listigen Naga und der unheilvollen Gesichtslosen belagert wird, die drohen, ihn von seinem Thron zu stoßen und sein Reich und dessen Geheimnisse ungeschützt Plünderern auszusetzen.",643,522346,522362,460875,526413,1,5382,0
66,Schwarzfelshöhlen,"Gerüchten zufolge war es Todesschwinge persönlich, der dieses unterirdische Labyrinth in den Berg schlug, welches es dem Schattenhammer nun erlaubt, im Verborgenen Elementare vom majestätischen Hyjal zum Schwarzfels zu bringen. Ein entscheidender Knotenpunkt dieses Schattennetzwerks sind die Schwarzfelshöhlen, der Standort der glühenden Schmiede des Kults und Schauplatz einiger ihrer abscheulichsten Experimente, darunter die Transformation von Kultisten zu Zwielichtdrachkin.",645,522334,522350,460859,526402,1,5374,0
67,Der Steinerne Kern,"Im Tempel der Erde, innerhalb des Herzens Tiefenheims, liegt der Steinerne Kern. In diesen Höhlen geschah es, dass der Schattenhammer mit mühevoller Arbeit Elementiumplatten auf den Körper den Drachenaspekts hämmerte, in dem Versuch, seine gemarterte Gestalt zusammenzuhalten. Nachdem seine Erneuerung abgeschlossen war, stieg Todesschwinge nach Azeroth auf, wobei er die Weltensäule zerstörte und die Region von Tiefenheim destabilisierte.",725,522344,522360,460872,526412,1,5303,0
68,Der Vortexgipfel,"Der Vortexgipfel existiert innerhalb der Elementarebene der Luft des Himmelswalls. Seine eleganten Strukturen, gekrönt durch Bronze und Gold, stehen auf Plattformen, die durch luftige Brücken verbunden sind. Und doch finden sich hinter der äußeren Schönheit Tol'vir der Neferset sowie die gnadenlosen Elementarlegionen von Al'Akir dem Windlord. So lange die Barriere zwischen dem Himmelswall und Azeroth geöffnet bleibt, werden Schrecken aus dem Himmel auf Uldum niederregnen.",657,522345,522361,460873,526414,1,5583,0
69,Die Verlorene Stadt der Tol'vir,"Die Verlorene Stadt der Tol'vir ist die Festung der Neferset, einer Fraktion der katzenartigen Tol'vir, die Todesschwinge Lehenstreue geschworen haben im Austausch gegen die Heilung vom Fluch des Fleisches, der ihr steiniges Fell in weiche Haut verwandelte. Nachdem ihr Leiden aufgehoben war, haben die Tol'vir sich gegen ihren Wohltäter aufgelehnt und doch bleiben sie weiterhin unwiderruflich verderbt und feindselig, dank des dunklen Pakts, den sie geschlossen haben.",755,522341,522357,460866,526409,1,0,0
70,Hallen des Ursprungs,"Die von den Titanen erbauten Hallen des Ursprungs sind angefüllt mit uralten Relikten und ihren furchterregenden Wächtern. Es gibt Gerüchte über eine verheerende Waffe in dem Komplex, in der Lage, alles Leben auf Azeroth umzustrukturieren. Todesschwinge hat seinen Agenten Al'Akir den Windlord gesandt, um das schreckliche Gerät in seinen Besitz zu bringen. Die Kommunikationssysteme der Anlage wurden bereits übernommen, doch die Waffe selbst entzieht sich noch immer seinem Zugriff.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Lasst Euch nicht von Grim Batols bescheidenem Äußeren täuschen: Viele der entweihten Kammern der Bergfestung liegen tief unter dem Schattenhochland. Einst die Hochburg der Wildhammerzwerge und später von den Orcs als Gefängnis für Alexstrasza eingenommen, befindet sich die Stadt nun in den Fängen des Schattenhammers.

Helden, die tapfer genug sind, in die finsteren Tiefen der Feste vorzudringen, werden sich den Agenten Todesschwinges stellen müssen, um das mysteriöse Übel im Inneren aufzuhalten.",670,522338,522354,460863,526406,0,0,0
72,Die Bastion des Zwielichts,"Die Bastion des Zwielichts ist das dunkle Symbol der wachsenden Macht der Alten Götter in Azeroth. Verschiedene Gruppierungen des Schattenhammers hausen unterhalb des aufragenden Gebildes - das als das Kommandozentrum des Kults betrachtet wird - zusammen mit ihrem wahnsinnigen Anführer Cho'gall. Dort schmieden er und seine Diener Pläne, um die apokalyptischen Visionen der Alten Götter Wirklichkeit werden zu lassen, indem Azeroth seines Verstands, seiner Hoffnung und seines Lebens beraubt werden soll.",671,522339,522355,460863,526407,0,0,0
