ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Meistert die neue Klasse: den Dämonenjäger.,1260827,2
2,Kämpft Euch auf den Verheerten Inseln auf Stufe 110 vor.,1064187,2
4,Begebt Euch auf Tausende zusätzlicher Quests!,236669,5
5,Erreicht Stufe 100 auf der Welt Draenor.,1033987,5
6,Errichtet Eure Garnison und baut sie aus.,1033989,5
7,Begebt Euch auf Tausende zusätzlicher Quests!,236669,4
8,Steigt bis Stufe 70 auf,236567,4
9,"Schaltet neun Erweiterungen frei, inklusive Dragonflight",1064187,4
10,Rekrutiert verbündete Völker,413576,6
11,Kämpft Euch in Kul Tiras und Zandalar auf Stufe 120 hoch.,1064187,6
12,Wertet einen Charakter auf Stufe 110 auf.,1033988,6
116,Steigt in den Schattenlanden bis Stufe 60 auf.,236567,115
117,Tretet einem Pakt bei und setzt seine Macht ein.,3726261,115
118,"Erklimmt Torghast, Turm der Verdammten.",3257863,115
122,Steigt auf den Dracheninseln bis Stufe 70 auf,1064187,135
123,Meistert die neue Klasse Dracthyrrufer,4696175,135
124,Erlebt den Nervenkitzel des Drachenreitens,4640496,135
125,Tretet das Abenteuer der Weltenseelen-Saga an,1064187,143
126,Kämpft Euch bis auf Stufe 80 vor und erhaltet dabei neue Heldentalente,135981,143
127,Erkundet mit Eurem NSC-Begleiter Tiefen,1786405,143
131,Holt Euch Midnight im Vorverkauf und setzt die epische Weltenseelen-Saga fort,1778229,149
132,"Stürzt Euch jetzt in The War Within mit neuen Tiefen, Dungeons und Schlachtzügen",6025441,149
133,"Erhaltet die Schlüssel zu Eurem Heim und sammelt Dekorationen, um es ganz nach Eurem Geschmack zu gestalten.",7252953,149
