Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Waffen,GsSt,1,3,0,13,100,0,0,1
Einhand,GsSt,2,0,0,0,10,1,0,1
Einhandäxte,GsSt,3,3,3,0,10,2,0,1
Einhandstreitkolben,GsSt,4,3,7,0,20,2,0,1
Einhandschwerter,GsSt,5,3,10,0,30,2,0,1
Kriegsgleven,GsSt,6,3,12,0,40,2,0,1
Dolche,GsSt,7,3,18,0,50,2,0,1
Faustwaffen,GsSt,8,3,16,0,60,2,0,1
Zauberstäbe,GsSt,9,3,56,0,70,2,0,1
Zweihand,GsSt,10,0,0,0,20,1,0,1
Zweihandäxte,GsSt,11,3,4,0,10,10,0,1
Zweihandstreitkolben,GsSt,12,3,8,0,20,10,0,1
Zweihandschwerter,GsSt,13,3,11,0,30,10,0,1
Stangenwaffen,GsSt,14,3,9,0,40,10,0,1
Stäbe,GsSt,15,3,13,0,50,10,0,1
Distanzwaffen,GsSt,16,0,0,0,30,1,0,1
Bögen,GsSt,17,3,5,0,10,16,0,1
Armbrüste,GsSt,18,3,55,0,20,16,0,1
Schusswaffen,GsSt,19,3,6,0,30,16,0,1
Wurfwaffen,GsSt,20,3,34,0,40,16,0,1
Verschiedenes,GsSt,21,0,0,0,40,1,0,1
Angelruten,GsSt,22,3,57,0,10,21,0,1
Sonstiges,GsSt,23,3,17,0,20,21,0,1
Rüstung,GsSt,24,5,0,0,200,0,0,1
Platte,GsSt,25,5,23,0,10,24,0,1
Runenschnitzen,GsSt,26,5,23,0,10,25,12,1
Kopf,GsSt,27,5,23,1,20,25,0,1
Schulter,GsSt,28,5,23,3,30,25,0,1
Brust,GsSt,29,5,23,5,40,25,0,1
Taille,GsSt,30,5,23,6,50,25,0,1
Beine,GsSt,31,5,23,7,60,25,0,1
Füße,GsSt,32,5,23,8,70,25,0,1
Handgelenk,GsSt,33,5,23,9,80,25,0,1
Hände,GsSt,34,5,23,10,90,25,0,1
Kette,GsSt,35,5,22,0,20,24,0,1
Runenschnitzen,GsSt,36,5,22,0,10,35,12,1
Kopf,GsSt,37,5,22,1,20,35,0,1
Schulter,GsSt,38,5,22,3,30,35,0,1
Brust,GsSt,39,5,22,5,40,35,0,1
Taille,GsSt,40,5,22,6,50,35,0,1
Beine,GsSt,41,5,22,7,60,35,0,1
Füße,GsSt,42,5,22,8,70,35,0,1
Handgelenk,GsSt,43,5,22,9,80,35,0,1
Hände,GsSt,44,5,22,10,90,35,0,3
Leder,GsSt,45,5,21,0,30,24,0,1
Runenschnitzen,GsSt,46,5,21,0,10,45,12,1
Kopf,GsSt,47,5,21,1,20,45,0,1
Schulter,GsSt,48,5,21,3,30,45,0,1
Brust,GsSt,49,5,21,5,40,45,0,1
Taille,GsSt,50,5,21,6,50,45,0,1
Beine,GsSt,51,5,21,7,60,45,0,1
Füße,GsSt,52,5,21,8,70,45,0,1
Handgelenk,GsSt,53,5,21,9,80,45,0,1
Hände,GsSt,54,5,21,10,90,45,0,1
Stoff,GsSt,55,5,20,0,40,24,0,1
Runenschnitzen,GsSt,56,5,20,0,10,55,12,1
Kopf,GsSt,57,5,20,1,20,55,0,1
Schulter,GsSt,58,5,20,3,30,55,0,1
Brust,GsSt,59,5,20,5,40,55,0,1
Taille,GsSt,60,5,20,6,50,55,0,1
Beine,GsSt,61,5,20,7,60,55,0,1
Füße,GsSt,62,5,20,8,70,55,0,1
Handgelenk,GsSt,63,5,20,9,80,55,0,1
Hände,GsSt,64,5,20,10,90,55,0,1
Verschiedenes,GsSt,65,5,19,0,50,24,0,1
Runenschnitzen,GsSt,66,5,19,0,10,65,12,1
Hals,GsSt,67,5,19,2,20,65,0,1
Umhang,GsSt,68,5,20,16,30,65,0,1
Finger,GsSt,69,5,19,11,40,65,0,1
Schmuckstück,GsSt,70,5,19,12,50,65,0,1
In Schildhand geführt,GsSt,71,5,19,23,60,65,0,1
Schilde,GsSt,72,5,25,14,70,65,0,3
Hemd,GsSt,73,5,19,4,80,65,0,1
Kopf,GsSt,74,5,19,1,90,65,0,1
Kosmetisch,GsSt,75,5,24,0,60,24,0,1
Behälter,Plätze,76,2,0,0,300,0,0,2
Tasche,Plätze,77,2,2,0,10,76,0,2
Bergbautasche,Plätze,78,2,118,0,20,76,0,2
Angelkiste,Plätze,79,2,171,0,30,76,0,2
Schreibertasche,Plätze,80,2,167,0,40,76,0,2
Lederverarbeitertasche,Plätze,81,2,149,0,50,76,0,2
Kräutertasche,Plätze,82,2,109,0,60,76,0,2
Verzauberertasche,Plätze,83,2,110,0,70,76,0,2
Ingenieurstasche,Plätze,84,2,111,0,80,76,0,2
Edelsteintasche,Plätze,85,2,116,0,90,76,0,2
Kochtasche,Plätze,86,2,179,0,100,76,0,2
Edelsteine,GsSt,87,4,0,0,400,0,0,1
Artefaktrelikt,GsSt,88,4,187,0,10,87,0,1
Intelligenz,GsSt,89,4,36,0,20,87,0,1
Beweglichkeit,GsSt,90,4,119,0,30,87,0,1
Stärke,GsSt,91,4,120,0,40,87,0,1
Ausdauer,GsSt,92,4,121,0,50,87,0,1
Kritischer Trefferwert,GsSt,93,4,123,0,60,87,0,1
Meisterschaft,GsSt,94,4,124,0,70,87,0,1
Tempo,GsSt,95,4,125,0,80,87,0,1
Vielseitigkeit,GsSt,96,4,126,0,90,87,0,1
Sonstiges,GsSt,97,4,169,0,100,87,0,1
Mehrere Werte,GsSt,98,4,170,0,110,87,0,1
Gegenstandsverbesserungen,GsSt,99,9,0,0,500,0,0,1
Brust,GsSt,100,9,191,0,10,99,0,1
Handgelenk,GsSt,101,9,192,0,20,99,0,1
Hände,GsSt,102,9,193,0,30,99,0,1
Verschiedenes,GsSt,103,9,201,0,40,99,0,1
Kopf,GsSt,104,9,48,0,50,99,0,1
Zweihandwaffe,GsSt,105,9,199,0,60,99,0,1
Schild/Schildhand,GsSt,106,9,200,0,70,99,0,1
Schulter,GsSt,107,9,189,0,80,99,0,1
Umhang,GsSt,108,9,190,0,90,99,0,1
Waffe,GsSt,109,9,198,0,100,99,0,1
Finger,GsSt,110,9,197,0,110,99,0,1
Füße,GsSt,111,9,196,0,120,99,0,1
Beine,GsSt,112,9,195,0,130,99,0,1
Taille,GsSt,113,9,194,0,140,99,0,1
Verbrauchbares,Stufe,114,1,0,0,600,0,0,3
Vantusrunen,Stufe,115,1,184,0,10,114,0,3
Fläschchen & Phiolen,Stufe,116,1,131,0,20,114,0,3
Sprengstoff und Geräte,Stufe,117,1,43,0,30,114,0,3
Tränke,Stufe,118,1,44,0,40,114,0,3
Elixiere,Stufe,119,1,45,0,50,114,0,3
Speis & Trank,Stufe,120,1,133,0,60,114,0,3
Verbände,Stufe,121,1,135,0,70,114,0,3
Sonstiges,Stufe,122,1,136,0,80,114,0,3
Glyphen,,123,17,0,0,700,0,0,0
Druide,,124,17,161,0,10,123,0,0
Hexenmeister,,125,17,160,0,20,123,0,0
Magier,,126,17,159,0,30,123,0,0
Schamane,,127,17,158,0,40,123,0,0
Priester,,128,17,157,0,50,123,0,0
Schurke,,129,17,156,0,60,123,0,0
Jäger,,130,17,155,0,70,123,0,0
Paladin,,131,17,154,0,80,123,0,0
Todesritter,,132,17,162,0,90,123,0,0
Mönch,,133,17,177,0,100,123,0,0
Krieger,,134,17,153,0,110,123,0,0
Dämonenjäger,,135,17,183,0,120,123,0,0
Handwerkswaren,,136,8,0,0,800,0,0,0
Stoffe,,137,8,137,0,10,136,0,0
Leder,,138,8,138,0,20,136,0,0
Metalle & Steine,,139,8,139,0,30,136,0,0
Kochkunst,,140,8,140,0,40,136,0,0
Kräuter,,141,8,141,0,50,136,0,0
Verzauberkunst,,142,8,148,0,50,136,0,0
Inschriftenkunde,,143,8,185,0,60,136,0,0
Juwelierskunst,,144,8,115,0,70,136,0,0
Teile,,145,8,38,0,80,136,0,0
Elemente,,146,8,142,0,90,136,0,0
Optionale Reagenzien,,147,8,327,0,100,136,0,0
Sonstiges,,148,8,143,0,120,136,0,0
Rezepte,Fertigkeit,149,10,0,0,900,0,0,4
Inschriftenkunde,Fertigkeit,150,10,168,0,10,149,0,4
Schneiderei,Fertigkeit,151,10,42,0,20,149,0,4
Lederverarbeitung,Fertigkeit,152,10,41,0,30,149,0,4
Juwelierskunst,Fertigkeit,153,10,106,0,40,149,0,4
Alchemie,Fertigkeit,154,10,102,0,50,149,0,4
Schmiedekunst,Fertigkeit,155,10,100,0,60,149,0,4
Ingenieurskunst,Fertigkeit,156,10,99,0,70,149,0,4
Verzauberkunst,Fertigkeit,157,10,104,0,80,149,0,4
Kochkunst,Fertigkeit,158,10,101,0,90,149,0,4
Erste Hilfe,Fertigkeit,159,10,103,0,100,149,0,4
Angeln,Fertigkeit,160,10,105,0,110,149,0,4
Buch,Fertigkeit,161,10,40,0,120,149,0,4
Kampfhaustiere,Stufe,162,18,0,0,1000,0,0,3
Haustiere,Stufe,163,16,145,0,1000,162,0,3
Questgegenstände,,164,13,0,0,1100,0,0,0
Verschiedenes,,165,16,0,0,1200,0,0,0
Plunder,,166,16,52,0,10,165,0,0
Reagenzien,,167,16,144,0,20,165,0,0
Feiertag,,168,16,146,0,30,165,0,0
Sonstiges,,169,16,147,0,40,165,0,0
Reittier,,170,16,152,0,50,165,0,0
Reittierausrüstung,,171,16,326,0,60,165,0,0
Berufsausrüstung,GsSt,172,145,0,0,950,0,0,1
Inschriftenkunde,GsSt,173,145,341,0,10,172,0,1
