ID,Description_lang,Field_11_2_5_62687_001_lang
1,Gruppenmitglied,
2,Schlachtzugsmitglied,
3,Handeln,Gehandelt
4,Flüstern,Angeflüstert
5,Öffentlichen Auftrag erfüllt bekommen,Für Euch erfüllter öffentlicher Handwerksauftrag
6,Öffentlicher Auftrag von mir erfüllt,Von Euch erfüllter öffentlicher Handwerksauftrag
7,Persönlicher Auftrag erfüllt bekommen,Für Euch erfüllter Handwerksauftrag
8,Persönlicher Auftrag von mir erfüllt,Von Euch erfüllter Handwerksauftrag
9,Gildenauftrag erfüllt bekommen,Für Euch erfüllter Handwerksauftrag
10,Gildenauftrag von mir erfüllt,Von Euch erfüllter Handwerksauftrag
11,Sieg über Kreatur,Gemeinsam gekämpft
12,Dungeon abschließen,Gemeinsamen Dungeon abgeschlossen
13,Sieg über Boss (Schlachtzug),Gemeinsamer Schlachtzug
14,Sieg über Boss (Schlachtzugsbrowser),Gemeinsamer Schlachtzug
15,Tiefe abschließen,Gemeinsam abgeschlossene Tiefe
16,Arena abschließen,Gemeinsame Arena
17,Schlachtfeld abschließen,Gemeinsames Schlachtfeld
18,Duell,Duelliert
19,Haustierkampf,Gemeinsamer Haustierkampf
20,PvP-Sieg,Gemeinsames PvP
