ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Kampf,3475,0
4,Allgemein,3475,0
5,Wiederverwertung,3567,0
6,Logistik,3580,0
7,Wildtiere,3572,0
8,Handel,3575,0
9,Konstruktion,3578,0
10,Versorgung,3568,0
11,Rekrutierung,3583,0
12,Ausbildung,3574,0
13,Patrouille,3582,0
14,Forschung,3574,0
15,Verteidigung,3577,0
16,Erkundung,3476,0
17,Belagerung,3570,0
18,Alchemie,3571,0
19,Schmiedekunst,3474,0
20,Verzauberkunst,3566,0
21,Ingenieurskunst,3581,0
22,Inschriftenkunde,3579,0
23,Juwelierskunst,3576,0
24,Lederverarbeitung,3584,0
25,Schneiderei,3573,0
35,Schatzsuche,3575,0
36,Haustierkampf,3572,0
37,Schiff: Kampf,4613,174
38,Schiff: Öl (nicht verwendet),4614,175
39,Schiff: Übung,4617,178
40,Schiff: Schatz,4618,179
41,Ship-SiegeA,4615,176
42,Ship-SiegeH,4616,177
46,Erkunden,3582,0
47,Schiff: Bonus,4897,220
48,Schiff: Legendär,4931,221
49,Schiffsbelagerung EHA,5016,224
50,Schiffsbelagerung EHH,5017,223
51,Gebietsunterstützung - Allianz,5597,244
52,Invasion,3577,224
53,Artefakt - Mönchsmission,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Zonenunterstützung - Horde,5598,245
58,Artefakt - Schamanenmission,4929,221
59,Artefakt - Druidenmission,4929,221
60,Artefakt - Magiermission,4929,221
61,Artefakt - Jägermission,4929,221
63,Artefakt - Paladinmission,4929,221
64,Artefakt - Hexenmeistermission,4929,221
65,Artefakt - Dämonenjägermission,4929,221
66,Artefakt - Schurkenmission,4929,221
67,Artefakt - Priestermission,4929,221
68,Artefakt - Todesrittermission,4929,221
69,Artefakt - Kriegermission,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Begegnung - Tazavesh,6128,0
194,9.0 Begegnung - Schlundoffensive,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 Begegnung - Zereth Mortis,6128,0
