SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (15)|n|cFFFFD200Kosten: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2532,0,-1,3,2153
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2534,0,0,0,2158
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (85)|n|cFFFFD200Kosten: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2535,0,-1,3,2159
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (40)|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2536,0,-1,3,2160
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (55)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2537,0,-1,3,2161
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (60)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2538,0,-1,3,2162
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2539,0,0,0,2163
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2540,0,0,0,2164
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (100)|n|cFFFFD200Kosten: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2541,0,-1,3,2165
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (120)|n|cFFFFD200Kosten: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2542,0,-1,3,2166
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (100)|n|cFFFFD200Kosten: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2543,0,-1,3,2167
|cFFFFD200Berufsausbilder: |rKlassische Lederverarbeitung (110)|n|cFFFFD200Kosten: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2544,0,-1,3,2168
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2545,0,0,0,2169
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (25)|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2549,0,-1,3,2331
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (40)|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2550,0,-1,3,2332
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (50)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2551,0,-1,3,2334
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2552,0,0,0,2335
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (55)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2553,0,-1,3,2337
|cFFFFD200Berufsausbilder: |rKlassischer Bergbau (65)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2561,0,-1,3,2658
|cFFFFD200Berufsausbilder: |rKlassischer Bergbau (50)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2562,0,-1,3,2659
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (35)|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2564,0,-1,3,2661
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (1)|n|cFFFFD200Kosten: |r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2565,0,-1,3,2662
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (90)|n|cFFFFD200Kosten: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2567,0,-1,3,2664
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (65)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2568,0,-1,3,2665
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (70)|n|cFFFFD200Kosten: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2569,0,-1,3,2666
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2570,0,0,0,2667
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (105)|n|cFFFFD200Kosten: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2571,0,-1,3,2668
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (105)|n|cFFFFD200Kosten: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2572,0,-1,3,2670
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (120)|n|cFFFFD200Kosten: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2573,0,-1,3,2672
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (125)|n|cFFFFD200Kosten: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2574,0,-1,3,2674
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (145)|n|cFFFFD200Kosten: |r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2575,0,-1,3,2675
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (15)|n|cFFFFD200Kosten: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2576,0,-1,3,2737
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (110)|n|cFFFFD200Kosten: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2577,0,-1,3,2740
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (115)|n|cFFFFD200Kosten: |r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2578,0,-1,3,2741
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (20)|n|cFFFFD200Kosten: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2579,0,-1,3,2738
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (25)|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2580,0,-1,3,2739
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (120)|n|cFFFFD200Kosten: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2581,0,-1,3,2742
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (125)|n|cFFFFD200Kosten: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2587,0,-1,3,3117
|cFFFFD200Berufsausbilder: |rKlassische Schmiedekunst (65)|n|cFFFFD200Kosten: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2588,0,-1,3,3116
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (90)|n|cFFFFD200Kosten: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2589,0,-1,3,3171
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (120)|n|cFFFFD200Kosten: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2590,0,-1,3,3173
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute|n|n|cFFFFD200Sammeln von: |rWeltvorkommen,2591,0,0,0,3174
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (125)|n|cFFFFD200Kosten: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2592,0,-1,3,3176
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (130)|n|cFFFFD200Kosten: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2593,0,-1,3,3177
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute,2594,0,0,0,2333
|cFFFFD200Beute von: |rWeltkreaturen|n|n|cFFFFD200Schatz: |rWeltbeute,2595,0,0,0,3188
|cFFFFD200Berufsausbilder: |rKlassische Alchemie (15)|n|cFFFFD200Kosten: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2596,0,-1,3,3170
