ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006,WaypointMapVolumeID
6,Nehmt das Portal vom Magiersanktum in den Jadewald,7262,67395,4,1,10,0
7,"Magiersanktum, Portal in den Jadewald",7263,924,0,2,0,0
8,Verlasst das Magiersanktum,7264,924,4,0,30,0
9,Betretet das Magiersanktum,7266,924,0,0,0,0
10,Nehmt das Portal vom Östlichen Erdschrein nach Uldum,7267,37426,0,1,0,0
11,Nehmt das Portal vom Östlichen Erdschrein zum Hyjal,7268,37427,0,1,0,0
12,Nehmt das Portal vom Östlichen Erdschrein ins Schattenhochland,7269,37428,0,1,0,0
13,Nehmt das Portal vom Östlichen Erdschrein nach Vashj'ir,7270,57340,0,1,0,0
14,Nehmt das Portal vom Östlichen Erdschrein nach Tol Barad,7271,924,0,1,0,0
15,Nehmt das Portal vom Östlichen Erdschrein nach Tiefenheim,7272,37429,0,1,0,0
16,Uldum,7273,0,0,2,0,0
17,Hyjal,7274,0,0,2,0,0
18,Nehmt das Portal von Nordrassil nach Sturmwind,7275,924,0,1,0,0
19,"Sturmwind, Östlicher Erdschrein",7276,924,0,2,0,0
20,Schattenhochland,7277,924,0,2,0,0
21,Vashj'ir,7278,924,0,2,0,0
22,"Östlicher Erdschrein, Portal nach Tol Barad",7279,924,0,2,0,0
23,Nehmt das Portal vom Baradinbasislager nach Sturmwind,7280,924,0,1,0,0
24,Tiefenheim,7281,924,0,2,0,0
25,Nehmt das Portal vom Tempel der Erde nach Sturmwind,7282,924,0,1,0,0
26,Nehmt das Portal von Pel'zin nach Sturmwind,7283,924,0,1,0,0
27,Nehmt das Portal vom Magiersanktum in den Kristallsangwald,7284,76876,4,1,10,0
28,"Magiersanktum, Portal in den Kristallsangwald",7285,924,0,2,0,0
29,Nehmt das Portal von der Silbernen Enklave nach Sturmwind,7286,924,0,1,0,0
30,Nehmt das Portal vom Magiersanktum zur Exodar,7287,924,4,1,10,0
