Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005,Field_11_2_0_61476_006
,12,1,0,0,0,0
Gegenstandsstufe modifizieren - Erheblich,16,0,0,0,0,0
Sekundärwert festlegen,17,0,0,0,0,0
,31,0,0,0,0,0
Gegenstandsstufe modifizieren - Gering,46,0,0,0,0,0
,47,0,0,0,0,0
,48,0,0,0,0,0
,49,0,0,0,0,0
,50,0,0,0,0,0
Sekundärwert festlegen,67,0,0,0,0,0
Sekundärwert festlegen,72,0,0,0,0,0
Sekundärwert festlegen,73,0,0,0,0,0
Sekundärwert festlegen,74,0,0,0,0,0
Sekundärwert festlegen,75,0,0,0,0,0
Gegenstandsstufe modifizieren - Gering,77,0,0,0,0,0
Rang erhöhen,78,0,92156,0,0,0
Progenitorverbesserung hinzufügen,79,0,95770,0,0,0
Test Ore (DNT),80,1,0,1,0,0
Draconium Ore (DNT),81,0,0,1,0,0
Primal Molten Alloy (DNT),82,0,0,1,0,0
Frostfire Alloy (DNT),83,0,0,1,0,0
Obsidian Seared Alloy (DNT),84,0,0,1,0,0
Infurious Alloy (DNT),85,0,0,1,0,0
Nur optionale Reagenzien ohne Qualitätsvariation,86,0,0,0,0,0
Nur optionale Reagenzien mit Qualitätsvariation,87,0,0,0,0,0
Optionale Reagenzien mit und ohne Qualitätsvariation,88,0,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0,0
Test finishing reagent Slot (DNT),90,0,0,2,0,0
Alchemistischer Katalysator,91,2,0,2,2,0
Geringe glorreiche Einsicht,92,2,0,2,2,0
Glorreiche Einsicht,93,2,0,2,2,0
Alchemistischer Katalysator,94,2,0,2,2,0
Hochenblume (DNT),98,0,0,1,0,0
Writhebark (DNT),99,0,0,1,0,0
Saxifrage (DNT),100,0,0,1,0,0
Bubble Poppy (DNT),101,0,0,1,0,0
Primal Convergent (DNT),102,0,0,1,0,0
Omnium Draconis (DNT),103,0,0,1,0,0
Draconic Vial (DNT),104,0,0,1,0,0
Elemental Potion of Power (DNT),105,0,0,1,0,0
Phial of Tepid Versatility (DNT),106,0,0,1,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0
Rang erhöhen,110,0,92156,0,0,0
Mit Energie erfüllen,111,2,0,0,1,0
Verzierung hinzufügen,112,0,0,0,1,0
Serevite Ore (DNT),114,0,0,1,0,0
