ID,Description_lang
1,"Der Dunkelmond-Jahrmarkt ist hier, diesmal im Wald von Elwynn.

Trefft Silas Dunkelmond und seine Truppe, spielt Spiele, die Kopf und Nerven auf die Probe stellen und bewundert exotische Anblicke aus allen Himmelsrichtungen Azeroths... und darüber hinaus!"
2,Azeroth feiert! In der Hauptstadt jedes Volkes gibt es zu jeder Stunde ein Feuerwerk - und das die ganze Nacht lang!
4,"Ein Angelturnier, das an der Küste des Schlingendorntals abgehalten wird. Fangt so viele Leckerfische, wie Ihr nur könnt!

Werdet Ihr der Erste sein, der am schnellsten vierzig Fische fängt und den großen Preis gewinnt? Leckerfische kann man für zwei Stunden nach Beginn des Wettbewerbs fangen, aber zum Gewinnen müsst Ihr schnell sein!"
8,"Es wurde von den Zwergen ins Leben gerufen und begeistert nun alle Völker Azeroths!

Besucht das Lager der Allianz vor den Toren von Eisenschmiede oder das Lager der Horde vor den Toren Orgrimmars und feiert mit!"
9,"In den großen Städten Azeroths liegt etwas in der Luft. Die Handwerker haben sich zusammengetan, um die Gala der Geschenke zu veranstalten, bei der die Stadtbewohner Zeichen der Freundlichkeit und Zuneigung für ihre Liebsten erwerben können."
10,"Eine Zeit der Fröhlichkeit und des Feierns, die der heißesten Jahreszeit gewidmet ist."
11,"Nach Sonnenuntergang wird das Ende der Sonnenwende mit einem stündlichen Feuerwerk gefeiert.

Begebt Euch in eine der Hauptstädte oder nach Beutebucht, um das Spektakel zu sehen."
12,"Zeigt einem Waisenkind, wie das Leben eines Helden aussieht! Besucht Waisenmatrone Nachtigall in Sturmwind, Waisenmatrone Schlachterbe in Orgrimmar, Waisenmatrone Gnädig in Shattrath, Waisenmatrone Aria in Dalaran, Verwalter Padae in Dazar'alor oder Waisenmatrone Westerson in Boralus und lasst den Traum eines Kindes in Erfüllung gehen."
13,Großvater Winter besucht mit freundlicher Unterstützung von Kokelwälder die Städte Eisenschmiede und Orgrimmar und in ganz Azeroth bricht eine fröhliche Jahreszeit an!
14,"Das Nobelgartenfest ist da. Die Zeit für jedes Volk, sich zu beweisen, wenn junge Helden zum ersten Mal ihre Stärke testen und nach clever versteckten Schatzeiern suchen. Wie viele könnt Ihr finden?"
15,"In den Schlotternächten wird die Abspaltung der Verlassenen von der Geißel gefeiert.

Spaß und Unsinn regieren, wenn die Gastwirte Azeroths Süßes und Saures an alle verteilen, die danach fragen."
16,"Das Erntedankfest ist die Zeit, jenen zu gedenken, die ihr Leben opferten, um Freunden und Familie zu helfen. Feste werden vor den Toren von Orgrimmar und Eisenschmiede abgehalten, um die gefallenen Helden zu ehren."
17,"Jedes Jahr veranstalten die Druiden der Mondlichtung ein Fest zu Ehren des großen Sieges ihrer Stadt über ein uraltes Unheil. Während des Mondfestes erhalten die Bewohner Azeroths die Gelegenheit, ihre Ältesten zu ehren, indem sie ihre Weisheit feiern, Festmahle miteinander teilen und natürlich... Feuerwerkskörper zünden!"
18,Es wurde von den Zwergen ins Leben gerufen und feiert nun weltweit das Bier und die gute Stimmung.
21,"Kapitänin DeMeza segelt in die Goblinstadt Beutebucht und rekrutiert Landratten in ihre Ränge.

Wenn das Piratenleben was für Euch ist, dann sucht sie oder ihre Handlanger in einer der Hauptstädte auf!"
22,"Der Kampf um das Alteractal wird hitziger. Große Ehre wartet auf diejenigen, die für ihren Herren in die Schlacht um Alterac ziehen."
23,"Der Kampf um das Arathibecken wird hitziger. Große Ehre wartet auf diejenigen, die für ihren Herren in die Schlacht um Arathi ziehen."
24,"Der Kampf um das Auge des Sturms wird hitziger. Große Ehre wartet auf diejenigen, die für ihren Herren in die Schlacht um das Auge ziehen."
25,"Der Kampf um die Kriegshymnenschlucht wird hitziger. Große Ehre wartet auf diejenigen, die für ihren Herren in die Schlacht um das die Schlucht ziehen."
26,"Der Dunkelmond-Jahrmarkt ist hier, diesmal am Fuße von Donnerfels.

Trefft Silas Dunkelmond und seine Truppe, spielt Spiele, die Kopf und Nerven auf die Probe stellen und bewundert exotische Anblicke aus allen Himmelsrichtungen Azeroths... und darüber hinaus!"
27,"Der Dunkelmond-Jahrmarkt ist hier, diesmal außerhalb von Shattrath.

Trefft Silas Dunkelmond und seine Truppe, spielt Spiele, die Kopf und Nerven auf die Probe stellen und bewundert exotische Anblicke aus allen Himmelsrichtungen Azeroths... und darüber hinaus!"
