Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Alle Spezialisierungen,1,0,13,5,0
Spezialisierung,2,1,19,6,0
Alle Standorte,3,2,13,2,0
Ruhebereich,4,3,1,3,0
Welt,5,6,1,4,0
Tiefen,6,7,1,4,1
Haus,7,4,1,3,1
Charakterauswahl,8,5,1,3,2
Dungeons,9,8,1,4,2
Schlachtzüge,10,9,1,4,3
Arenen,11,10,1,4,4
Schlachtfelder,12,11,1,4,5
Alle Bewegungen,13,12,13,7,0
Nicht beritten,14,13,1,8,0
Schwimmen,15,14,1,8,1
Bodenreittier,16,15,1,8,2
Flugreittier,17,16,1,8,3
Alle Ausrüstungssets,18,17,13,9,0
Ausrüstungsset,19,18,17,10,0
Alle Völkerformen,20,19,13,11,0
Unveränderte Form,21,20,17,12,0
Veränderte Form,22,21,17,12,1
Jedes Wetter,32,22,13,14,0
Klar,33,23,1,15,0
Regen,34,24,1,15,1
Schnee,35,25,1,15,2
Sandsturm,36,26,1,15,3
Alle Zeiten,37,27,13,16,0
Morgen,38,28,1,17,0
Mittag,39,29,1,17,1
Abend,40,30,1,17,2
Nacht,41,31,1,17,3
