Description_lang,ID,DataTag
Winzig,1,65
Klein,2,66
Mittel,3,67
Groß,4,68
Riesig,5,69
Zwerge,6,74
Wildhammerzwerge,7,75
Bronzebartzwerge (Eisenschmiede),8,76
Dunkeleisenzwerge,9,77
Irdene (Dornogal),10,78
Menschen,11,79
Sturmwind,12,80
Kul Tiras,13,81
Gilneas / Worgen,14,82
Elfen,15,83
Blutelfen,16,84
Nachtelfen,17,85
Leerenelfen,18,86
Nachtgeborene,19,87
Tauren,20,88
Draenei,21,89
Orcs,22,90
Goblins,23,91
Vulpera,24,92
Trolle,25,93
Dunkelspeertrolle,26,94
Zandalaritrolle,27,95
Untote,28,96
Gnome,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
WoW-Jubiläum,44,111
Braufest,45,112
Kinderwoche,46,113
Dunkelmond-Jahrmarkt,47,114
Tag der Toten,48,115
Feuerwerksspektakel,49,116
Schlotternächte,50,117
Erntedankfest,51,118
Liebe liegt in der Luft,52,119
Mondfest,53,120
Sonnenwendfest,54,121
Nobelgartenfest,55,122
Pilgerfreudenfest,56,123
Piratentag,57,124
Winterhauchfest,58,125
Sonstiges,59,126
Kühn,60,141
Leger,61,142
Gemütlich,62,143
Niedlich,63,144
Elegant,64,145
Fae,65,146
Dämonisch,66,147
Üppig,67,148
Licht,68,149
Mechanisch,69,150
Natur,70,151
Pirat,71,152
Romantisch,72,153
Einfach,73,154
Gruselig,74,155
Leere,75,156
Vrykul,76,157
Zauberhaft,77,158
Allianz,78,159
Horde,79,160
Frühling,80,161
Sommer,81,162
Herbst,82,163
Winter,83,164
Weg Wege,84,202
Teppich Teppiche,85,201
Tasse Tassen Becher Krug Krüge Humpen,86,196
Essbesteck Tafelsilber Besteck Gabel Löffel Messer,87,198
Getränk Getränke Drink Drinks,88,195
Essen Speisen Nahrung Festmahl Snack,89,194
Küche,90,199
Teller Geschirr,91,197
Buch Bücher Foliant Folianten,92,190
Vase Vasen,93,189
Bild Kunstwerk Gemälde Leinwand,94,192
Wasser Teich,95,236
Stuhl Stühle,96,177
Couch Couchs Sofa Sofas,97,178
Schrank Schränke,98,185
Regal Regale,99,184
Theke Theken,100,182
Schreibtisch Schreibtische,101,181
Tisch Tische,102,180
Kleiderpuppe Kleiderpuppen,103,224
Kochen Kochkunst Ofen Herd Grill,104,222
Herstellen Herstellung hergestellt Beruf,105,221
Säule Säulen Pfeiler Pfosten,106,208
Zaun Zäune Einzäunung,107,209
Trennwand Trennwände Wand Wände,108,207
Rustikal,109,70
Volkstümlich,110,71
Opulent,111,72
Feiertag/Ereignis,112,73
Magisch,113,458
Dracthyr,114,484
