ID,Text_lang,RelationshipFlags,EmotesTextID
1,"%1$s stimmt ""%2$s"" zu.",0,1
2,%s stimmt Euch zu.,1,1
3,"Ihr stimmt ""%s"" zu.",2,1
4,%s stimmt zu.,4,1
5,Ihr stimmt zu.,6,1
6,"%1$s wundert sich über ""%2$s""!",0,2
7,%s wundert sich über Euch!,1,2
8,"Ihr wundert Euch über ""%s""!",2,2
9,%s wundert sich!,4,2
10,Ihr wundert Euch!,6,2
11,"%1$s erhebt erbost seine Faust gegen ""%2$s"".",0,3
12,%s erhebt erbost seine Faust gegen Euch.,1,3
13,"Ihr erhebt erbost Eure Faust gegen ""%s"".",2,3
14,%s erhebt erbost seine Faust.,4,3
15,Ihr erhebt erbost Eure Faust.,6,3
16,"%1$s erhebt erbost ihre Faust gegen ""%2$s"".",8,3
17,%s erhebt erbost ihre Faust gegen Euch.,9,3
18,%s erhebt erbost ihre Faust.,12,3
19,"%s entschuldigt sich bei ""%s"". Tut mir leid!",0,4
20,%s entschuldigt sich bei Euch. Tut mir leid!,1,4
21,"Ihr entschuldigt Euch bei ""%s"". Tut mir leid!",2,4
22,%s entschuldigt sich bei allen. Tut mir leid!,4,4
23,Ihr entschuldigt Euch bei allen. Tut mir leid!,6,4
24,"%s applaudiert ""%s"". Bravo!",0,5
25,%s applaudiert Euch. Bravo!,1,5
26,"Ihr applaudiert ""%s"". Bravo!",2,5
27,%s applaudiert. Bravo!,4,5
28,Ihr applaudiert. Bravo!,6,5
29,"%1$s ist so schüchtern... zu schüchtern, um die Aufmerksamkeit von ""%2$s"" zu erregen.",0,6
30,"%s ist so schüchtern... zu schüchtern, um Eure Aufmerksamkeit zu erregen.",1,6
31,"Ihr seid so schüchtern... zu schüchtern, um die Aufmerksamkeit von ""%s"" zu erregen.",2,6
32,%s ist schüchtern.,4,6
33,Ihr seid schüchtern.,6,6
34,"%1$s winkt ""%2$s"" herüber.",0,7
35,%s winkt Euch herüber.,1,7
36,"Ihr winkt ""%s"" herüber.",2,7
37,%s winkt alle herüber.,4,7
38,Ihr winkt alle zu Euch herüber.,6,7
39,"%s fleht ""%s"" an. Wie erbärmlich!",0,8
40,%s fleht Euch an. Wie erbärmlich!,1,8
41,"Ihr fleht ""%s"" an. Wie erbärmlich!",2,8
42,%s fleht alle um sich herum an. Wie erbärmlich!,4,8
43,Ihr fleht alle um Euch herum an. Wie erbärmlich!,6,8
44,%s fleht alle um sich herum an. Wie erbärmlich!,12,8
45,"%s beißt ""%s"". Autsch!",0,9
46,%s beißt Euch. Autsch!,1,9
47,"Ihr beißt ""%s"". Autsch!",2,9
48,"%s sieht sich um, ob es jemanden zum Beißen gibt.",4,9
49,"Ihr seht Euch um, ob es jemanden zum Beißen gibt.",6,9
50,"Blut quillt aus den Wunden von ""%s"".",4,10
51,Blut quillt aus Euren Wunden.,6,10
52,"%1$s zwinkert ""%2$s"" zu.",0,11
53,%s zwinkert Euch zu.,1,11
54,"Ihr zwinkert ""%s"" zu.",2,11
55,%s zwinkert.,4,11
56,Ihr zwinkert mit den Augen.,6,11
57,"%1$s errötet in Gegenwart von ""%2$s"".",0,12
58,%s sieht Euch an und errötet.,1,12
59,"Ihr seht ""%s"" an und errötet.",2,12
60,%s errötet.,4,12
61,Ihr errötet.,6,12
62,"%s haut ""%s"" kräftig auf den Schädel. Ätsch!",0,13
63,%s haut Euch kräftig auf den Schädel. Ätsch!,1,13
64,"Ihr haut ""%s"" kräftig auf den Schädel. Ätsch!",2,13
65,%s haut sich selbst kräftig auf den Schädel. Ätsch!,4,13
66,Ihr haut Euch selbst kräftig auf den Schädel. Ätsch!,6,13
67,%s haut sich selbst kräftig auf den Schädel. Ätsch!,12,13
68,"%1$s ist schrecklich gelangweilt von ""%2$s"".",0,14
69,%s ist schrecklich gelangweilt von Euch.,1,14
70,"Ihr seid schrecklich gelangweilt von ""%s"".",2,14
71,%s stirbt fast vor Langeweile. Das Leben ist ja sooo hart!,4,14
72,Ihr sterbt fast vor Langeweile. Das Leben ist ja sooo hart!,6,14
73,%1$s hüpft vor %2$s auf und ab.,0,15
74,%s hüpft vor Euch auf und ab.,1,15
75,"Ihr hüpft vor ""%s"" auf und ab.",2,15
76,%s hüpft auf und ab.,4,15
77,Ihr hüpft auf und ab.,6,15
78,"%s kommt gleich zurück. Bleibt wo Ihr seid, %s.",0,16
79,"%s kommt gleich zurück. Bleibt, wo Ihr seid.",1,16
80,"Ihr teilt ""%s"" mit, dass Ihr gleich zurück seid.",2,16
81,%s kommt gleich zurück.,4,16
82,"Ihr teilt allen mit, dass Ihr gleich zurück seid.",6,16
83,"%1$s verbeugt sich vor ""%2$s"".",0,17
84,%s verbeugt sich vor Euch.,1,17
85,"Ihr verbeugt Euch vor ""%s"".",2,17
86,%s verbeugt sich huldvoll.,4,17
87,Ihr verbeugt Euch huldvoll.,6,17
91,"""%s"" entfährt ein lauter Rülpser.",4,18
92,Euch entfährt ein lauter Rülpser.,6,18
93,"%s winkt ""%s"" zum Abschied. Lebt wohl!",0,19
94,%s winkt Euch zum Abschied. Lebt wohl!,1,19
95,"Ihr winkt ""%s"" zum Abschied. Lebt wohl!",2,19
96,%s winkt allen zum Abschied. Lebt wohl!,4,19
97,Ihr winkt allen zum Abschied. Lebt wohl!,6,19
98,"%1$s kichert ""%2$s"" angesichts der Situation wie irre an.",0,20
99,%s kichert Euch angesichts der Situation wie irre an.,1,20
100,"Ihr kichert ""%s"" angesichts der Situation wie irre an.",2,20
101,%s kichert angesichts der Situation wie irre.,4,20
102,Ihr kichert angesichts der Situation wie irre.,6,20
103,"%1$s bejubelt ""%2$s""!",0,21
104,%s bejubelt Euch.,1,21
105,"Ihr bejubelt ""%s"".",2,21
106,%s jubelt!,4,21
107,Ihr jubelt!,6,21
108,"%s flattert mit den Armen und stolziert um ""%s"" herum. Koooooomm, putt, putt, putt, putt!",0,22
109,"%s flattert mit den Armen und stolziert um Euch herum. Koooooomm, putt, putt, putt, putt!",1,22
110,"Ihr flattert mit den Armen und stolziert um ""%s"" herum. Koooooomm, putt, putt, putt, putt!",2,22
111,"%s flattert mit den Armen und stolziert herum. Koooooomm, putt, putt, putt, putt!",4,22
