TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
Tiger Test Task,Trinkt 3 Perlmilchtees,1,209990,92334,100,87592,0,1
Tiger Test Task 2,Esst 3 saftige Bärenburger,2,214862,92334,300,0,0,0
[DNT] Kill Bloodscale Naga,[DNT] Kill 20 Bloodscale Naga,3,210311,91023,50,87592,0,1
Tötet Zerschlagene von Dolchfenn,Tötet 20 Zerschlagene von Dolchfenn,4,0,90996,10,87592,0,1
[DNT] Collect 30 Mature Spore Sacs,[DNT] Collect 30 Mature Spore Sacs in Zangarmarsh,5,210334,91024,10,87592,0,1
[DNT] Collect 18 Bog Lord Tendrils,[DNT] Collect 18 Bog Lord Tendrils in Zangarmarsh,6,210336,91023,50,87592,0,1
[DNT] Collect 20 Glowcaps,[DNT] Collect 20 Glowcaps in Zangarmarsh,7,210338,91024,10,87592,0,1
[DNT] Collect 15 Fertile Spores,[DNT] Collect 15 Fertile Spores in Zangarmarsh,8,210340,91023,50,87592,0,1
[DNT] Collect 10 Sanguine Hisbiscus,[DNT] Collect 10 Sanguine Hisbiscus from the Underbog,9,210344,91023,50,87592,0,1
[DNT] Complete 5 Dungeons in Zangarmarsh,[DNT] Complete 5 Dungeons in Zangarmarsh,10,210346,91022,25,87592,0,1
[DNT] Complete 5 Daily Quests in Sporeggar,[DNT] Complete 5 Daily Quests in Sporeggar,11,210360,91023,50,87592,0,1
[DNT] Complete Serpentshrine Cavern,[DNT] Complete Serpentshrine Cavern,12,210366,91022,25,87592,0,1
[DNT] Collect 20 Lumber in Zangarmarsh,[DNT] Collect 20 Lumber in Zangarmarsh,13,210389,91024,10,87592,0,1
[DNT] Catch 20 Fish in Zangarmarsh,[DNT] Catch 20 Fish in Zangarmarsh,14,210391,91024,10,87592,0,1
[DNT] Harvest 20 Ore in Zangarmarsh,[DNT] Harvest 20 Ore in Zangarmarsh,15,210396,91024,10,87592,0,1
[DNT] Harvest 20 Herbs in Zangarmarsh,[DNT] Harvest 20 Herbs in Zangarmarsh,16,210400,91024,10,87592,0,1
[DNT] Harvest 20 Leather or Scales in Zangarmarsh,[DNT] Harvest 20 Leather or Scales in Zangarmarsh,17,210405,91024,10,87592,0,1
[DNT] Pat 10 Visiting Sporeggarians on the Head,[DNT] Pat 10 Visiting Sporeggarians on the Head in your Neighborhood,18,210410,91024,10,87592,0,0
[DNT] Collect 20 Glowcaps in the Neighborhood,[DNT] Collect 20 Glowcaps in the Neighborhood,19,210412,91024,10,87592,0,1
[DNT] Spread Glow Cap Spores in Fertile Soil,[DNT] Spread Glow Cap Spores in Fertile Soil in the Neighborhood,20,210420,91024,10,87592,0,0
[DNT] Catch 30 Fish in the Neighborhood,[DNT] Catch 30 Fish in the Neighborhood,21,210416,91024,10,87592,0,1
[DNT] Collect 20 Clams on the Neighborhood Beach,[DNT] Collect 20 Clams on the Neighborhood Beach,22,210418,91024,10,87592,0,1
Sammelt seltsame Wachsklumpen,Sammelt 20 seltsame Wachsklumpen in den Schallenden Tiefen und in der Umgebung.,23,210635,92099,75,87592,0,0
Besiegt die erweckte Phalanx in Erweckung der Maschine,Besiegt die erweckte Phalanx in Erweckung der Maschine.,24,210663,91023,50,0,0,0
[DNT] Complete Level 10 of Awakening the Machine,[DNT] Complete Level 10 of Awakening the Machine,25,210664,91023,50,0,24,0
[DNT] Complete Level 15 of Awakening the Machine,[DNT] Complete Level 15 of Awakening the Machine,26,210665,91023,50,0,25,0
[DNT] Complete Level 20 of Awakening the Machine,[DNT] Complete Level 20 of Awakening the Machine,27,210666,91023,50,0,26,0
[DNT] Defeat Waxtail Kobolds,[DNT] Defeat 20 Waxtail Kobolds,28,210667,91023,50,87592,0,1
[DNT] Defeat Sparklit Kobolds,[DNT] Defeat 20 Sparklit Kobolds,29,210899,91023,50,87592,0,1
[DNT] Defeat Glumtooth Kobolds,[DNT] Defeat 20 Glumtooth Kobolds,30,210905,91023,50,87592,0,1
[DNT] Defeat Flickerflame Kobolds,[DNT] Defeat 20 Flickerflame Kobolds,31,210916,91023,50,87592,0,1
[DNT] Defeat Brightrock Kobolds,[DNT] Defeat 20 Brightrock Kobolds,32,210927,91023,50,87592,0,1
[DNT] Defeat Kobolds in The Ringing Deeps,[DNT] Defeat 100 Kobolds in The Ringing Deeps,33,210933,91023,50,87592,0,1
Besiegt Unterkrabbler in den Schallenden Tiefen,Besiegt 20 Unterkrabbler in den Schallenden Tiefen,34,210978,91024,10,87592,0,0
Besiegt Tiefenschinder,Besiegt 20 Tiefenschinder in den Schallenden Tiefen,35,210980,91024,10,87592,0,0
Besiegt Einhüllende Blutfresser,Besiegt 20 Einhüllende Blutfresser,36,210988,91024,10,87592,0,0
Schließt einen Dungeon in den Schallenden Tiefen ab,"Schließt einen Dungeon in den Schallenden Tiefen ab. Dazu zählen der Dunkelflammenspalt, Operation: Schleuse und das Steingewölbe.",37,210990,91022,25,87592,0,0
Sammelt 20 Erz in den Schallenden Tiefen,Sammelt 20 Erz in den Schallenden Tiefen,38,211019,91022,25,87592,0,0
Sammelt 20 Kräuter in den Schallenden Tiefen,Sammelt 20 Kräuter in den Schallenden Tiefen,39,211029,91022,25,87592,0,0
Sammelt 20 Häute oder Bälge in den Schallenden Tiefen,Sammelt 20 Häute oder Bälge in den Schallenden Tiefen,40,211045,91022,25,87592,0,0
