Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arkan,Arkan,"Manipuliert pure Arkanmagie, um Gegner mit überwältigender Macht zu zerstören.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",62,8,0,0,2,3,135932,0,362,190740,0
Feuer,Feuer,"Konzentriert die pure Essenz der Feuermagie und setzt Gegnern mit lodernden Flammen zu.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",63,8,1,0,2,3,135810,0,362,12846,0
Frost,Frost,"Friert Gegner am Boden fest und zerschmettert sie mit Frostmagie.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",64,8,2,0,2,67,135846,0,362,76613,0
Heilig,Heilig,"Ruft die Mächte des Lichts hernieder, um Verbündete zu heilen und zu beschützen und das Böse aus den dunkelsten Orten der Welt zu bannen.
Bevorzugte Waffen: Schwert, Streitkolben, Schild",65,2,0,0,1,5,135920,1,0,183997,0
Schutz,Schutz,"Benutzt heilige Magie, um sich und Verbündete vor Angreifern zu schützen.

Bevorzugte Waffen: Schwert, Streitkolben, Axt, Schild",66,2,1,0,0,4,236264,5,0,76671,0
Vergeltung,Vergeltung,"Rechtschaffene Kreuzfahrer, die Gegner mit Waffen und heiliger Magie richten und strafen.
Bevorzugte Waffen: Zweihandschwert, Zweihandstreitkolben, Zweihandaxt",70,2,2,0,2,68,135873,5,0,267316,0
Waffen,Waffen,"Meister schwerer Nahkampfwaffen, die ihre Gegner durch Mobilität und überwältigende Angriffe bezwingen.

Bevorzugte Waffen: Zweihandaxt, Zweihandstreitkolben, Zweihandschwert",71,1,0,0,2,68,132355,5,0,262111,0
Furor,Furor,"Tobende, beidhändige Berserker, die Gegner mit ihren Angriffshageln zerfetzen.

Bevorzugte Waffen: Zweihandäxte, Streitkolben, Schwerter in beiden Händen",72,1,1,0,2,20,132347,5,0,76856,0
Schutz,Schutz,"Tapfere Beschützer, die einen Schild einsetzen, um sich und ihre Verbündeten zu schützen.

Bevorzugte Waffen: Axt, Streitkolben, Schwert, Schild",73,1,2,0,0,4,132341,5,0,76857,0
Wildheit,Wildheit,"Von rasenden Beharrlichkeit zur Verfolgung ihrer Beute getrieben, lassen sich diese Bestien durch nichts von ihrem Sieg abbringen. Für diese Raubtiere ist selbst der Tod nur von kurzer Dauer.",74,0,0,0,2,0,236159,0,0,0,0
Gerissenheit,Gerissenheit,"Listige Kreaturen, die besonders gut darin sind, todbringende Schläge abzuschwächen, die auf sich selbst und ihre Verbündeten zielen.",79,0,2,2,2,0,132150,0,0,0,0
Hartnäckigkeit,Hartnäckigkeit,"Erfahrene Verteidiger, die ihre dicken Felle und ihre beschützenden Körper ohne Zögern zum Wohl ihrer Verbündeten der Gefahr in den Weg stellen.",81,0,1,1,0,0,132121,0,0,0,0
Gleichgewicht,Gleichgewicht,"Kann sich in einen mächtigen Mondkin verwandeln, der die Kräfte von Arkan- und Naturmagien ausbalanciert, um Gegner zu vernichten.
Bevorzugte Waffen: Stab, Dolch, Streitkolben",102,11,0,0,2,331,136096,0,363,393014,0
Wildheit,Wildheit,"Nimmt die Gestalt einer Großkatze an, um Gegner mit Bissen und Klauen bluten zu lassen.
Bevorzugte Waffen: Stab, Stangenwaffe",103,11,1,0,2,260,132115,3,363,77493,0
Wächter,Wächter,"Nimmt die Gestalt eines mächtigen Bären an, um Schaden zu absorbieren und Verbündete zu schützen.
Bevorzugte Waffen: Stab, Stangenwaffe",104,11,2,0,0,4,132276,3,363,155783,0
Wiederherstellung,Wiederherstellung,"Kanalisiert mächtige Naturmagie, um Verbündete zu regenerieren und am Leben zu halten.
Bevorzugte Waffen: Stab, Dolch, Streitkolben",105,11,3,0,1,3,136041,0,363,77495,0
Blut,Blut,"Dunkle Wächter, die Lebensenergien verderben und manipulieren, um in der Schlacht davon zu zehren.

Bevorzugte Waffen: Zweihandaxt, Zweihandstreitkolben, Zweihandschwert",250,6,0,0,0,4,135770,5,0,77513,0
Frost,Frost,"Eisige Unheilsboten, die Runenmacht kanalisieren und bösartige Waffenangriffe ausführen.
Bevorzugte Waffen: Äxte, Streitkolben, Schwerter in beiden Händen",251,6,1,0,2,4,135773,5,0,77514,0
Unheilig,Unheilig,"Meister des Todes und des Verfalls, die Krankheiten verbreiten und untote Diener kontrollieren.

Bevorzugte Waffen: Zweihandaxt, Zweihandstreitkolben, Zweihandschwert",252,6,2,0,2,68,135775,5,0,77515,0
Tierherrschaft,Tierherrschaft,"Meister der Wildnis, die eine Vielzahl an Tieren zähmen können, von denen sie im Kampf unterstützt werden.

Bevorzugte Waffen: Bogen, Armbrust, Schusswaffe",253,3,0,0,2,66,461112,2,0,76657,0
Treffsicherheit,Treffsicherheit,"Meisterschützen, die mit unübertroffener Präzision Gegner aus der Ferne töten.
Bevorzugte Waffen: Bogen, Armbrust, Schusswaffe",254,3,1,0,2,2,236179,2,0,193468,0
Überleben,Überleben,"Höchst anpassungsfähige Fährtenleser, die Sprengsätze sowie Tiergifte verwenden und Angriffe mit ihren treuen Wildtierbegleitern koordinieren.
Bevorzugte Waffen: Stangenwaffe, Stab",255,3,2,0,2,260,461113,2,0,263135,0
Disziplin,Disziplin,"Schützt Verbündete vor Schaden und heilt ihre Wunden durch Siege über Gegner.
Bevorzugte Waffe: Stab, Zauberstab, Dolch, Streitkolben",256,5,0,0,1,67,135940,0,353,271534,0
Heilig,Heilig,"Vielseitige Heiler, die von einzelnen oder mehreren Verbündeten erlittenen Schaden aufheben können und sogar im Tod noch in der Lage sind, Heilung zu wirken.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Streitkolben",257,5,1,0,1,3,237542,0,353,77485,0
Schatten,Schatten,"Dunkle Zauberwirker, die ihre Gegner mithilfe von sinistrer Schattenmagie und schrecklicher Leerenmagie auslöschen.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Streitkolben",258,5,2,0,2,11,136207,0,353,343690,0
Meucheln,Meucheln,"Tödliche Giftbrauer, die ihre Opfer mit hinterhältigen Dolchstößen beseitigen.
Bevorzugte Waffe: Dolch",259,4,0,0,2,68,236270,3,0,76803,0
Gesetzlosigkeit,Gesetzlosigkeit,"Skrupellose Flüchtige, die Beweglichkeit und Tücke nutzen, um ihre Gegner im Nahkampf zu bezwingen.
Bevorzugte Waffen: Axt, Streitkolben, Schwert, Faustwaffe",260,4,1,0,2,4,236286,3,0,76806,0
Täuschung,Täuschung,"Dunkle Pirscher, die aus den Schatten springen, um ihre unwissende Beute zu meucheln.

Bevorzugte Waffen: Dolch",261,4,2,0,2,4,132320,3,0,76808,0
Elementar,Elementar,"Zauberwirker, die sich die zerstörerischen Kräfte der Natur und der Elemente untertan machen.
Bevorzugte Waffen: Streitkolben, Dolch, Schild",262,7,0,0,2,75,136048,0,369,168534,0
Verstärkung,Verstärkung,"Totemische Krieger, die ihre Gegner mit Waffen und elementaren Kräften zur Strecke bringen.
Bevorzugte Waffen: Äxte, Streitkolben, Faustwaffen in beiden Händen",263,7,1,0,2,260,237581,2,369,77223,0
Wiederherstellung,Wiederherstellung,"Heiler, die die Ahnengeister anrufen und die läuternde Kraft des Wassers nutzen, um die Wunden ihrer Verbündeten zu heilen.
Bevorzugte Waffen: Streitkolben, Dolch, Schild",264,7,2,0,1,3,136052,0,369,77226,0
Gebrechen,Gebrechen,"Meister der Schattenmagien, die Energien entziehen und ihre Gegner mit anhaltenden Zaubern belegen.
Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",265,9,0,0,2,67,136145,0,357,77215,0
Dämonologie,Dämonologie,"Meister über Dämonen, die zerstörerische Macht aus den verzerrten Seelen ihrer Armee schöpfen.

Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",266,9,1,0,2,3,136172,0,357,77219,0
Zerstörung,Zerstörung,"Meister des Chaos, die Feuer herabregnen lassen, um ihre Gegner zu verbrennen und zu vernichten.

Bevorzugte Waffen: Stab, Zauberstab, Dolch, Schwert",267,9,2,0,2,3,136186,0,357,77220,0
Braumeister,Braumeister,"Stämmige Nahkämpfer, die unvorhersehbare Bewegungen und mystische Gebräue einsetzen, um Schaden zu vermeiden und ihre Verbündeten zu beschützen.
Bevorzugte Waffen: Stab, Stangenwaffe",268,10,0,0,0,4,608951,2,618,117906,0
Windläufer,Windläufer,"Kampfkünstler ohnegleichen, die Gegnern mit Fäusten und Füßen zusetzen.
Bevorzugte Waffen: Faustwaffen, Äxte, Streitkolben, Schwerter",269,10,2,0,2,68,608953,2,618,115636,0
Nebelwirker,Nebelwirker,"Heiler, die die geheimnisvolle Kunst der Manipulation von Lebensenergie meistern, unterstützt von der Weisheit der Jadeschlange.
Bevorzugte Waffen: Stab, Streitkolben, Schwert",270,10,1,0,1,5,608952,0,618,117907,0
