ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Schlachtzug: Der Ewige Palast|n|cFFFFD200Kombinieren:|r Aquäusreliquiare|n|cFFFFD200Beute von:|r Azsharas Glanz, dem Hofstaat der Königin oder Königin Azshara",,2,1,293019,294668,293019,294668
6,"Schlachtzug: Der Ewige Palast|n|cFFFFD200Kombinieren:|r Aquäusreliquiare|n|cFFFFD200Beute von:|r Azsharas Glanz, dem Hofstaat der Königin oder Königin Azshara",,2,2,294653,294687,298080,298082
7,"Schlachtzug: Der Ewige Palast|n|cFFFFD200Kombinieren:|r Aquäusreliquiare|n|cFFFFD200Beute von:|r Azsharas Glanz, dem Hofstaat der Königin oder Königin Azshara",,2,3,294650,294688,298081,298083
8,Schlachtzug: Der Ewige Palast|n|cFFFFD200Beute von:|r Königin Azshara - Mythisch,,2,4,294655,294689,298081,298083
9,"Schlachtfelder|n|cFFFFD200Quest:|r ""Die Schlachtfelder stürmen""|n|cFFFFD200Abgeben bei:|r Marschall Gabriel|n|cFFFFD200Ort:|r Aschenwinddocks, Boralus","Schlachtfelder|n|cFFFFD200Quest:|r ""Die Schlachtfelder stürmen""|n|cFFFFD200Abgeben bei:|r Xander Silbermann|n|cFFFFD200Ort:|r Mugambala",3,1,293031,294910,293031,294910
10,"Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldraufbold""|n|cFFFFD200Verkäufer:|r Marschall Gabriel|n|cFFFFD200Ort:|r Aschenwinddocks, Boralus|n|cFFFFD200Kosten:|r 25 Ehrenabzeichen","Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldraufbold""|n|cFFFFD200Verkäufer:|r Xander Silbermann|n|cFFFFD200Ort:|r Mugambala|n|cFFFFD200Kosten:|r 25 Ehrenabzeichen",3,2,294906,294919,300009,300012
11,"Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldtaktiker""|n|cFFFFD200Verkäufer:|r Marschall Gabriel|n|cFFFFD200Ort:|r Aschenwinddocks, Boralus|n|cFFFFD200Kosten:|r 25 Ehrenabzeichen","Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldtaktiker""|n|cFFFFD200Verkäufer:|r Xander Silbermann|n|cFFFFD200Ort:|r Mugambala|n|cFFFFD200Kosten:|r 25 Ehrenabzeichen",3,3,294907,294920,300010,300013
12,"Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldmeister""|n|cFFFFD200Verkäufer:|r Marschall Gabriel|n|cFFFFD200Ort:|r Aschenwinddocks, Boralus","Schlachtfelder|n|cFFFFD200Erfolg:|r ""Schlachtfeldmeister""|n|cFFFFD200Verkäufer:|r Xander Silbermann|n|cFFFFD200Ort:|r Mugambala",3,4,294908,294922,300010,300013
13,"Inselexpeditionen|n|cFFFFD200Quest:|r ""Azerit für die Allianz""|n|cFFFFD200Abgeben bei:|r Finn Schönwind|n|cFFFFD200Ort:|r Docks von Boralus|n","Inselexpeditionen|n|cFFFFD200Quest:|r ""Azerit für die Horde""|n|cFFFFD200Abgeben bei:|r Käpt'n Rez'okun|n|cFFFFD200Ort:|r Hafen von Zandalar",4,1,295186,295078,295186,295078
14,"Inselexpeditionen|n|cFFFFD200Kombinieren:|r Teile der Karte zu Zem'lans verlorenem Schatz|n|cFFFFD200Beute von:|r Inselexpeditionen|n|cFFFFD200Missionstisch:|r ""Verlorener Schatz des Piratenkönigs""|n|cFFFFD200Ort:|r Docks von Boralus","Inselexpeditionen|n|cFFFFD200Kombinieren:|r Teile der Karte zu Zem'lans verlorenem Schatz|n|cFFFFD200Beute von:|r Inselexpeditionen|n|cFFFFD200Missionstisch:|r ""Verlorener Schatz des Piratenkönigs""|n|cFFFFD200Ort:|r Hafen von Zandalar",4,2,295209,295208,298628,298627
15,"Inselexpeditionen|n|cFFFFD200Sammeln:|r Weltaderspionageberichte|n|cFFFFD200Questbelohnung:|r ""Azerit für die Allianz""|n|cFFFFD200Abgeben bei:|r Finn Schönwind|n|cFFFFD200Missionstisch:|r ""Suche nach der Weltader""|n|cFFFFD200Ort:|r Docks von Boralus","Inselexpeditionen|n|cFFFFD200Sammeln:|r Weltaderspionageberichte|n|cFFFFD200Questbelohnung:|r ""Azerit für die Allianz""|n|cFFFFD200Abgeben bei:|r Käpt'n Rez'okun|n|cFFFFD200Missionstisch:|r ""Suche nach der Weltader""|n|cFFFFD200Ort:|r Hafen von Zandalar",4,3,295160,295165,299334,299333
