Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
Dandors Wut,1,207,-11776,-382936,-2816,0,0,1,0,0
Aschenbringer,2,207,-11776,16765504,4006400,70,0,1,28,82183
Zwillingsklingen des Betrügers,3,206,-2200833,16122111,8650889,577,0,1,23,82147
"Aluneth, Großstab der Magna",4,208,-1267719,6343151,8615067,62,0,1,26,82174
Schuppe des Erdwächters,11,215,-44766,11010048,3276800,73,0,1,20,82029
Klingen des gefallenen Prinzen,12,214,-3804673,9152481,1447762,251,0,1,22,82144
"G'Hanir, der Mutterbaum",13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
Schlund der Verdammten,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
Apokalypse,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
Reißzähne des Verschlingers,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
"Fangklaue, Speer der wilden Götter",34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
Kriegsschwerter der Valarjar,35,215,-44766,11010048,3276800,72,0,1,20,82029
Strom'kar der Kriegsbrecher,36,215,-44766,11010048,3276800,71,0,1,20,82029
Schädel der Man'ari,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
Szepter des Sargeras,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
"Ulthalesh, Sense der Totenwinde",39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
Die Faust des Ra-den,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
Schicksalshammer,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
"Sharas'dal, Szepter der Gezeiten",42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
Die Königsmörder,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
Die Schreckensklingen,44,216,-45544,-1589760,0,260,0,1,21,82029
"T'uure, Fanal der Naaru",45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
Zorn des Lichts,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
"Xal'atath, Klinge des Schwarzen Imperiums",47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
Die Silberne Hand,48,207,-11776,16765504,4006400,65,0,1,28,82183
Der Wahrheitshüter,49,207,-11776,16765504,4006400,66,0,1,28,82183
Fäuste der Himmel,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
"Sheilun, Stab der Nebel",51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
"Fu Zan, Gefährte des Wanderers",52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
"Schwarzfrost, Großstab von Alodi",53,208,-1267719,6343151,8615067,64,0,1,26,82174
Felo'melorn,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
"Thas'dorah, Erbstück von Haus Windläufer",55,226,-2031755,-526230,-12430833,254,0,1,46,82153
Titanenblitz,56,226,-2031755,-143103,0,253,0,1,46,82153
Ursocs Klauen,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
Fänge von Ashamane,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
Sichel von Elune,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
Kriegsklingen der Aldrachi,60,206,-2200833,16122111,8650889,581,0,1,23,82147
Tiefenlichtangler,73,227,-1,-10976565,-16772353,0,0,2,0,0
Eichenbringer,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
Test Artifact 3,82,207,-11776,16765504,4006400,66,0,1,0,0
Owen Test Artifact,89,0,-16777216,-1732055,0,0,0,1,0,0
Instrumente der Gerechtigkeit,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
Schwingen des Krieges,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
Tapfere der Bastion,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
Leichtfüßige Vorhut,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
Rechtschaffene Vergeltung,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
Credo von Revendreth,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo von Revendreth,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo von Revendreth,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo von Revendreth,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo von Revendreth,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
Talentsystem 1,205,214,-3804673,-1494733,0,0,0,2,0,0
Talentsystem 2,223,214,-3804673,-1494733,0,0,0,2,0,0
Talentsystem 3,225,214,-3804673,-1494733,0,0,0,2,0,0
Strom'kar der Kriegsbrecher,234,215,-44766,11010048,3276800,71,0,1,20,82029
