Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Kristall,,1,1,72,0,-1,0,1
Stachel,,2,2,0,0,-1,0,1
Aschenbringer,,3,1,62,0,-1,0,2
Großschwert der Rechtschaffenen,,4,2,65,0,-1,0,2
Brennende Vergeltung,,5,3,63,0,-1,0,2
Ende aller Hoffnung,,6,4,66,0,-1,0,2
Schmetternde Abrechnung,,7,5,64,0,-1,0,2
Zwillingsklingen des Betrügers,,8,1,72,161,-1,0,3
Hand der Illidari,,9,2,76,928,-1,0,3
Klinge der Dunkelung,,10,3,75,930,-1,0,3
Flammenernter,,11,5,77,931,-1,0,3
Stich des Dämons,,12,4,73,929,-1,0,3
"G'Hanir, der Mutterbaum",,13,1,61,0,-1,0,13
Baumkrone,,14,2,68,0,-1,0,13
Kristallines Erwachen,,15,3,60,0,-1,0,13
Totwaldhüter,,16,4,69,0,-1,0,13
Krone des Wächters,,17,6,70,0,-1,1,13
Schuppe des Erdwächters,,20,1,183,71,-1,0,11
Reißzähne des Verschlingers,,21,1,168,169,-1,0,17
Umklammerung des Dämons,,22,3,172,173,-1,0,17
Schattenschneide,,23,2,170,171,-1,0,17
Blutzehrer,,24,4,174,175,-1,0,17
Eisschere,,25,5,176,177,-1,0,17
Schlund der Verdammten,,32,1,163,0,-1,0,15
Apokalypse,,33,1,162,0,-1,0,16
Klingen des gefallenen Prinzen,,39,1,166,167,-1,0,12
Die Faust des Ra-den,,40,1,191,192,-1,0,40
"Thas'dorah, Erbstück von Haus Windläufer",,41,1,719,0,-1,0,55
Die Königsmörder,,42,1,391,392,-1,0,43
"Sharas'dal, Szepter der Gezeiten",,43,1,195,958,-1,0,42
Schicksalshammer,,44,1,189,0,-1,0,41
"T'uure, Fanal der Naaru",,45,1,194,0,-1,0,45
Klinge des Schwarzen Imperiums,,46,1,570,952,-1,0,47
Die Silberne Hand,,47,1,198,199,-1,0,48
Ursocs Klauen,,48,1,188,638,-1,0,57
Szepter des Sargeras,,49,1,357,0,-1,0,38
"Sheilun, Stab der Nebel",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Fangklaue,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Spitze des Wächters,,54,2,179,0,-1,0,4
Entfesselte Magna,,55,3,181,0,-1,0,4
Aegwynns Sturz,,56,4,180,0,-1,0,4
Ewiger Magus,,57,5,182,0,-1,0,4
Blick der Todeswache,,58,4,184,965,-1,0,11
Letzter Atem des Weltenbrechers,,59,6,185,966,-1,1,11
Ungebrochener Trotz,,60,3,186,967,-1,0,11
Arm des gefallenen Königs,,61,2,187,968,-1,0,11
Schwarzfrost,,64,1,344,0,-1,0,53
Fokus des Wächters,,65,2,346,0,-1,0,53
Wille der Erzmagi,,66,4,351,0,-1,0,53
