ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,Fremder,2,0,0
2,Bekannter,2,8400,0
3,Kumpel,2,16800,0
4,Freund,2,25200,0
5,Guter Freund,2,33600,0
6,Bester Freund,2,42000,0
59,Fremder,16,0,0
60,Bekannter,16,8400,0
61,Kumpel,16,16800,0
62,Freund,16,25200,0
63,Guter Freund,16,33600,0
64,Bester Freund,16,42000,0
65,Fremder,17,0,0
66,Bekannter,17,8400,0
67,Kumpel,17,16800,0
68,Freund,17,25200,0
69,Guter Freund,17,33600,0
70,Bester Freund,17,42000,0
71,Fremder,18,0,0
72,Bekannter,18,8400,0
73,Kumpel,18,16800,0
74,Freund,18,25200,0
75,Guter Freund,18,33600,0
76,Bester Freund,18,42000,0
77,Fremder,19,0,0
78,Bekannter,19,8400,0
79,Kumpel,19,16800,0
80,Freund,19,25200,0
81,Guter Freund,19,33600,0
82,Bester Freund,19,42000,0
83,Fremder,20,0,0
84,Bekannter,20,8400,0
85,Kumpel,20,16800,0
86,Freund,20,25200,0
87,Guter Freund,20,33600,0
88,Bester Freund,20,42000,0
89,Fremder,21,0,0
90,Bekannter,21,8400,0
91,Kumpel,21,16800,0
92,Freund,21,25200,0
93,Guter Freund,21,33600,0
94,Bester Freund,21,42000,0
95,Fremder,22,0,0
96,Bekannter,22,8400,0
97,Kumpel,22,16800,0
98,Freund,22,25200,0
99,Guter Freund,22,33600,0
100,Bester Freund,22,42000,0
101,Fremder,23,0,0
102,Bekannter,23,8400,0
103,Kumpel,23,16800,0
104,Freund,23,25200,0
105,Guter Freund,23,33600,0
106,Bester Freund,23,42000,0
107,Fremder,24,0,0
108,Bekannter,24,8400,0
109,Kumpel,24,16800,0
110,Freund,24,25200,0
111,Guter Freund,24,33600,0
112,Bester Freund,24,42000,0
113,Lehrling,25,0,0
114,Lehrling,25,8400,0
115,Geselle,25,16800,0
116,Geselle,25,25200,0
117,Geselle,25,33600,0
118,Experte,25,42000,0
119,Fremder,26,0,0
120,Kumpan,26,8400,0
121,Kumpel,26,16800,0
122,Freund,26,25200,0
123,Bester Freund,26,42000,0
124,Guter Freund,26,33600,0
127,Rang 1,28,0,0
128,Rang 2,28,1000,0
129,Rang 3,28,2000,0
130,Rang 4,28,3000,0
131,Rang 5,28,4000,0
132,Rang 6,28,5000,0
133,Rang 7,28,6000,0
192,Rang 1,43,0,0
193,Rang 2,43,1000,0
194,Rang 3,43,2000,0
195,Rang 4,43,3000,0
196,Rang 5,43,4000,0
197,Rang 6,43,5000,0
198,Rang 7,43,6000,0
271,Maximalrang,43,7000,0
272,Maximalrang,28,7000,0
288,nicht versorgt,72,0,0
289,versorgt,72,10000,0
416,Leibwächter,160,0,0
417,Treuer Leibwächter,160,10000,0
418,Flügelmann,160,20000,0
422,Leibwächter,162,0,0
423,Treuer Leibwächter,162,10000,0
424,Flügelmann,162,20000,0
425,Leibwächter,163,0,0
426,Treuer Leibwächter,163,10000,0
427,Flügelmann,163,20000,0
428,Leibwächter,164,0,0
429,Treuer Leibwächter,164,10000,0
430,Flügelmann,164,20000,0
431,Leibwächter,165,0,0
432,Treuer Leibwächter,165,10000,0
433,Flügelmann,165,20000,0
434,Leibwächter,166,0,0
435,Treuer Leibwächter,166,10000,0
436,Flügelmann,166,20000,0
437,Leibwächter,167,0,0
438,Treuer Leibwächter,167,10000,0
439,Flügelmann,167,20000,0
443,Rang 1,171,0,0
444,Rang 2,171,1000,0
445,Rang 3,171,2000,0
446,Rang 4,171,3000,0
447,Rang 5,171,4000,0
448,Rang 6,171,5000,0
449,Rang 7,171,6000,0
450,Rang 8,171,7000,0
451,Rang 1,172,0,0
452,Rang 2,172,1000,0
453,Rang 3,172,2000,0
454,Rang 4,172,3000,0
455,Rang 5,172,4000,0
456,Rang 6,172,5000,0
457,Rang 7,172,6000,0
458,Rang 8,172,7000,0
466,Verdorrt,181,0,0
467,Stabil,181,100,0
471,Verdorrt,182,0,0
472,Stabil,182,100,0
473,Machterfüllt,182,150,0
476,Verdorrt,183,0,0
477,Satt,183,200,0
481,Rang 9,171,8000,0
482,Maximalrang,171,9000,0
483,Rang 9,172,8000,0
484,Maximalrang,172,9000,0
485,State 0 - Follower,184,0,0
486,State 2 - Chapter 2,184,21000,0
487,State 1 - Chapter 1,184,45000,0
488,State 3 - Chapter 3,184,60000,0
489,Verdorrt,185,0,0
490,Stabil,185,100,0
520,Fremder,193,0,0
521,Kumpan,193,8400,0
522,Kumpel,193,16800,0
523,Freund,193,25200,0
524,Guter Freund,193,33600,0
525,Bester Freund,193,42000,0
530,Praktikant,195,0,0
531,Juniorassistent,195,1000,0
532,Assistent,195,2000,0
533,Ersthelfer,195,3000,0
534,Satt,185,200,0
535,Satt,181,200,0
536,Stabil,183,100,0
543,Leibwächter,198,0,0
544,Treuer Leibwächter,198,10000,0
545,Flügelmann,198,20000,0
546,Fremder,199,0,0
547,Kumpan,199,8400,0
548,Kumpel,199,16800,0
550,Freund,199,25200,0
551,Guter Freund,199,33600,0
552,Fremder,200,0,0
553,Kumpan,200,8400,0
554,Kumpel,200,16800,0
555,Guter Freund,200,33600,0
556,Bester Freund,200,42000,0
562,Fremder,202,0,0
563,Kumpan,202,8400,0
564,Kumpel,202,16800,0
565,Guter Freund,202,33600,0
566,Bester Freund,202,42000,0
572,Fremder,204,0,0
573,Kumpan,204,8400,0
574,Kumpel,204,16800,0
575,Guter Freund,204,33600,0
576,Bester Freund,204,42000,0
582,Fremder,206,0,0
583,Kumpan,206,8400,0
584,Kumpel,206,16800,0
585,Guter Freund,206,33600,0
586,Bester Freund,206,42000,0
592,Fremder,208,0,0
593,Kurioses Wesen,208,8400,0
594,unbedrohlicher Kontakt,208,16800,0
595,hilfreicher Freund,208,33600,0
596,Bester Freund,208,42000,0
597,Bester Freund,199,42000,0
598,Freund,200,25200,0
599,Freund,202,25200,0
600,Freund,204,25200,0
601,Freund,206,25200,0
602,Freund,208,25200,0
603,Welpling,209,0,0
604,Temporaler Lehrling,209,1000,0
605,Zeitspringer,209,2500,0
606,Chronofreund,209,4500,0
607,Bronzener Verbündeter,209,7000,0
608,Epochenheiler,209,10000,0
609,Zeitlord,209,15000,0
611,Rang 1,210,0,0
612,Rang 2,210,1000,0
613,Rang 3,210,2000,0
614,Rang 4,210,3000,0
615,Rang 5,210,4000,0
616,Rang 6,210,5000,0
617,Rang 7,210,6000,0
618,Rang 8,210,7000,0
619,Rang 9,210,8000,0
620,Maximalrang,210,9000,0
631,Rang 1,212,0,0
632,Rang 2,212,1000,0
633,Rang 3,212,2000,0
634,Rang 4,212,3000,0
635,Rang 5,212,4000,0
636,Rang 6,212,5000,0
637,Rang 7,212,6000,0
638,Rang 8,212,7000,0
639,Rang 9,212,8000,0
640,Maximalrang,212,9000,0
641,Küken,213,0,0
642,Jungtier,213,5000,0
643,Heranwachsender,213,15000,0
644,Erwachsener,213,30000,0
746,Küken,315,0,0
750,Rang 1,316,0,0
751,Rang 2,316,300,0
752,Rang 3,316,600,0
753,Rang 4,316,900,0
754,Rang 1,317,0,0
755,Rang 2,317,300,0
756,Rang 3,317,600,0
757,Rang 4,317,900,0
758,Rang 1,318,0,0
760,Rang 3,318,600,0
761,Rang 4,318,900,0
766,Rang 1,320,0,0
767,Rang 2,320,300,0
768,Rang 3,320,600,0
769,Rang 4,320,900,0
774,Rang 5,316,1200,0
775,Rang 6,316,1500,0
776,Rang 7,316,1800,0
777,Rang 8,316,2100,0
778,Rang 9,316,2400,0
779,Rang 10,316,2700,0
780,Rang 11,316,3000,0
781,Rang 12,316,3300,0
782,Rang 13,316,3600,0
783,Rang 14,316,3900,0
784,Rang 15,316,4200,0
785,Rang 16,316,4500,0
786,Rang 17,316,4800,0
787,Rang 18,316,5100,0
788,Rang 19,316,5400,0
789,Rang 20,316,5700,0
790,Rang 21,316,6000,0
791,Rang 22,316,6300,0
792,Rang 23,316,6600,0
793,Rang 24,316,6900,0
794,Rang 25,316,7200,0
795,Rang 26,316,7500,0
796,Rang 27,316,7800,0
797,Rang 28,316,8100,0
798,Rang 29,316,8400,0
799,Rang 30,316,8700,0
821,Jungtier,315,4000,0
822,Ausgewachsenes Exemplar,315,8000,0
823,Rang 5,320,1200,0
824,Rang 6,320,1500,0
825,Rang 7,320,1800,0
826,Rang 8,320,2100,0
827,Rang 9,320,2400,0
828,Rang 10,320,2700,0
829,Rang 11,320,3000,0
830,Rang 12,320,3300,0
831,Rang 13,320,3600,0
832,Rang 14,320,3900,0
833,Rang 15,320,4200,0
834,Rang 16,320,4500,0
835,Rang 17,320,4800,0
836,Rang 18,320,5100,0
837,Rang 19,320,5400,0
838,Rang 20,320,5700,0
839,Rang 21,320,6000,0
840,Rang 22,320,6300,0
841,Rang 23,320,6600,0
842,Rang 24,320,6900,0
843,Rang 25,320,7200,0
844,Rang 26,320,7500,0
845,Rang 27,320,7800,0
846,Rang 28,320,8100,0
847,Rang 29,320,8400,0
848,Rang 30,320,8700,0
879,Rang 1,323,0,0
880,Rang 2,323,300,0
