Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Test Brawl,Test brawl description.,,1,0,2041,0
Rauferei: Süderstade vs. Tarrens Mühle,Teamtodesgrube,"- Tötet gegnerische Spielercharaktere, um Punkte zu verdienen
- Ehrenhafte Siege erhöhen Euren Rang
- Das Töten hochrangiger Gegner gewährt mehr Punkte",2,789,0,0
Rauferei: Tempel von Hotmogu,Kugeln der Macht,"- Tempo erhöht
- Bewegungsgeschwindigkeit erhöht
- Wiederbelebungsszeit verringert",3,858,0,0
Rauferei: Gravitationsverlust,Lufthoheit,"- Regelmäßige Schwerkraftsveränderungen
- Der Flaggenträger wird beschwert
- Alle anderen werden hochgestoßen",4,859,0,0
Rauferei: Arathiblizzard,Frosthoheit,"- Erobert Ziele
- Sicht ist eingeschränkt
- Terrain ist gefroren",5,847,0,0
Rauferei: Tiefenwindschuss,Prallball,"- Nehmt an der Mine Bälle auf
- Bringt die Bälle zur gegnerischen Basis
- Werft oder tragt die Bälle ins Ziel",6,860,0,0
Rauferei: Auge des Horns,Ziegenhoheit,"- Genießt Euren Ziegenritt!
- Eure Ziege kann zurückstoßen
- Entfernung verstärkt den Rückstoß",7,862,0,0
Rauferei: Volles Haus,15vs15-Arena,"- Teamtodesgrube
- 15 Spieler pro Team
- Das überlebende Team gewinnt",8,866,0,0
Rauferei: Kriegshymnenkeilerei,Erobert die Flaggen,"- Jedes Team hat mehrere Flaggen
- Eroberung erfordert nur eine Flagge
- Schnappt Euch zufällige Stärkungswürfel",9,861,0,0
Rauferei: Shado-Pan-Kraftprobe,Arena: 5vs5,"- Arena: 5vs5
- Bezwingt den Moguboss des Gegners, um zu siegen
- Sammelt die beschworenen Truhen für Stärkungseffekte ein",10,853,0,0
Rauferei: Sechs Richtige,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",11,879,0,0
Rauferei: Sechs Richtige - Die Schlacht um Gilneas,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",12,885,0,0
Rauferei: Sechs Richtige - Kriegshymnenschlucht,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",13,886,0,0
Rauferei: Sechs Richtige - Silberbruchmine,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",14,883,0,0
Rauferei: Sechs Richtige - Tempel von Katmogu,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",15,884,0,0
Rauferei: Sechs Richtige - Auge des Sturms,6vs6-Schlachtfelder,"- 6 Spieler pro Team
- Neue Spielmodi",16,882,0,0
Rauferei: Cuisino Royale,Sammelwut,"- Sammelt am Bauernhof Zutaten und bringt sie Eurem Koch.
- Das erste Team, das genug Zutaten sammelt, gewinnt!
- Besiegt den Klopfer der anderen Seite, damit er Euch hilft.",17,887,0,0
Rauferei: Rammelvolles Haus,Teamtodesgrube,"- Teamtodesgrube
- 3 Spieler pro Team
- Die ersten beiden Opfer in jedem Team werden sofort wiederbelebt",18,0,0,0
Die Brodelnde Küste,Sammelt Azerit,"Auf einer vergessenen, unerforschten Insel vor der Küste von Feralas wurden große Mengen Azerit entdeckt. Man nennt sie die Brodelnde Küste.",19,894,0,0
Rauferei: Klassisches Ashran,Endloses episches Schlachtfeld,"- Die Schlacht in Ashran nimmt niemals ein Ende!
- Tötet den Anführer der Gegnerfraktion und entscheidet die Ereignisse für Euch, um Belohnungen zu erhalten.
- Sammelt Artefaktfragmente von den Kreaturen und tauscht sie gegen Stärkungseffekte für Eure Fraktion ein.",120,1021,0,0
Rauferei: K.I.nderspiel,Vorherrschaft,"- Ziele einnehmen
- Gegner töten
- Gewinnen",121,0,1966,0
Tausendwinter,"Verteidigt Tausendwinter oder versucht, es zu stürmen","- Haltet als Verteidiger die Festung
- Zerstört als Angreifer die letzte Festungsmauer",122,1030,0,0
Rauferei: Wimmelnde Insel,Inselexpedition 10vs10,Wir werden ein größeres Boot brauchen...,123,0,2025,0
Korraks Rache,Ereignis zum Geburtstag von WoW,"- Erlebt das alte Alteractal.
- Tötet Korrak den Blutrünstigen und drängt die Trollinvasion zurück!
- Schließt Quests und Ziele für Belohnungen ab.",124,1033,0,63953
Tiefenwindschlucht,Erobert die Ziele,"- Erobert und haltet die Ziele
- Verdient 1500 Ressourcen",125,1039,0,0
Rauferei: Korraks Rache,Klassisches Alteractal,"- Erlebt das alte Alteractal.
- Tötet Korrak den Blutrünstigen und drängt die Trollinvasion zurück!
- Schließt Quests und Ziele für Belohnungen ab.",126,1033,0,0
Gemischtes Einzel,Arenaspiele mit gemischten Teams,"- 6 Spieler spielen 6 Runden Arena (3vs3)
- Teams werden am Ende jeder Runde durchgemischt
- Anmeldung nur als Solospieler",130,1065,0,0
Gemischtes Einzel: Arena der Enigmen,Arenaspiele mit gemischten Teams,"- 6 Spieler spielen 6 Runden Arena (3vs3)
- Teams werden am Ende jeder Runde durchgemischt
- Anmeldung nur als Solospieler",132,0,0,0
Rauferei: Tiefenwinddetonation,Suchen und zerstören,"- Bombe am Markt aufheben
- Bombe zu den Basen eskortieren
- Bombe legen und verteidigen",133,1075,0,0
Rauferei: Blitzschlachtfeld,Blitzschlachtfeld,"Solowarteschlange, außer für Heiler, von denen sich zwei anmelden können
- 8 Spieler pro Team
- Kämpft an der Seite von Mitgliedern beider Fraktionen
- Reitgeschwindigkeit allgemein erhöht
- Schnellere Spielmodi",136,1101,0,0
Rauferei: Blitzschlachtfeld - Kriegshymnenschlucht,Blitzschlachtfeld,,137,1102,0,0
Rauferei: Blitzschlachtfeld - Zwillingsgipfel,Blitzschlachtfeld,,138,1103,0,0
Rauferei: Blitzschlachtfeld - Schlacht um Gilneas,Blitzschlachtfeld,,139,1104,0,0
Rauferei: Blitzschlachtfeld - Silberbruchmine,Blitzschlachtfeld,,140,1105,0,0
Rauferei: Blitzschlachtfeld - Tempel von Katmogu,Blitzschlachtfeld,,141,1106,0,0
Rauferei: Blitzschlachtfeld - Tiefenwindschlucht,Blitzschlachtfeld,,142,1109,0,0
Rauferei: Blitzschlachtfeld - Arathibecken,Blitzschlachtfeld,,143,1108,0,0
Rauferei: Blitzschlachtfeld - Auge des Sturms,Blitzschlachtfeld,,144,1107,0,0
Rauferei: Die Hitze der Schlacht,Arena: 3vs3,"- Arena: 3vs3
- Wenn Ihr gegnerische Spieler auf niedrige Gesundheit bringt, erhöht sich der verursachte Schaden Eures Teams.
- Heiler erhalten eine Feldflasche, die im Kampf genutzt werden kann und Mana wiederherstellt.",145,1111,0,0
Rauferei: Blitzschlachtfeld - Tiefbeuteschlucht,Blitzschlachtfeld,,147,1118,0,0
Tiefbeuteschlucht,Tiefbeuteschlucht,"- Erobert und haltet die Minenloren
- Erobert den zentralen Edelstein
- Verdient 1.500 Ressourcen",148,1110,0,0
