ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Alteractal,Episches Schlachtfeld,,,3,20,80,25,10,40,1,5,1941,152,136324,0
2,Klassische Kriegshymnenschlucht,Flaggeneroberung,,,3,0,0,10,5,10,1,5,1942,0,136365,0
3,Klassisches Arathibecken,Vorherrschaft,,,3,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,4,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,4,0,0,5,0,5,1,5,0,1,460861,0
6,Alle Arenen,,,,4,20,80,5,0,5,1,3,0,8,525915,0
7,Auge des Sturms,Vorherrschaft,,,3,20,80,15,8,15,1,5,2851,24,525912,0
8,Ruinen von Lordaeron,,,,4,10,80,5,0,5,1,5,0,8,460869,0
9,Strand der Uralten,Belagerung,,,3,10,60,15,8,15,1,5,3695,1,460870,0
10,Kanalisation von Dalaran,,,,4,10,80,5,0,5,1,5,0,8,460862,0
11,Der Ring der Ehre,,,,4,0,0,5,0,5,1,5,0,0,460868,0
30,Insel der Eroberung,Episches Schlachtfeld,,,3,20,80,25,10,40,1,5,4273,152,311222,0
32,Zufälliges Schlachtfeld,,,,3,10,80,25,5,10,1,5,0,0,525915,0
100,Gew. Schlachtfeld,,,,3,50,80,10,5,10,1,10,0,2,0,0
101,Gew. Schlachtfeld,,,,3,50,60,15,8,15,1,15,0,2,0,0
102,Gew. Schlachtfeld,,,,3,50,80,6,4,6,1,6,0,2,0,0
108,Zwillingsgipfel,Flaggeneroberung,,,3,30,80,10,5,10,1,5,5361,24,525913,0
120,Schlacht um Gilneas,Vorherrschaft,,,3,20,80,10,3,10,1,5,5360,24,460871,0
656,Gew. Auge des Sturms,,,,3,50,80,10,5,10,1,5,2851,10,0,0
699,Tempel von Katmogu,Kugel der Macht,,,3,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,3,0,0,10,5,10,1,5,6408,1,0,0
708,Silberbruchmine,Konvoi,,,3,30,80,10,5,10,1,5,6436,24,791650,0
719,Arena der Tol'vir,,,,4,10,80,5,0,5,1,5,0,8,791652,0
754,Tiefenwindschlucht (Klassisch),Vorherrschaft,,,3,40,70,10,8,15,1,5,7671,8,875925,0
757,Tigergipfel,,,,4,10,80,5,0,5,1,5,0,8,875926,0
789,Süderstade vs. Tarrens Mühle,Rauferei,,,3,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,Verschiedene,,,3,0,0,5,0,5,1,5,0,1,0,0
808,Arena der Rabenwehr,,,,4,10,80,5,0,5,1,5,0,8,1389174,0
809,Arena von Nagrand,,,,4,10,80,5,0,5,1,5,0,8,460867,0
816,Ashamanes Sturz,,,,4,10,80,5,0,5,1,5,0,8,1389175,0
844,Arena des Schergrats,,,,4,10,80,5,0,5,1,5,0,8,460861,0
846,Die Schlacht um Gilneas (Alte Stadtkarte),Rauferei,,,3,0,0,10,5,10,1,5,0,33,460871,0
847,Das Winterarathibecken,Rauferei,,,3,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,Tiefenwindschuss,Rauferei,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,Shado-Pan-Kraftprobe,Rauferei,,,3,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Vorherrschaft,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,Schlacht um den Schwarzfels,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,Tempel von Hotmogu,Rauferei,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,Gravitationsverlust,Rauferei,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,Tiefenwindschuss,Rauferei,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,Kriegshymnenkeilerei,Rauferei,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,Auge des Horns,Rauferei,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,Alle Arenen,Rauferei,,,4,50,80,5,8,15,1,5,0,96,525915,0
868,Ruinen von Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,Kanalisation von Dalaran,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,Arena der Tol'vir,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,Der Tigergipfel,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,Arena der Rabenwehr,,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,Arena von Nagrand,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,Ashamanes Sturz,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,Arena des Schergrats,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,Sechs Richtige,Rauferei,,,3,50,80,6,5,6,1,6,0,32,0,0
880,Arathibecken,Rauferei,,,3,50,80,6,6,6,1,6,0,32,0,0
881,Tiefenwindschlucht,Rauferei,,,3,50,80,6,6,6,1,6,0,32,0,0
882,Auge des Sturms,Rauferei,,,3,50,80,6,6,6,1,6,0,32,0,0
883,Silberbruchmine,Rauferei,,,3,50,70,6,6,6,1,6,0,32,0,0
884,Tempel von Katmogu,Rauferei,,,3,50,70,6,6,6,1,6,0,32,0,0
885,Die Schlacht um Gilneas,Rauferei,,,3,50,80,6,6,6,1,6,0,32,0,0
