ID,Text_lang
1,[SERVER] Herunterfahren in %s
2,[SERVER] Neustart in %s
3,%s
4,[SERVER] Herunterfahren abgebrochen
5,[SERVER] Neustart abgebrochen
6,[SERVER] Schließung des Schlachtfelds in %s
7,[SERVER] Neustart des Schlachtfelds in %s
8,[SERVER] Schließung der Instanz in %s
9,[SERVER] Neustart der Instanz in %s
10,"Die Inhalte von Cataclysm sind nun verfügbar. Bitte schließen Sie World of Warcraft vollständig und starten Sie es erneut, um die Erweiterung zu aktivieren."
11,Ihr Ticket wird in Kürze bearbeitet.
12,Wartezeit momentan nicht verfügbar.
13,"Durchschnittliche Ticket-Wartezeit:
%s"
14,Mists of Pandaria ist veröffentlicht!
15,"Mists of Pandaria ist veröffentlicht! Besucht Orgrimmar, um Euer Abenteuer zu beginnen!"
16,"Mists of Pandaria ist veröffentlicht! Besucht Sturmwind, um Euer Abenteuer zu beginnen!"
17,[SERVER] Realmübergreifendes Herunterfahren in %s
18,[SERVER] Realmübergreifender Neustart in %s
20,"Warlords of Draenor ist veröffentlicht! Reist in die Verwüsteten Lande, um Eurer Abenteuer zu beginnen!"
21,Warlords of Draenor ist veröffentlicht!
124,DEBUG: Begegnung %s
