Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Erreicht Stufe 10.,Stufe 10,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Erreicht Stufe 20.,Stufe 20,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Erreicht Stufe 30.,Stufe 30,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Erreicht Stufe 40.,Stufe 40,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Stufe 50 vor der Erweiterung Shadowlands erreicht.,Stufe 50 (Klassisch),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Stufe 60 vor der Erweiterung Shadowlands erreicht.,Stufe 60 (Klassisch),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Stufe 70 vor der Erweiterung Shadowlands erreicht.,Stufe 70 (Klassisch),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Stufe 80 vor der Erweiterung Shadowlands erreicht.,Stufe 80 (Klassisch),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Sammelt 15 einzigartige Haustiere.,Jede Menge Haustiere,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Erreicht eine unbewaffnete Fertigkeit von 400.,Hat jemand ein Veilchen bestellt?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Schließt an fünf aufeinander folgenden Tagen eine tägliche Quest ab.,Alltägliches,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Schließt 2.000 Quests ab.,2.000 Quests abgeschlossen,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Schließt die folgenden Geschichtsstränge in der Boreanischen Tundra ab.,Rauf und runter in der Tundra,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Schließt die folgenden Geschichtsstränge im Heulenden Fjord ab.,Ich hab' den Fjord umrundet,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Schließt die folgenden Geschichtsstränge in der Drachenöde ab.,Nichts ist öde in der Öde,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Schließt die folgenden Geschichtsstränge in Zul'Drak ab.,Das Imperium von Zul'Drak,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Schließt die folgenden Geschichtsstränge in den Grizzlyhügeln ab.,Nich' zu zügeln in den Hügeln,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Schließt die folgenden Geschichtsstränge in den Sturmgipfeln ab.,Der Gipfel der Sturmgipfel,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
Schließt die folgenden Geschichtsstränge im Sholazarbecken ab.,Ab ins Becken,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
Schließt die folgenden Geschichtsstränge in Eiskrone ab.,Eiskrone: Das letzte Ziel,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
Schließt die unten aufgelisteten Questerfolge in Nordend ab.,Meister der Lehren von Nordend,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
Erkundet die Regionen der Östlichen Königreiche.,Erforscher der Östlichen Königreiche,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
Erkundet die Regionen Kalimdors.,Erforscher Kalimdors,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
Erkundet die Regionen der Scherbenwelt.,Erforscher der Scherbenwelt,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
Erkundet die Regionen von Nordend.,Erforscher Nordends,Belohnung: Wappenrock des Entdeckers,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Erkundet die Östlichen Königreiche, Kalimdor, die Scherbenwelt, Nordend, die vom Kataklysmus freigelegten Regionen, Pandaria, Draenor, die Verheerten Inseln, Kul Tiras und Zandalar.",Weltenbummler,Titel: Der/Die Entdecker(in),46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
Siege im Alteractal,Siege im Alteractal,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
Siege im Auge des Sturms,Siege im Auge des Sturms,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
Siege im Arathibecken,Siege im Arathibecken,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
Schlachten in der Kriegshymnenschlucht,Schlachten in der Kriegshymnenschlucht,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
Schlachten im Alteractal,Schlachten im Alteractal,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
Schlachten im Auge des Sturms,Schlachten im Auge des Sturms,,54,566,-1,0,153,0,0,1,11,136243,0,1272,0,0,0,0
Schlachten im Arathibecken,Schlachten im Arathibecken,,55,529,-1,0,153,0,0,1,7,136243,0,3391,0,0,0,0
Tode insgesamt,Tode insgesamt,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
Greift 3 Basen in einer einzigen Arathibeckenschlacht an.,Der Recke des Beckens,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
Quests abgebrochen,Quests abgebrochen,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
Durchschnittlich abgeschlossene Quests pro Tag,Durchschnittlich abgeschlossene Quests pro Tag,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
Tägliche Quests abgeschlossen,Tägliche Quests abgeschlossen,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
Quests abgeschlossen,Quests abgeschlossen,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
Kämpfe in den Ruinen von Lordaeron,Kämpfe in den Ruinen von Lordaeron,,99,-1,-1,0,152,0,0,1,35,136243,0,15898,0,0,0,0
Siege in der Arena von Nagrand,Siege in der Arena von Nagrand,,100,-1,-1,0,152,0,0,1,30,136243,0,836,0,0,0,0
Kämpfe in der Arena von Nagrand,Kämpfe in der Arena von Nagrand,,101,-1,-1,0,152,0,0,1,29,136243,0,945,0,0,0,0
Siege in den Ruinen von Lordaeron,Siege in den Ruinen von Lordaeron,,102,-1,-1,0,152,0,0,1,36,136243,0,8210,0,0,0,0
Kämpfe in der Arena des Schergrats,Kämpfe in der Arena des Schergrats,,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0,0,0
Siege in der Arena des Schergrats,Siege in der Arena des Schergrats,,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0,0,0
Siege in der Kriegshymnenschlucht,Siege in der Kriegshymnenschlucht,,105,-1,-1,0,153,0,0,1,21,136243,0,3068,0,0,0,0
Kreaturen getötet,Kreaturen getötet,,107,-1,-1,0,135,0,0,1,1,136243,0,762,0,0,0,0
Kleintiere getötet,Kleintiere getötet,,108,-1,-1,0,135,0,0,1,4,136243,0,774,0,0,0,0
Am häufigsten getöteter 5-Spieler-Boss in Wrath of the Lich King,Am häufigsten getöteter 5-Spieler-Boss in Wrath of the Lich King,,110,-1,-1,0,14807,0,0,1,8,136243,0,2277,1467,0,0,0
Tode durch Ertrinken,Tode durch Ertrinken,,112,-1,-1,0,122,0,0,1,2,136243,0,9921,0,0,0,0
Tode durch Erschöpfung,Tode durch Erschöpfung,,113,-1,-1,0,122,0,0,1,3,136243,0,777,0,0,0,0
Tode durch Stürze,Tode durch Stürze,,114,-1,-1,0,122,0,0,1,4,136243,0,2429,0,0,0,0
Tode durch Feuer und Lava,Tode durch Feuer und Lava,,115,-1,-1,0,122,0,0,1,5,136243,0,1592,0,0,0,0
Erlangt 150 Fertigkeitspunkte in einem klassischen Hauptberuf.,Handwerksgeselle,,116,-1,-1,0,169,1,10,0,1,134327,0,65946,0,0,0,0
Erlangt 150 Fertigkeitspunkte in der klassischen Kochkunst.,Kochgeselle,,121,-1,-1,0,170,0,10,0,1,4620671,0,5281,0,0,0,0
Erlangt 225 Fertigkeitspunkte in der klassischen Kochkunst.,Expertenkoch,,122,-1,-1,121,170,0,10,0,2,4620671,0,2377,0,0,0,0
Erlangt 300 Fertigkeitspunkte in der klassischen Kochkunst.,Klassischer Koch,,123,-1,-1,122,170,0,10,0,3,4620671,0,4033,0,0,0,0
Erlangt 75 Fertigkeitspunkte in der Kochkunst der Scherbenwelt.,Scherbenweltkoch,,124,-1,-1,0,170,0,10,0,4,4620671,0,2432,0,0,0,0
Erlangt 75 Fertigkeitspunkte in der Kochkunst von Nordend.,Nordendkoch,,125,-1,-1,0,170,0,10,0,5,4620671,0,1578,0,0,0,0
Erlangt 150 Fertigkeitspunkte im klassischen Angeln.,Anglergeselle,,126,-1,-1,0,171,0,10,0,1,4620674,0,1738,0,0,0,0
Erlangt 225 Fertigkeitspunkte im klassischen Angeln.,Expertenangler,,127,-1,-1,126,171,0,10,0,4,4620674,0,3071,0,0,0,0
Erlangt 300 Fertigkeitspunkte im klassischen Angeln.,Anglerfachmann,,128,-1,-1,127,171,0,10,0,5,4620674,0,2467,0,0,0,0
Erlangt 75 Fertigkeitspunkte im Angeln der Scherbenwelt.,Angler der Scherbenwelt,,129,-1,-1,0,171,0,10,0,6,4620674,0,3667,0,0,0,0
Erlangt 75 Fertigkeitspunkte im Angeln von Nordend.,Angler von Nordend,,130,-1,-1,0,171,0,10,0,7,4620674,0,2380,0,0,0,0
Erlangt 150 Fertigkeitspunkte in Erster Hilfe.,Geselle in Erster Hilfe,,131,-1,-1,0,172,0,0,2099200,1,135966,0,2435,0,0,0,0
Erlangt 225 Fertigkeitspunkte in Erster Hilfe.,Experte in Erster Hilfe,,132,-1,-1,131,172,0,0,2099200,3,135966,0,149,0,0,0,0
Erlangt 300 Fertigkeitspunkte in Erster Hilfe.,Fachmann in Erster Hilfe,,133,-1,-1,132,172,0,0,2048,4,135966,0,1620,0,0,0,0
Erlangt 375 Fertigkeitspunkte in Erster Hilfe.,Meister der Ersten Hilfe,,134,-1,-1,133,172,0,0,2048,6,135966,0,3355,0,0,0,0
Erlangt 450 Fertigkeitspunkte in Erster Hilfe.,Großmeister der Ersten Hilfe,,135,-1,-1,134,172,0,0,2048,8,135966,0,2792,0,0,0,0
Stellt 500 schwere Froststoffverbände her.,Vorrat aufstocken,,137,-1,-1,0,15496,0,5,131072,14,133674,0,2804,0,0,0,0
Verbindet einen Spieler bei einer Gesundheit von weniger als 5% mit einem schweren Froststoffverband oder jeglichem Glutseiden- oder Windwollverband.,Ultimative Triage,,141,-1,-1,0,15496,1,5,0,17,134470,0,6753,0,0,0,0
Angelt das Grauen aus der Tiefe in der Höhle des Schlangenschreins.,Das Grauen aus der Tiefe,,144,-1,-1,0,171,0,10,0,25,132107,0,2813,0,0,0,0
Bekommt etwas in Orgrimmar und Sturmwind an den Haken.,Der angelnde Diplomat,,150,-1,-1,0,171,0,10,131072,19,133146,0,1281,0,0,0,0
Angelt erfolgreich in einem Schwarm.,Der alte Gnom und das Meer,,153,-1,-1,0,171,1,10,0,17,236573,0,609,0,0,0,0
Gewinnt im Arathibecken.,Sieg im Arathibecken,,154,-1,-1,0,14802,0,10,0,1,236385,0,2065,0,0,0,0
Erringt 100 Siege im Arathibecken.,Veteran des Arathibeckens,,155,-1,-1,154,14802,0,10,131072,2,236381,0,4715,0,0,0,0
"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert.",Territoriale Vorherrschaft,,156,-1,-1,0,14802,0,10,131072,9,236386,0,117,0,0,0,0
"Eilt im Arathibecken 50-mal zur Verteidigung einer Basis, indem Ihr die Flagge zurückerobert.",Rettungseinsatz!,,157,-1,-1,0,14802,0,10,131072,7,132365,0,5243,0,0,0,0
Erobert 50 Flaggen im Arathibecken.,Flaggenjagd,,158,-1,-1,0,14802,0,10,131072,4,236373,0,1076,0,0,0,0
Gewinnt im Arathibecken in 6 Minuten.,Auf die Schnelle,,159,-1,-1,0,14802,0,10,0,10,236387,0,1079,0,0,0,0
Übersteht einen Ressourcennachteil von 500 in einem Kampf im Arathibecken und erringt den Sieg.,Zäher Sieg,,161,-1,-1,0,14802,1,10,0,8,236371,0,4405,0,0,0,0
Gewinnt im Arathibecken mit einem Vorsprung von 50 Punkten oder weniger.,War doch kinderleicht *hust*,,162,-1,-1,0,14802,0,10,0,11,136165,0,129,0,0,0,0
Gewinnt im Arathibecken mit einer Wertung von 1.600 zu 0.,Arathibecken-Perfektion,,165,-1,-1,0,14802,0,20,0,3,236348,0,881,0,0,0,0
Gewinnt in der Kriegshymnenschlucht.,Sieg in der Kriegshymnenschlucht,,166,489,-1,0,14804,0,10,0,1,236396,0,419,0,0,0,0
Erringt 100 Siege in der Kriegshymnenschlucht.,Veteran der Kriegshymnenschlucht,,167,489,-1,166,14804,0,10,131072,2,236384,0,422,0,0,0,0
Gewinnt die Kriegshymnenschlucht mit einem Ergebnis von 3:0.,Kriegshymnenperfektion,,168,489,-1,0,14804,0,10,0,8,236397,0,9102,0,0,0,0
Erlernte Verzauberungsformeln,Erlernte Verzauberungsformeln,,178,-1,-1,0,173,0,0,1,6,136243,0,1285,0,0,0,0
Entzauberte Gegenstände,Entzauberte Gegenstände,,181,-1,-1,0,173,0,0,1,8,136243,0,146,0,0,0,0
Durch Entzaubern produzierte Materialien,Durch Entzaubern produzierte Materialien,,183,-1,-1,0,173,0,0,1,7,136243,0,2339,0,0,0,0
Ergreift und erobert persönlich die Flagge in der Kriegshymnenschlucht.,Erobert die Flagge,,199,489,-1,0,14804,0,10,0,3,236350,0,3500,0,0,0,0
Bringt als Verteidiger in der Kriegshymnenschlucht 50 Flaggen zurück.,Hartnäckiger Verteidiger,,200,489,-1,0,14804,0,10,131072,4,236355,0,2383,0,0,0,0
