Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Erste Raumsammlung,Legt den Grundstein für Euer Haus mit vielen Basisraumformen. Willkommen zu Hause!,11,35,0,4217590
Außenbereichsdekorationen,Ihr könnt 200 Punkte an Dekorationen in Eurem Garten platzieren.,12,35,1,8164790
Heimlicht-Armillarsphäre,"Ihr erhaltet eine Heimlicht-Armillarsphäre, ein faszinierendes Gerät, das das Licht in und um das Zuhause des Besitzers nach Belieben dimmen oder verstärken kann.|n|nZusätzliche Exemplare können beim letzten Architekten in der Nachbarschaft erworben werden.",23,52,0,7487068
Mittelgroße Hausfassaden,Ihr könnt nun mittelgroße Hausfassaden für Euer Haus verwenden.,24,53,0,7252953
Budgetboni für Raum- und Dekorationsplatzierung,"Das Budget für Raum- und Dekorationsplatzierung für diese Stufe wurde erheblich erhöht (+10 Räume, +500 Dekorationen).",26,55,0,135769
Budgetboni für Raum- und Dekorationsplatzierung,"Das Budget für Raum- und Dekorationsplatzierung für diese Stufe wurde erheblich erhöht (+10 Räume, +500 Dekorationen).",27,56,0,135769
Dekorationen für den Außenbereich erhöht,Ihr könnt nun 50 zusätzliche Punkte an Dekorationen in Eurem Garten platzieren (insgesamt 250).,30,30,0,8164790
Dekorationen für den Außenbereich erhöht,Ihr könnt nun 50 zusätzliche Punkte an Dekorationen in Eurem Garten platzieren (insgesamt 300).,38,34,0,8164790
Dekorationen für den Außenbereich erhöht,Ihr könnt nun 50 zusätzliche Punkte an Dekorationen in Eurem Garten platzieren (insgesamt 350).,39,55,1,8164790
Schätze aus fernen Ländern,"Besucht einmal pro Woche den letzten Architekten in Eurer Nachbarschaft, um eine Arkanospeichersphäre zu erhalten. Diese enthält ein zufälliges Dekorationsobjekt aus der Sammlung des letzten Architekten.",40,66,0,7137527
Budgetboni für Raum- und Dekorationsplatzierung,"Das Budget für Raum- und Dekorationsplatzierung für diese Stufe wurde erheblich erhöht (+10 Räume, +500 Dekorationen).",41,67,0,135769
Große Hausfassaden,Ihr könnt nun große Hausfassaden für Euer Haus verwenden.,42,68,0,7252953
