ID,Name_lang,Description_lang,IconFileDataID,Category
1,Wilde Aggression,"Ein unberechenbarer Gegner, dessen Aggression Ihr unter Kontrolle halten solltet.",136080,2
2,Massiver Hieb,"Eine Fähigkeit, die massiven Schaden verursacht.",132355,2
3,Gruppenschaden,"Eine Fähigkeit, die mehreren Gruppenmitgliedern Schaden zufügt.",135826,2
4,Schwächungsmagie,"Ein gefährlicher schädlicher Effekt, der aufgehoben werden sollte.",136207,2
6,Gefahrenzonen,"Eine Fähigkeit, die einen Zielbereich betrifft und der Ihr entkommen oder aus dem Weg gehen müsst.",451165,2
7,Dienerschwärme,"Ein Gegner, der viele Verbündete hat. Durch Flächenschaden besonders verletzlich.",237511,2
8,Mächtiger Zauber,"Ein außergewöhnlich gefährlicher Zauber, der unterbrochen werden sollte.",136197,2
9,Tödliche Diener,"Ein Gegner mit mächtigen Verbündeten, die Ihr eliminieren solltet.",1035504,2
10,Zeitbegrenzung,"Ein Gegner, dem Ihr schnell ein Ende setzen solltet.",237538,2
11,Orc,Lok'tar ogar!,897144,1
12,Oger,Was Ihr gucken?,236695,1
13,Untoter,Hiiiiiiirn...,236458,1
14,Arakkoa,Eine uralte und gefährliche Spezies.,236435,1
15,Wildtier,Grrrrrr.,298659,1
16,Dämon,Das Ende naht.,254651,1
17,Brecher,"Kolossale, zerstörerische Riesen Draenors.",236412,1
18,Zorn,Die Elementarwesen Draenors.,254652,1
19,Entartung,Kreaturen der Leere.,298680,1
20,Ursprünglich,Alte Kreaturen des urzeitlichen Draenors.,254105,1
21,Berge,Eine bergige Region.,236848,0
22,Wüste,Raues und trockenes Land.,236846,0
23,Schnee,Eine arktische Region.,236833,0
24,Unterirdisch,Der dunkle Untergrund.,409595,0
25,Dschungel,"Ein Gebiet, das mit vielen Pflanzen und Bäumen bewachsen ist.",236850,0
26,Wald,Bewaldetes Land.,236830,0
27,Stadt,Ein kleineres bewohntes Gebiet.,462338,0
28,Sumpf,"Ein jämmerlicher Ort, an dem Ihr Euch lieber nicht aufhalten würdet.",236819,0
29,Ebene,Offene grüne Hügelzüge und Ebenen.,236712,0
58,Hearthstone-Tisch,"Kommt, setzt Euch ans Feuer!",4620678,0
60,Alchemie,Der Beruf Alchemie wird für diese Mission benötigt.,4620669,0
61,Schmiedekunst,Der Beruf Schmiedekunst wird für diese Mission benötigt.,4620670,0
62,Verzauberkunst,Der Beruf Verzauberkunst wird für diese Mission benötigt.,4620672,0
63,Ingenieurskunst,Der Beruf Ingenieurskunst wird für diese Mission benötigt.,136243,0
64,Juwelierskunst,Der Beruf Juwelierskunst wird für diese Mission benötigt.,4620677,0
65,Lederverarbeitung,Der Beruf Lederverarbeitung wird für diese Mission benötigt.,133611,0
66,Schneiderei,Der Beruf Schneiderei wird für diese Mission benötigt.,4620681,0
67,Inschriftenkunde,Der Beruf Inschriftenkunde wird für diese Mission benötigt.,4620676,0
73,U-Boot,"U-Boote kreuzen lautlos unter der Wasseroberfläche und schleichen sich so an feindliche Schiffe an.

|cffb2f0ffKonter durch: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Zerstörer|r",1141396,2
74,Flugzeugträger,"Flugzeugträger sind mit einem Bombergeschwader und ihren Pilotenassen ausgestattet.

|cffb2f0ffKonter durch: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff U-Boot|r",1141394,2
75,Zerstörer,"Zerstörer sind schnelle, schwer bewaffnete Schiffe, die Jagd auf U-Boote machen.

|cffb2f0ffKonter durch: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Schlachtschiff|r",1141395,2
