ID,Description_lang,Color
2,Jetzt auch mit Extrabeschriftung.,16777215
20,Saison 10,-16711936
226,Saison 10 (Elite),-16711936
525,Saison 9 (Elite),-16711936
653,Saison 9,-16711936
1013,Saison 11,-16711936
1208,Saison 11 (Elite),-16711936
1591,Saison 19,-16711936
1593,Die Farbe tut ja in den Augen weh.,-65536
1641,Schlachtzugsbrowser,-16711936
2015,Heroisch,65280
2023,Saison 10 (Elite),-1
2255,Saison 12,65280
2667,Saison 12 (Elite),65280
3564,,65280
3759,Handwerksmaterial,-10044417
3765,100-Platz-Tasche,-1
3845,"Heroisch, Elite",65280
3859,Elite,65280
3933,Saison 13,65280
3934,Saison 13 (Elite),65280
4918,Rang 1,-16711681
4949,Rang 2,-16711681
4953,Rang 3,-16711681
4957,Rang 4,-16711681
4961,Rang 5,-16711681
4965,Rang 7,-16711681
4969,Rang 8,-16711681
4970,Rang 6,-16711681
5213,Szenariogegenstand,-1
5616,Donnergeschmiedet,65280
6360,"Heroisch, Donnergeschmiedet",65280
6798,Rang 9,-16711681
6842,Rang ??,-16711681
6843,Saison 8,65280
6894,Saison 8 (Elite),65280
7052,Saison 7,65280
7225,Saison 7 (Elite),65280
7261,Saison 6,65280
7434,Saison 6 (Elite),65280
7463,Saison 5,65280
7636,Saison 4,65280
7775,Saison 3,65280
7906,Saison 2,65280
8027,Saison 1,65280
8869,Flexibel,65280
9059,Saison 14,65280
9459,Saison 14 (Elite),65280
10066,"Heroisch, Donnergeschmiedet",16711680
10126,Saison 15,65280
10520,Saison 15 (Elite),65280
11080,Zeitlos,65280
11179,"Heroisch, Kriegsgeschmiedet",65280
11428,Kriegsgeschmiedet,65280
12743,Trophäe,-10044417
12790,Makellos,-16711936
12934,Alchemiematerial,-10044417
13021,Handwerksmaterial,-7820545
13111,der Macht,0
13145,Mythisch,-16711936
13149,Ingenieursmaterial,-10044417
13150,des Feuersturms,0
13151,der Unvergleichlichkeit,0
13152,der Schnellklinge,0
13153,des Wilden,0
13154,des Fanatikers,0
13155,des Listigen,0
13156,des Hitzeschocks,0
13157,der Aurora,0
13158,des Flinken,0
13159,des Zeloten,0
13160,des Windformers,0
13161,des Harmonischen,0
13162,des Gnadenlosen,0
13163,des Rutengängers,0
13164,des Edlen,0
13165,des Strategen,0
13166,des Wahrsagers,0
13167,des Tapferen,0
13168,des Herolds,0
13169,des Sturmbrechers,0
13170,der Ungeduldigen,0
13171,des Gelehrten,0
13172,des Anpassungsfähigen,0
13173,des Unerbittlichen,0
13174,des Frommen,0
13175,des Unzerbrechlichen,0
13176,des Dezimierers,0
13178,Warlords-Turnier,65280
13181,Kochzutat,-10044417
13184,Handwerksmaterial,-10044417
13185,Rang 2 von 6,65280
13186,Rang 3 von 6,65280
13187,Rang 1 von 6,65280
13188,"Mythisch, Kriegsgeschmiedet",-16711936
13190,Anhängerausrüstung,-9316865
13191,Garnisonsressource,-10044417
13192,Handelspostenteil,-16724737
13193,Normal,65280
13194,Handelspostenmodul,-16724737
13195,Makellos,-10044417
13196,Saison 1 von Warlords,65280
13197,Volks-PvP-Marke,-7820545
13198,Saison 1 von Warlords (Elite),65280
13201,Stufe 0,65280
13202,Stufe 1 - Heilig,65280
13203,Stufe 1 - Feuer,65280
13204,Stufe 1 - Verderbt,65280
13205,Stufe 2 - Heilig,65280
13206,Stufe 2 - Feuer,65280
13207,Stufe 2 - Verderbt,65280
13208,Rang 4 von 6,65280
13209,Garnisonsbauplan,-10044417
13210,Zeitwanderer,-1651584
13211,Saison 2 von Warlords,65280
13212,Saison 2 von Warlords (Elite),65280
13213,Saison 3 von Warlords,65280
13214,Saison 3 von Warlords (Elite),65280
13215,Taschendiebstahl,-16724737
13216,Zeitverzerrt,-16711936
13217,Rang 5 von 6,65280
13218,Rang 6 von 6,65280
13219,Artefaktmacht,-1651584
13220,"Zeitverzerrt, Kriegsgeschmiedet",-16711936
13222,Mächtig,65280
13223,Uraltes Mana,-10044417
13224,Marineausstattung,65280
13225,Unheilvoll,-16711936
13226,Saison 1 von Legion,65280
13227,Saison 1 von Legion (Elite),65280
13228,Championausrüstung,-12288
13230,Rang 1 von 9,65280
13231,Rang 2 von 9,65280
13232,Rang 3 von 9,65280
13233,Rang 4 von 9,65280
13234,Rang 5 von 9,65280
13235,Rang 6 von 9,65280
13236,Rang 7 von 9,65280
13237,Rang 8 von 9,65280
13238,Rang 9 von 9,65280
13239,Titanengeschmiedet,65280
13241,Odyns Zorn,-1651584
13242,Helyas Rage,-1651584
13243,Frostschnitter,-1651584
13244,Eisbringer,-1651584
13245,Verus,-1651584
