Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Verlorene Andenken|r|nBeschafft verlorene Andenken von einfallenden Kobolden!,3,122390,51
|cnWHITE_FONT_COLOR:Koboldschwärme|r|nKobolde haben Kriegvals Kräftigung übernommen und müssen vertrieben werden!,4,122392,51
|cnWHITE_FONT_COLOR:Dagrans Ausflug|r|nDagran Thaurissan II sucht Hilfe für seine praktische Ausbildung.,5,122393,51
"|cnWHITE_FONT_COLOR:Witzige Kerzen|r|nSquick hat gehört, dass die Düsternisverschmolzenen einige witzige Kerzen hinterlassen haben. Er kam, um nach ihnen zu suchen, doch fand stattdessen die Leere!",6,122394,51
"|cnWHITE_FONT_COLOR:Dunkles Ritual|r|nDer Orden der Nacht führt ein frevelhaftes Ritual durch, um die Gegend zu verderben!",7,122376,59
|cnWHITE_FONT_COLOR:Kyrons Angriff|r|nDer Große Kyron will das Nachtsturzsanktum angreifen und braucht Eure Hilfe!,8,122377,59
"|cnWHITE_FONT_COLOR:Signalrauschen|r|nSchließt die Aufgabe der getöteten Lampenanzünder ab, um Geiseln des Ordens der Nacht zu befreien.",9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Folteropfer|r|nEntwickelte Neruber foltern Gefangene in der Tiefenfestung.,11,122380,60
|cnWHITE_FONT_COLOR:Weberrettung|r|nDrei Agenten der Weberin werden in der Tiefenfestung gefangen gehalten.,12,122382,60
|cnWHITE_FONT_COLOR:Entwickelte Forschung|r|nEin entwickelter nerubischer Forscher führt widernatürliche Experimente durch.,13,122384,60
|cnWHITE_FONT_COLOR:Ausreißerevolution|r|nIn der Tiefenfestung ist ein Experiment schiefgegangen und droht jetzt ins Freie zu entfliehen.,14,122385,60
"|cnWHITE_FONT_COLOR:Verlorene Minenarbeiter|r|nRettet eine Gruppe Minenarbeiter der Irdenen, die von Fungianern gefangen genommen wurden.",15,122386,50
"|cnWHITE_FONT_COLOR:Ausbreitender Verfall|r|nEin Magier der Kirin Tor versucht, den sich ausbreitenden fungianischen Verfall zurückzudrängen.",16,122387,50
|cnWHITE_FONT_COLOR:Wettbewerb des Forschers|r|nMitglieder der Forscherliga haben tief in der Höhle mit einem freundschaftlichen Wettbewerb begonnen.,17,122388,50
"|cnWHITE_FONT_COLOR:Teleporterbeben|r|nHelft einem geschwätzigen Ingenieur, sein Teleporternetzwerk zu reparieren.",18,122389,50
|cnWHITE_FONT_COLOR:Fehlende Schweine|r|nDie Schweine eines Bauern haben sich in den Höhlen verirrt und müssen zurückgebracht werden.,19,122332,58
