ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,Zorn,riss,rast,2
2,Siede,wüsten,insel,2
3,Eisen,grab,kluft,2
4,Tief,becken,hügel,2
5,Dunkel,graben,schlucht,2
6,Stein,brand,klamm,2
19,Schön,bach,tal,1
55,Schein,test,land,4
61,Müd,herd,weinberg,1
62,Heilig,löwen,insel,1
63,Blau,wellen,eiland,1
64,Kühl,nebel,steg,1
65,Still,wind,zuflucht,1
66,Golden,licht,refugium,1
67,Ruhig,ozean,punkt,1
68,Groß,meer,rast,1
69,Matt,segel,dorf,1
70,Salz,ernte,hügel,1
71,Erst,flaggen,landung,1
72,Smaragd,segen,enklave,1
73,Alt,eichen,hafen,1
74,Neu,reise,außenposten,1
75,Düster,dunkel,weiler,1
76,Schwur,anker,steg,1
77,Rein,himmel,bezirk,1
78,Blass,sand,ufer,1
81,Trocken,blüte,bucht,2
82,Mystisch,berg,eiland,2
83,Glüh,sand,zuflucht,2
84,Hell,sonnen,bastion,2
86,Bruch,stein,spitze,2
87,Rot,eber,kamm,2
88,Hoch,sommer,gärten,2
89,Erd,dorn,füllhorn,2
90,Rasch,pilger,unterschlupf,2
91,Frei,glücks,kommune,2
92,Dürr,hauer,oase,2
93,Trauer,exil,klippen,2
94,Scharf,kies,siedlung,2
