ID,Name_lang,Quantity,Flags
2,Juwelierssteine,3,1
3,Gesundheitsstein,1,0
4,Manaedelstein,1,0
6,Sturmjuwel,1,1
7,Verzauberte Perle,1,1
8,Bindendes Licht,1,1
9,Bindendes Gestein,1,1
10,Des Todes Wahl,1,1
11,Des Todes Urteil,1,1
12,Etriggs Schwur,1,1
13,Eifer der Frosterben,1,1
14,Fetisch der flüchtigen Macht,1,1
15,Vitalität des Molochs,1,1
16,Herrschaft der Toten,1,1
17,Herrschaft der Leblosen,1,1
18,Satrinas hemmender Skarabäus,1,1
19,Trost der Besiegten,1,1
20,Trost der Gefallenen,1,1
21,Talisman der flüchtigen Macht,1,1
22,Rache der Verlassenen,1,1
23,Ruf des Siegers,1,1
24,Band der gleichgültigen Aggression,1,0
25,Band der bedauernswerten Gewalt,1,1
26,Band des Verräterkönigs,1,0
27,Band der Zwillingsval'kyr,1,1
28,Band des wilden Temperaments,1,1
29,Fleischfressendes Band,1,1
30,Kreis des Dunkelheilers,1,1
31,Feuersturmband,1,1
32,Feuersturmring,1,1
33,Gormoks Band,1,1
34,Schleife der Zwillingsval'kyr,1,1
35,Blutrünstige Offenbarung,1,1
36,Ebenenpirscherband,1,1
37,Ebenenpirschersiegel,1,1
38,Ring der gleichgültigen Aggression,1,1
39,Ring der gleichgültigen Aggression,1,1
40,Ring des Dunkelheilers,1,1
41,Ring des wilden Temperaments,1,1
42,Siegel des Verräterkönigs,1,1
43,Test Ringlimit,1,1
44,Althors Abakus,1,1
45,Schmuckstück des wahren Blutes,1,1
46,Fährmünze der Toten,1,1
47,Wille des Todesbringers,1,1
48,Entferntes Fremdobjekt,1,1
49,Phylakterium des namenlosen Lichs,1,1
50,Winzige Monstrosität im Glas,1,1
51,Sindragosas fehlerloser Fangzahn,1,1
52,Blutiger Ring der Monstrosität,1,1
53,Siegelring der Fäulnis,1,1
54,Kirschroter verschlungener Ring,1,1
55,Modermienes reißender Ring,1,1
56,Saurfangs kaltgeschmiedetes Band,1,1
57,Siegel der Zwielichtkönigin,1,1
58,Dreigezahntes Signet,1,1
59,Band des Knochenkolosses,1,1
60,Deviums ewigkalter Ring,1,1
61,Siegel der vielen Münder,1,1
62,Saphirring der Frostbrut,1,1
63,Molochband,1,1
64,Fingerreif des endlosen Labyrinths,1,1
65,Mark'gars kaltes Auge,1,1
66,Erinnerung von Malygos,1,1
67,Macht der Seuche,1,1
68,Ring des unerträglichen Flüsterns,1,1
69,Ring des Schnellen Aufstiegs,1,1
70,Kreis des Skelettfürsten,1,1
71,Valanars anderer Siegelring,1,1
72,Blutrotes Band der Heilung,1,1
73,Muradins Handfernrohr,1,1
74,Splitter aus reinem Eis,1,1
75,Unidentifizierbares Organ,1,1
76,Flüsternder Gezahnter Schädel,1,1
77,Zwielichtschuppe,1,1
78,Ring der phasenweisen Regeneration,1,1
79,Savianas Tribut,1,1
80,Siegel des Zwielichts,1,1
81,Zarithrians Opfergabe,1,1
82,Geschärfte Zwielichtschuppe,1,1
83,Versteinerte Zwielichtschuppe,1,1
84,Leuchtende Zwielichtschuppe,1,1
85,Verkohlte Zwielichtschuppe,1,1
86,Gildenfläschchen,1,0
89,Erdrückendes Gewicht,1,1
90,Essenz des Zyklons,1,1
91,Untergang der Sterblichen,1,1
92,Herz von Ignazius,1,1
93,Theralions Spiegel,1,1
94,Fläschchen gestohlener Erinnerungen,1,1
95,Glocke der rasend machenden Resonanz,1,1
96,Herz des Hasses,1,1
97,Glas mit uralter Arznei,1,1
98,Prestors Talisman der Intrige,1,1
99,Symbiotischer Wurm,1,1
100,Macht des Ozeans,1,1
101,Porzellankrebs,1,1
102,Seestern,1,1
103,Gunst des Herolds,1,1
104,Geisterstundenglas,1,1
105,Schlüssel zur unendlichen Kammer,1,1
106,Bleierne Verzweiflung,1,1
107,Magnetitspiegel,1,1
108,Blutträne,1,1
109,Ranken des vergrabenen Dunkels,1,1
110,Herz des Sturms,1,1
111,Regengesang,1,1
112,Herz des Trostes,1,1
113,Klagelied,1,1
114,Tias Gunst,1,1
115,Anhuurs Gesangbuch,1,1
