ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Field_12_0_0_64124_003
3,Test for new modified crafting currency tech,903,3743,0
4,Legt die Gegenstandsstufe je nach Herstellungsqualität (220 - 233) fest.,902,5883,0
5,Legt die Gegenstandsstufe je nach Herstellungsqualität (233 - 246) fest.,902,5880,0
6,Legt die Gegenstandsstufe je nach Herstellungsqualität (246 - 259) fest.,900,5102,0
7,Legt die Gegenstandsstufe je nach Herstellungsqualität (259 - 272) fest.,901,5881,0
8,Legt die Gegenstandsstufe je nach Herstellungsqualität (272 - 285) fest.,901,5882,0
9,Legt die Gegenstandsstufe je nach Herstellungsqualität (305-318) fest.,911,6087,0
10,Legt die Gegenstandsstufe je nach Herstellungsqualität (318-331) fest.,911,6088,0
11,Legt die Gegenstandsstufe je nach Herstellungsqualität (266-279) fest.,902,6110,0
12,Legt die Gegenstandsstufe je nach Herstellungsqualität (279-292) fest.,902,6111,0
