ID,Text_lang
2,"Obwohl Ghule für sich genommen schwach und dumm sind, dienen sie der Schwarzen Klinge als Kanonenfutter und überwältigen ihre Gegner allein durch ihre zahlenmäßige Überlegenheit."
3,"Spuke sind anfällig, aber äußerst flexibel. Sie können senkrechte Wände erklimmen und unebene Oberflächen überwinden, um ihre unachtsamen Opfer zu erhaschen."
4,Ritter der Schwarzen Klinge wurden vom Lichkönig höchstpersönlich aus ihren Gräbern erweckt und kennen nur einen Zweck: töten oder getötet werden.
5,"Die Verheerer der Schwarzen Klinge sind abgehärtete Veteranen, die viele Kriege überlebt und viele Gegner getötet haben. Sie sind das Paradebeispiel für die grimmigsten Soldaten der Schwarzen Klinge."
6,"Nachdem der anhaltende Kontakt mit Teufelsenergie zu ihrer körperlichen Degeneration geführt hatte, lernten die Zerschlagenen der Aschenzungen, sich zu verstecken und mit allen Mitteln zu überleben. Sie schlagen sowohl aus den Schatten heraus als auch im offenen Kampf zu."
7,"Die Naga vom Stamm der Echsennarbe waren einst Lady Vashj und Kael'thas treu ergeben und haben ihre Myrmidonen zu zähen, furchteinflößenden Kriegern ausgebildet."
8,"Um die Brennende Legion noch wirkungsvoller vernichten zu können, machen sich die Dämonenjäger der Illidari die Macht der Dämonen zu eigen, wobei sie ihr elfisches Aussehen opfern."
9,"Die am weitesten fortgeschrittenen Illidari gehen ganz in der Form und der Macht von Dämonen auf und verwandeln sich in dunkle, geflügelte Kreaturen, die ihre Feinde auslöschen können."
10,"Wenn der Wald bedroht wird, erwachen die Bäume selbst zum Leben, um ihre Heimat zu verteidigen."
11,"In Friedenszeiten sind die Dryaden sanft und verspielt. Doch die Töchter des Cenarius, halb Elf, halb Reh, werden auf alle gnadenlos Jagd machen, die der Natur Schaden zufügen."
12,"Die Druiden der Klaue sind meisterhafte Gestaltwandler und können die Macht des Bären beschwören, wobei sie die Gestalt dieses Tiers annehmen und mit dessen Stärke und Widerstandskraft verheerende Schäden bei ihren Gegnern anrichten."
13,"Die Hüter des Hains sind halb Elf, halb Hirsch und haben anstelle einer ihrer Hände eine Klaue, die aus verflochtenen Baumzweigen zu bestehen scheint. Sie stammen direkt von Cenarius ab und üben ungeheure Macht über die Kräfte der Natur aus."
14,"Bogenschützen sind im Umgang mit Pfeil und Bogen geübt und unterstützen die Fußtruppen oft aus der Ferne. Sie sind in großer Zahl äußerst wirkungsvoll, wenn sie ihre Feuerkraft auf ein einzelnes Ziel oder eine Zusammenballung von Gegnern konzentrieren."
