DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Tasche,,2,1,0,0,-1,0,0,0,-1
Axt,Einhandäxte,3,2,0,0,-1,3,0,1,1
Axt,Zweihandäxte,4,2,1,0,0,3,0,2,-1
Bogen,Bogen,5,2,2,0,-1,128,0,1,-1
Schusswaffe,Schusswaffen,6,2,3,0,-1,160,0,1,-1
Streitkolben,Einhandstreitkolben,7,2,4,0,-1,3,0,1,5
Streitkolben,Zweihandstreitkolben,8,2,5,0,4,3,0,2,-1
Stangenwaffe,Stangenwaffen,9,2,6,0,-1,3,0,2,-1
Schwert,Einhandschwerter,10,2,7,0,-1,3,0,1,8
Schwert,Zweihandschwerter,11,2,8,0,7,3,0,2,-1
Kriegsgleven,,12,2,9,0,-1,1,0,2,-1
Stab,Stäbe,13,2,10,0,-1,3,0,2,-1
Bärenklauen,Bärenklauen,14,2,11,0,-1,0,3,1,12
Katzenkrallen,CatClaws,15,2,12,0,11,0,3,1,-1
Faustwaffe,Faustwaffen,16,2,13,0,-1,5,0,1,-1
Verschiedenes,,17,2,14,0,-1,2,1,0,-1
Dolch,Dolche,18,2,15,0,-1,3,0,8,-1
Verschiedenes,,19,4,0,0,-1,512,1,0,-1
Stoff,Stoff,20,4,1,0,-1,1536,0,0,-1
Leder,Leder,21,4,2,0,-1,1536,0,0,-1
Kette,Kette,22,4,3,0,-1,1536,0,0,-1
Platte,Platte,23,4,4,0,-1,1536,0,0,-1
Kosmetisch,Kosmetisch,24,4,5,0,-1,0,1,0,-1
Schild,Schilde,25,4,6,0,5,0,0,0,-1
Zauberstab(OBSOLETE),,26,6,0,0,-1,0,3,0,-1
Bolzen(OBSOLETE),,27,6,1,0,-1,0,2,0,-1
Pfeil,,28,6,2,0,-1,0,2,0,-1
Kugel,,29,6,3,0,-1,0,2,0,-1
Quiver(OBSOLETE),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Köcher,,32,11,2,0,-1,0,6,0,-1
Munitionsbeutel,,33,11,3,0,-1,0,6,0,-1
Wurfwaffe,Wurfwaffen,34,2,16,0,-1,16,0,1,-1
Wurfwaffen (ÜBERFLÜSSIG),,35,6,4,0,-1,0,2,0,-1
Intelligenz,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Teile,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Buch,,40,9,0,0,-1,0,1,0,-1
Lederverarbeitung,,41,9,1,0,-1,0,1,0,-1
Schneiderei,,42,9,2,0,-1,0,1,0,-1
Sprengstoff und Geräte,,43,0,0,0,-1,0,1,0,-1
Tränke,,44,0,1,0,-1,0,1,0,-1
Elixiere,,45,0,2,0,-1,0,1,0,-1
Speer,Speere,46,2,17,0,-1,3,2,2,-1
Money(OBSOLETE),,47,10,0,0,-1,0,1,0,-1
Kopf,,48,8,0,0,-1,0,1,0,-1
Quest,,49,12,0,0,-1,0,1,0,-1
Reagenz,,50,5,0,0,-1,0,1,0,-1
Dauerhaft,,51,14,0,0,-1,0,1,0,-1
Plunder,,52,15,0,0,-1,0,1,0,-1
Schlüssel,,53,13,0,0,-1,0,1,0,-1
Nachschlüssel,,54,13,1,0,-1,0,1,0,-1
Armbrust,Armbrüste,55,2,18,0,-1,160,0,1,-1
Zauberstab,Zauberstäbe,56,2,19,0,-1,256,0,1,-1
Angelrute,Angelruten,57,2,20,0,-1,0,0,8,-1
Devices (OBSOLETE),,77,7,3,0,-1,0,3,0,-1
Ingenieurskunst,,99,9,3,0,-1,0,1,0,-1
Schmiedekunst,,100,9,4,0,-1,0,1,0,-1
Kochkunst,,101,9,5,10,-1,0,1,0,-1
Alchemie,,102,9,6,0,-1,0,1,0,-1
Erste Hilfe,,103,9,7,11,-1,0,1,0,-1
Verzauberkunst,,104,9,8,0,-1,0,1,0,-1
Angeln,,105,9,9,12,-1,0,1,0,-1
Juwelierskunst,,106,9,10,0,-1,0,1,0,-1
Seelentasche,,107,1,1,0,-1,0,6,0,-1
Kräutertasche,,109,1,2,0,-1,0,0,0,-1
Verzauberertasche,,110,1,3,0,-1,0,0,0,-1
Ingenieurstasche,,111,1,4,0,-1,0,0,0,-1
Buchband,Buchbände,112,4,7,0,-1,0,2,0,-1
Götze,Götzen,113,4,8,0,-1,0,2,0,-1
Totem,Totems,114,4,9,0,-1,0,2,0,-1
Juwelierskunst,,115,7,4,1,-1,0,1,0,-1
Edelsteintasche,,116,1,5,0,-1,0,0,0,-1
Bergbautasche,,118,1,6,0,-1,0,0,0,-1
Beweglichkeit,,119,3,1,2,-1,0,1,0,-1
Stärke,,120,3,2,3,-1,0,1,0,-1
Ausdauer,,121,3,3,4,-1,0,1,0,-1
Willenskraft,,122,3,4,5,-1,0,3,0,-1
Kritischer Trefferwert,,123,3,5,6,-1,0,1,0,-1
Meisterschaft,,124,3,6,7,-1,0,1,0,-1
Tempo,,125,3,7,8,-1,0,1,0,-1
Vielseitigkeit,,126,3,8,9,-1,0,1,0,-1
Fläschchen & Phiolen,,131,0,3,0,-1,0,1,0,-1
Scroll (OBSOLETE),,132,0,4,0,-1,0,3,0,-1
Speis & Trank,,133,0,5,0,-1,0,1,0,-1
Item Enhancement (OBSOLETE),,134,0,6,0,-1,0,3,0,-1
Verbände,,135,0,7,0,-1,0,1,0,-1
Sonstiges,,136,0,8,10,-1,0,1,0,-1
Stoffe,,137,7,5,0,-1,0,1,0,-1
Leder,,138,7,6,0,-1,0,1,0,-1
Metalle & Steine,,139,7,7,0,-1,0,1,0,-1
Kochkunst,,140,7,8,0,-1,0,1,0,-1
Kräuter,,141,7,9,0,-1,0,1,0,-1
Elemente,,142,7,10,20,-1,0,1,0,-1
Sonstiges,,143,7,11,30,-1,0,1,0,-1
Reagenz,,144,15,1,0,-1,0,1,0,-1
Haustier,,145,15,2,0,-1,0,1,0,-1
Feiertag,,146,15,3,0,-1,0,1,0,-1
Sonstiges,,147,15,4,30,-1,0,1,0,-1
Verzauberkunst,,148,7,12,0,-1,0,1,0,-1
Lederverarbeitertasche,,149,1,7,0,-1,0,0,0,-1
Materials (OBSOLETE),,150,7,13,0,-1,0,3,0,-1
Reittier,Reittiere,152,15,5,0,-1,0,0,0,-1
Krieger,Krieger,153,16,1,0,-1,0,0,0,-1
Paladin,Paladin,154,16,2,0,-1,0,0,0,-1
Jäger,Jäger,155,16,3,0,-1,0,0,0,-1
Schurke,Schurke,156,16,4,0,-1,0,0,0,-1
Priester,Priester,157,16,5,0,-1,0,0,0,-1
Schamane,Schamane,158,16,7,0,-1,0,0,0,-1
Magier,Magier,159,16,8,0,-1,0,0,0,-1
Hexenmeister,Hexenmeister,160,16,9,0,-1,0,0,0,-1
Druide,Druide,161,16,11,0,-1,0,0,0,-1
Todesritter,Todesritter,162,16,6,0,-1,0,0,0,-1
Item Enchantment (OBSOLETE),,163,7,14,0,-1,0,3,0,-1
Waffenverzauberung - Veraltet,Waffenverzauberung - Veraltet,164,7,15,0,-1,0,3,0,-1
Siegel,Siegel,165,4,10,0,-1,0,2,0,-1
Schreibertasche,,167,1,8,0,-1,0,0,0,-1
Inschriftenkunde,Inschriftenkunde,168,9,11,0,-1,0,1,0,-1
Sonstiges,,169,3,9,10,-1,0,1,0,-1
Mehrere Werte,,170,3,10,11,-1,0,0,0,-1
Angelkiste,,171,1,9,0,-1,0,0,0,-1
Relikt,,173,4,11,0,-1,0,2,0,-1
Mönch,Mönch,177,16,10,0,-1,0,0,0,-1
Kampfhaustier,Kampfhaustiere,178,17,0,0,-1,0,0,0,-1
Kochtasche,Kochtasche,179,1,10,0,-1,0,0,0,-1
WoW-Marke,,180,18,0,0,-1,0,0,0,-1
Schlüsselstein,,181,5,1,0,-1,0,1,0,-1
Dämonenjäger,Dämonenjäger,183,16,12,0,-1,0,0,0,-1
Vantusrunen,,184,0,9,0,-1,0,1,0,-1
Inschriftenkunde,,185,7,16,0,-1,0,1,0,-1
Explosives and Devices (OBSOLETE),,186,7,17,11,-1,0,3,0,-1
Artefaktrelikt,,187,3,11,0,-1,0,1,0,-1
Hals,,188,8,1,0,-1,0,1,0,-1
Schulter,,189,8,2,0,-1,0,1,0,-1
Rücken,,190,8,3,0,-1,0,1,0,-1
Brust,,191,8,4,0,-1,0,1,0,-1
Handgelenk,,192,8,5,0,-1,0,1,0,-1
Hände,,193,8,6,0,-1,0,1,0,-1
Taille,,194,8,7,0,-1,0,1,0,-1
Beine,,195,8,8,0,-1,0,1,0,-1
Füße,,196,8,9,0,-1,0,1,0,-1
Finger,,197,8,10,0,-1,0,1,0,-1
Waffe,,198,8,11,0,-1,0,1,0,-1
Zweihandwaffe,,199,8,12,0,-1,0,1,0,-1
Schild/Schildhand,,200,8,13,0,-1,0,1,0,-1
Verschiedenes,,201,8,14,0,-1,0,1,0,-1
Reittierausrüstung,,326,15,6,0,-1,0,0,0,-1
Optionale Reagenzien,,327,7,18,25,-1,0,1,0,-1
Kontextmarke,,328,5,2,0,-1,0,1,0,-1
Schmiedekunst,,329,19,0,0,-1,0,0,0,-1
Lederverarbeitung,,330,19,1,0,-1,0,0,0,-1
Alchemie,,331,19,2,0,-1,0,0,0,-1
Kräuterkunde,,332,19,3,0,-1,0,0,0,-1
Kochkunst,,333,19,4,0,-1,0,0,0,-1
Bergbau,,334,19,5,0,-1,0,0,0,-1
Schneiderei,,335,19,6,0,-1,0,0,0,-1
Ingenieurskunst,,336,19,7,0,-1,0,0,0,-1
Verzauberkunst,,337,19,8,0,-1,0,0,0,-1
Angeln,,338,19,9,0,-1,0,0,0,-1
Kürschnerei,,339,19,10,0,-1,0,0,0,-1
Juwelierskunst,,340,19,11,0,-1,0,0,0,-1
Inschriftenkunde,,341,19,12,0,-1,0,0,0,-1
Archäologie,,342,19,13,0,-1,0,0,0,-1
Fertigungsreagenzien,,343,7,19,25,-1,0,1,0,-1
Reagenzientasche,,344,1,11,0,-1,0,0,0,-1
Unterstützungskuriosität,,345,0,10,0,-1,0,2,0,-1
Kampfkuriosität,,346,0,11,0,-1,0,2,0,-1
Relikt,,355,0,12,0,-1,0,1,0,-1
Dekoration,,356,20,0,0,-1,0,3,0,0
Behausungsfarbstoff,,357,20,1,0,-1,0,0,0,0
Raum,,358,20,2,0,-1,0,0,0,0
Raumanpassung,,359,20,3,0,-1,0,0,0,0
Außenbereichsanpassung,,360,20,4,0,-1,0,0,0,0
Dienstgegenstand,,361,20,5,0,-1,0,0,0,0
