ID,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
1,Teleport,Teleportiert Euch in eine große Stadt.,0,128,237509,1309324210,-1440044374
8,Teleport,Teleportiert Euch in eine große Stadt.,0,128,237509,-1321907123,1427461461
9,Begleiter rufen,Ruft einen Eurer aktiven Begleiter herbei.,0,4,132161,-1,-1
10,Dämon beschwören,Beschwört einen Eurer Dämonen zu Euch.,0,256,136082,-1,-1
11,Portal,"Erschafft ein Portal, das Gruppenmitglieder, die es benutzen, in eine große Stadt teleportiert.",0,128,135744,1309324210,-1440044374
12,Portal,"Erschafft ein Portal, das Gruppenmitglieder, die es benutzen, in eine große Stadt teleportiert.",0,128,135748,-1321907123,1427461461
66,Gifte,Tragt ein starkes Gift auf Eure Waffen auf.,0,8,136242,-1,-1
67,Grimoire der Dienstbarkeit,"Beschwört sofort einen zweiten Dämon, der 25 Sek. lang für Euch kämpft.",0,256,538444,-1,-1
84,Pfad des Helden: Mists of Pandaria,"Teleportiert Euch zum Eingang eines Dungeons von Mists of Pandaria, für den Ihr eine Goldmedaille oder den ""Schlüsselsteinheld""-Erfolg errungen habt. Die Abklingzeit dieser Zauber wird zurückgesetzt, sobald Ihr einen mythischen Schlüsselsteindungeon abschließt.",0,-1,519384,-1,-1
92,Verwandlungsvarianten,"Alternative Verwandlungsaussehen, mit denen Ihr Ziele in eine Vielzahl unterschiedlicher Lebewesen verwandeln könnt.",0,128,575586,-1,-1
93,Exotische Munition,"Modifiziert Eure Distanzwaffe, sodass sie exotische Munition verwenden kann.",0,4,249177,-1,-1
96,Pfad des Helden: Warlords of Draenor,"Teleportiert Euch zum Eingang eines Dungeons von Warlords of Draenor, für den Ihr eine Goldmedaille oder den ""Schlüsselsteinheld""-Erfolg errungen habt. Die Abklingzeit dieser Zauber wird zurückgesetzt, sobald Ihr einen mythischen Schlüsselsteindungeon abschließt.",0,-1,519384,-1,-1
103,Begleitersteuerung,"Verschiedene Werkzeuge, die Euch den Umgang mit Eurem Begleiter erleichtern.",0,4,132179,-1,-1
106,Varianten von 'Verhexen',"Alternative kosmetische Varianten von 'Verhexen', die Euer Ziel in jeweils andere Kreaturen verwandeln.",0,64,538518,-1,-1
217,Kyrianische Instrumente,Spielt ein Instrument der Kyrianer.,0,0,454048,-1,-1
219,Anpassung,Passt Euch an eine Art von Magie an und ändert Euren Atemangriff.,0,4096,254886,-1,-1
220,Pfad des Helden: Shadowlands,"Teleportiert Euch zum Eingang eines Dungeons von Shadowlands, für den Ihr den ""Schlüsselsteinheld""-Erfolg errungen habt. Die Abklingzeit dieser Zauber wird zurückgesetzt, sobald Ihr einen mythischen Schlüsselsteindungeon abschließt.",0,-1,519384,-1,-1
222,Pfad des Helden: Schlachtzüge von Shadowlands,"Teleportiert Euch zum Eingang eines Schlachtzugs von Shadowlands. Nur verfügbar, nachdem Ihr den Erfolg 'Mythisch: Schicksalsschlachtzüge von Shadowlands' errungen habt.",0,-1,519384,-1,-1
223,Pfad des Helden: Battle for Azeroth,"Teleportiert Euch zum Eingang eines Dungeons von Battle for Azeroth, für den Ihr den ""Schlüsselsteinheld""-Erfolg errungen habt. Die Abklingzeit dieser Zauber wird zurückgesetzt, sobald Ihr einen mythischen Schlüsselsteindungeon abschließt.",0,-1,519384,-1,-1
224,Pfad des Helden: Legion,"Teleportiert Euch zum Eingang eines Dungeons von Legion, für den Ihr den ""Schlüsselsteinheld""-Erfolg errungen habt. Die Abklingzeit dieser Zauber wird zurückgesetzt, sobald Ihr einen mythischen Schlüsselsteindungeon abschließt.",0,-1,519384,-1,-1
225,Jäger: Fährtensuche,Zeigt Kreaturenarten in der Nähe auf der Minikarte an.,0,4,132328,-1,-1
226,Sammelbare Berufsreagenzien verfolgen,Zeigt alle in der Nähe sammelbaren Reagenzien auf der Minikarte an.,0,-1,134441,-1,-1
