ID,StateName_lang
1,betört
2,desorientiert
3,entwaffnet
4,abgelenkt
5,fliehend
6,zurückgestoßen
7,bewegungsunfähig
8,verlangsamt
9,zum Schweigen gebracht
10,in Schlaf versetzt
11,verlangsamt
12,betäubt
13,eingefroren
14,handlungsunfähig
15,blutend
16,heilend
17,verwandelt
18,verbannt
19,abgeschirmt
20,in Ketten gelegt
21,reitet
22,infiziert
23,vertrieben
24,entsetzt
25,unverwundbar
26,unterbrochen
27,benommen
28,Entdeckung
29,unverwundbar
30,ausgeschaltet
31,wütend
32,verwundet
33,infiziert
34,infiziert
35,infiziert
36,verspottet
