ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Hautfarbe,3,0,0,4,-1,-1,-1,0
2,Gesicht,3,1,1,0,-1,-1,-1,0
3,Frisur,3,3,2,0,-1,-1,-1,0
4,Haarfarbe,3,3,3,4,-1,-1,-1,0
5,Bärte,3,2,4,0,-1,-1,-1,0
6,Tattoostil,3,5,5,1,12,-1,-1,4
7,Hornart,3,6,6,0,-1,-1,-1,0
8,Augenbinden,3,7,7,0,-1,-1,-1,0
9,Tattoofarbe,3,5,8,5,12,-1,-1,4
10,Piercings,1,2,4,0,-1,-1,-1,1
11,Piercings,1,2,4,0,-1,-1,-1,2
12,Piercings,1,2,4,0,-1,-1,-1,3
13,Tätowierungen,1,2,4,0,-1,-1,-1,4
14,Merkmale,3,2,4,0,-1,-1,-1,5
15,Haare,1,2,4,0,-1,-1,-1,6
16,Hornart,3,3,2,0,-1,-1,-1,6
17,Hornfarbe,3,3,3,4,-1,-1,-1,6
18,Ohrringe,1,2,4,0,-1,-1,-1,7
19,Hauer,3,2,4,0,-1,-1,-1,8
20,Ohren,3,2,4,0,-1,-1,-1,9
21,Ohrringe,1,2,4,0,-1,-1,-1,10
22,Ohren,1,2,4,0,-1,-1,-1,22
23,Hornart,1,2,4,0,-1,-1,-1,11
24,Hornart,1,2,4,0,-1,-1,-1,30
25,Rune,3,7,7,0,-1,-1,-1,30
26,Ohrringe,1,2,4,0,-1,-1,-1,24
27,Ohrringe,1,2,4,0,-1,-1,-1,25
28,Ohrringe,1,2,4,0,-1,-1,-1,26
29,Hauer,3,6,6,0,-1,-1,-1,31
30,Ohrringe,3,7,7,0,-1,-1,-1,31
31,Accessoires,1,2,4,0,-1,-1,-1,31
32,Tattoostil,3,5,5,1,13,-1,-1,31
34,Tattoostil,3,5,5,1,12,-1,-1,10
35,Tattoofarbe,3,5,8,5,12,-1,-1,10
36,Tattoostil,3,5,5,1,12,-1,-1,30
37,Tattoostil,3,5,5,1,13,-1,-1,28
38,Haare,1,2,4,0,-1,-1,-1,28
39,Hornart,3,3,2,0,-1,-1,-1,28
40,Hornfarbe,3,3,3,4,-1,-1,-1,28
41,Ohrringe,1,2,4,0,-1,-1,-1,29
42,Tattoostil,3,5,5,1,13,-1,-1,27
43,Ohrringe,1,2,4,0,-1,-1,-1,27
44,Ohrringe,0,2,4,0,-1,-1,-1,27
46,Haltung,0,7,7,0,-1,-1,-1,2
47,Tattoostil,0,6,6,0,13,-1,-1,34
48,Tattoostil,1,5,5,0,13,-1,-1,34
49,Haltung,0,7,7,0,-1,-1,-1,36
50,Hautfarbe,3,0,0,5,-1,-1,-1,36
52,Piercings,0,5,5,0,-1,-1,-1,34
153,Muster,3,5,5,3,13,-1,-1,35
155,Ohrringe,1,6,6,0,-1,-1,-1,32
156,Halskette,1,7,7,0,-1,-1,-1,32
157,Armaufwertung,3,6,6,0,0,1,-1,37
158,Beinaufwertung,3,7,7,0,5,6,-1,37
159,Modifikation,3,5,5,0,9,10,-1,37
160,Schnauze,3,6,6,0,-1,-1,-1,35
161,Ohren,3,2,4,0,-1,-1,-1,35
162,Hautfarbe,3,0,0,5,-1,-1,-1,35
163,Tattoostil,3,5,5,0,-1,-1,-1,0
164,Bärte,0,2,4,0,-1,-1,-1,6
165,Hautfarbe,3,0,0,4,-1,-1,-1,6
166,Accessoires,1,2,4,0,-1,-1,-1,36
167,Accessoires,1,2,4,0,-1,-1,-1,34
168,Augenbrauen,1,2,4,0,-1,-1,-1,32
169,Hautfarbe,3,0,0,4,-1,-1,-1,28
170,Bärte,0,2,4,0,-1,-1,-1,28
171,Hautfarbe,3,0,0,4,-1,-1,-1,24
172,Bärte,0,2,4,0,-1,-1,-1,24
173,Frisur,0,3,2,0,-1,-1,-1,24
174,Frisur,3,3,4,0,-1,-1,-1,35
175,Gesicht,3,1,1,0,-1,-1,-1,36
176,Gesicht,3,1,1,0,-1,-1,-1,35
177,Gesicht,3,1,1,0,-1,-1,-1,6
178,Gesicht,3,1,1,0,-1,-1,-1,28
179,Gesicht,3,1,1,0,-1,-1,-1,24
180,Piercings,1,2,4,0,-1,-1,-1,23
