WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
Einschlag!,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
'Korrosion' wird Euren Verstand verderben!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
Rollender Müll stürzt ein!,27,461536,5000,0,0,0,0
"Euer Schicksal beginnt, sich zu teilen!",28,1224865,0,0,5793,0,15
Kristalline Schockwelle tritt bald auf!,31,1243721,8000,0,0,0,0
Kristalleinhüllung tritt bald auf!,32,1227373,6000,0,0,0,0
Alleria ist bereit zum Feuern!,33,1233602,3000,0,0,0,0
Schrecken des Unbekannten bricht bald aus!,34,1225221,3000,0,0,0,0
Das aufsteigende Reshii ist nahezu erschöpft!,35,1235114,4000,0,0,0,0
Wird gleich geschockt!,39,1246457,0,0,0,0,0
Ihre werdet von der Gravitation überwältigt!,40,1234570,0,0,0,0,8
Alleria ist bereit zum Feuern!,41,1237623,3000,0,0,0,0
Griff des Nichts endet bald!,42,1232470,4000,0,0,0,0
Die Auslöschung erwartet Euch...,46,1257299,0,0,0,0,0
Untergang!,47,1217973,10000,0,0,0,0
Sucht die Leere oder sterbt.,48,1262972,0,0,0,0,0
Sucht das Licht oder sterbt.,49,1262983,0,0,0,0,0
Ziel erfasst!,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t Euer Schattenmal explodiert gleich!,51,1270497,2500,0,0,0,0
,52,1222088,2000,1,0,12197,0
Der Leerenausstoß bricht gleich aus!,53,1283236,3000,0,0,0,0
