ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Frostfeuergronnling,80693,1067373,0,0.75,0.55,0,0
2,Späher der Donnerfürsten,87430,1067284,0,1.4,0.5,0,0
4,Orcbegegnung 1,78009,1067281,0,1.5,0.5,0,0
5,Orcbegegnung 2,79359,1067297,0,1.5,0.5,0,0
7,Ogerbegegnung 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Frostfeuergronnling,80704,1067391,0,0.75,0.55,0,0
31,Frostfeuergronnling,80693,1067373,0,0.75,0.55,0,0
32,Eisschlundrylak,80705,1067265,0,0.55,0.45,0,0
33,Späher der Donnerfürsten,80192,1067335,0,0.6,0.9,0,0
34,Späher der Donnerfürsten,80172,1067334,0,1.2,0.5,0,0
35,Ogerbegegnung 2,79380,1067230,0,0.9,0.55,0,0
36,Untotenbegegnung 1,79380,1067230,0,1,0.5,0,0
37,Entartungsbegegnung 1,79383,1067191,0,0.8,0.5,0,0
38,Arakkoabegegnung 1,79387,1067348,0,0.5,0.5,0,0
39,Arakkoabegegnung 2,81338,1067462,0,0.9,0.5,0,0
40,Tierbegegnung 1,79384,1067296,0,1.1,0.5,0,0
41,Tierbegegnung 2,79386,1067246,0,1.4,0.5,0,0
42,Dämonenbegegnung 1,79381,1067240,0,1.1,0.6,0,0
43,Dämonenbegegnung 2,81339,1067193,0,0.6,0.6,0,0
44,Brecherbegegnung 1,79382,1067290,0,1,0.5,0,0
45,Brecherbegegnung 2,79385,1067311,0,1.5,0.6,0,0
46,Zornbegegnung 1,81340,1067223,0,1.2,0.5,0,0
47,Zornbegegnung 2,81341,2395691,0,1,0.5,0,0
48,Ursprünglichenbegegnung 1,81342,1067224,0,1,0.5,0,0
49,Ursprünglichenbegegnung 2,81343,1067208,0,1,0.5,0,0
50,Getriebene Schnecken,19787,0,0,1,0.4,0,0
51,Schleichender Verheerer,81538,1067344,0,0.9,0.45,0,0
52,Klippenspringer der Donnerfürsten,81562,1067236,0,1.55,0.5,0,0
53,Windleser der Donnerfürsten,81565,1067286,0,1.55,0.5,0,0
54,Verfluchter Wolf,81568,1067253,0,1.5,0.5,0,0
55,Akkordarbeiter der Grimmfrostoger,81580,1067268,0,1.2,0.55,0,0
56,Eisschnabelaasfresser,81583,1067178,0,1.3,0.9,0,0
57,Räuber der Speerspießer,81587,1067336,0,1.2,0.5,0,0
58,Fahler Verschlinger,82405,1067305,0,1,0.45,0,0
59,Verderbte Kröte,82410,1067273,0,1,0.45,0,0
60,Mondsturzrabe,82409,1067466,0,0.8,0.5,0,0
61,Nekrolyth des Schattenmondklans,82413,1067287,0,1.55,0.5,0,0
62,Dunkelzauberer des Schattenmondklans,82414,1067282,0,1.55,0.5,0,0
63,Donnernder Ebenenläufer,83059,1067312,0,0.75,0.55,0,0
64,Gorianischer Arkanist,83067,1067413,0,1.2,0.5,0,0
65,Gorianischer Legionär,83071,1067409,0,1.2,0.5,0,0
66,Eiserner Flammendeuter,83128,1067339,0,1.4,0.5,0,0
67,Eiserner Flammendeuter,83126,1067270,0,1.4,0.5,0,0
68,Beremus der Überwucherte,83236,1067399,0,0.9,0.53,0,0
69,Tarlna der Zeitlose,83236,1067399,0,0.9,0.53,0,0
70,Sturmrufer der Himmelsnadel,83357,1067403,0,0.9,0.55,0,0
71,Sturzschwinge der Jünger,83363,1067405,0,0.9,0.55,0,0
72,Höllengeschmiedeter Vernichter,83379,1067240,0,0.75,0.55,0,0
73,Matriarchin der Blutmähnen,83074,1067433,0,0.8,0.55,0,0
74,Schattenstreuner,83347,1067465,0,1.2,0.5,0,0
75,Teufelsflammenhöllenbestie,83170,1067195,0,0.75,0.55,0,0
76,Brennender Plünderer,83382,1067237,0,0.9,0.55,0,0
77,Essenz der Finsternis,83256,1067191,0,1.4,0.55,0,0
78,Essenz der Leere,83251,1416404,0,1.4,0.55,0,0
79,Gor,83098,1067407,0,0.75,0.55,0,0
80,Gefräßiger Eisenkauer,83193,1067290,0,0.75,0.55,0,0
81,Schläger der Speerspießer,83043,1067419,0,1.2,0.5,0,0
82,Raufer der Speerspießer,83042,1067420,0,1.2,0.5,0,0
83,Geomant der Speerspießer,83045,1067422,0,1.2,0.5,0,0
84,Windleser der Donnerfürsten,83120,1067286,0,1.5,0.5,0,0
85,Yggdrel,83225,1067302,0,0.55,0.55,0,0
86,Klaue der Donnerfürsten,83118,1067285,0,1.5,0.5,0,0
87,Bestienreiter der Donnerfürsten,83122,1067284,0,1.5,0.5,0,0
88,Mondborkenurtum,83226,1067303,0,0.55,0.55,0,0
89,Räuber von Nagrand,83135,1067388,0,1.5,0.5,0,0
90,Erdenrufer des Kriegshymnenklans,83140,1067358,0,1.5,0.5,0,0
91,Säbelschlundmystiker,83084,1067432,0,0.8,0.55,0,0
92,Säbelschlundnarbenzahn,83074,1067433,0,0.8,0.55,0,0
93,Säbelschlundzerfleischer,83081,1067431,0,0.8,0.55,0,0
94,Böenrufer der Jünger,83353,1067381,0,0.9,0.55,0,0
