ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Fügt einem Gegner $s@effectindex körperlichen Schaden zu.,,2,0,1,3,1,50,50
2,Fügt einem Gegner $s@effectindex Heiligschaden zu.,,2,0,1,3,2,50,50
3,Fügt einem Gegner $s@effectindex Feuerschaden zu.,,2,0,1,3,4,50,50
4,Fügt einem Gegner $s@effectindex Naturschaden zu.,,2,0,1,3,8,50,50
5,Fügt einem Gegner $s@effectindex Frostschaden zu.,,2,0,1,3,16,50,50
6,Fügt einem Gegner $s@effectindex Schattenschaden zu.,,2,0,1,3,32,50,50
7,Fügt einem Gegner $s@effectindex Arkanschaden zu.,,2,0,1,3,64,50,50
8,Fügt einem Gegner $s@effectindex Chaosschaden zu.,,2,0,1,3,127,50,50
9,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex körperlichen Schaden zu.,,2,0,1,5,1,50,50
10,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Heiligschaden zu.,,2,0,1,5,2,50,50
11,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Feuerschaden zu.,,2,0,1,5,4,50,50
12,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Naturschaden zu.,,2,0,1,5,8,50,50
13,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Frostschaden zu.,,2,0,1,5,16,50,50
14,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Schattenschaden zu.,,2,0,1,5,32,50,50
15,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Arkanschaden zu.,,2,0,1,5,64,50,50
16,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort $s@effectindex Chaosschaden zu.,,2,0,1,5,127,50,50
17,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex körperlichen Schaden zu.,,2,0,1,7,1,50,50
18,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Heiligschaden zu.,,2,0,1,7,2,50,50
19,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Feuerschaden zu.,,2,0,1,7,4,50,50
20,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Naturschaden zu.,,2,0,1,7,8,50,50
21,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Frostschaden zu.,,2,0,1,7,16,50,50
22,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Schattenschaden zu.,,2,0,1,7,32,50,50
23,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Arkanschaden zu.,,2,0,1,7,64,50,50
24,Fügt Gegnern innerhalb von $A@effectindex Metern $s@effectindex Chaosschaden zu.,,2,0,1,7,127,50,50
25,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex körperlichen Schaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex körperlichen Schaden.,6,3,1,3,1,50,50
26,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Heiligschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Heiligschaden.,6,3,1,3,2,50,50
27,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Feuerschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Feuerschaden.,6,3,1,3,4,50,50
28,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Naturschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Naturschaden.,6,3,1,3,8,50,50
29,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Frostschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Frostschaden.,6,3,1,3,16,50,50
30,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Schattenschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Schattenschaden.,6,3,1,3,32,50,50
31,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Arkanschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Arkanschaden.,6,3,1,3,64,50,50
32,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Chaosschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Chaosschaden.,6,3,1,3,127,50,50
33,"Betäubt einen Gegner, sodass er sich $d lang weder bewegen noch angreifen kann.",Betäubt.,6,12,0,3,0,0,0
34,Erhöht das Angriffs- und Zaubertempo aller Verbündeten innerhalb von $A@effectindex Metern um den Einschlagsort $d lang um $s@effectindex%.,Angriffs- und Zaubertempo um $s@effectindex% erhöht.,6,193,1,6,0,0,0
35,"Betäubt alle Gegner innerhalb von $A@effectindex Metern, sodass sie sich $d lang weder bewegen noch angreifen können.",Betäubt.,6,12,0,7,0,0,0
36,"Betäubt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort, sodass sie sich $d lang weder bewegen noch angreifen können.",Betäubt.,6,12,0,5,0,0,0
37,Heilt einen Verbündeten um $s@effectindex% seiner maximalen Gesundheit.,,136,0,1,2,0,0,0
38,Macht einen Gegner bis zu $d lang bewegungsunfähig.,Bewegungsunfähig.,6,26,0,3,0,20,0
42,Fügt einem Gegner $d lang alle $t@effectindex Sek. Schattenschaden zu.,Verursacht alle $t@effectindex Sek. Schattenschaden.,6,70,1,3,32,50,50
43,Fügt einem Gegner körperlichen Schaden zu.,,31,0,1,3,1,50,50
44,Fügt einem Gegner Heiligschaden zu.,,31,0,1,3,2,50,50
45,Fügt einem Gegner Feuerschaden zu.,,31,0,1,3,4,50,50
46,Fügt einem Gegner Naturschaden zu.,,31,0,1,3,8,50,50
47,Fügt einem Gegner Frostschaden zu.,,31,0,1,3,16,50,50
48,Fügt einem Gegner Schattenschaden zu.,,31,0,1,3,32,50,50
49,Fügt einem Gegner Arkanschaden zu.,,31,0,1,3,64,50,50
50,Fügt einem Gegner Chaosschaden zu.,,31,0,1,3,127,50,50
51,Fügt einem Gegner $d lang alle $t@effectindex Sek. körperlichen Schaden zu.,Verursacht alle $t@effectindex Sek. körperlichen Schaden.,6,70,1,3,1,50,50
52,Fügt einem Gegner $d lang alle $t@effectindex Sek. Heiligschaden zu.,Verursacht alle $t@effectindex Sek. Heiligschaden.,6,70,1,3,2,50,50
53,Fügt einem Gegner $d lang alle $t@effectindex Sek. Feuerschaden zu.,Verursacht alle $t@effectindex Sek. Feuerschaden.,6,70,1,3,4,50,50
54,Fügt einem Gegner $d lang alle $t@effectindex Sek. Naturschaden zu.,Verursacht alle $t@effectindex Sek. Naturschaden.,6,70,1,3,8,50,50
55,Fügt einem Gegner $d lang alle $t@effectindex Sek. Frostschaden zu.,Verursacht alle $t@effectindex Sek. Frostschaden.,6,70,1,3,16,50,50
56,Fügt einem Gegner $d lang alle $t@effectindex Sek. Arkanschaden zu.,Verursacht alle $t@effectindex Sek. Arkanschaden.,6,70,1,3,64,50,50
57,Fügt einem Gegner $d lang alle $t@effectindex Sek. Chaosschaden zu.,Verursacht alle $t@effectindex Sek. Chaosschaden.,6,70,1,3,127,50,50
58,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex körperlichen Schaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex körperlichen Schaden.,6,3,1,1,1,50,50
59,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Heiligschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Heiligschaden.,6,3,1,1,2,50,50
60,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Feuerschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Feuerschaden.,6,3,1,1,4,50,50
61,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Naturschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Naturschaden.,6,3,1,1,8,50,50
62,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Frostschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Frostschaden.,6,3,1,1,16,50,50
63,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Schattenschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Schattenschaden.,6,3,1,1,32,50,50
64,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Arkanschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Arkanschaden.,6,3,1,1,64,50,50
65,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex Chaosschaden zu.,Verursacht alle $t@effectindex Sek. $s@effectindex Chaosschaden.,6,3,1,1,127,50,50
66,Fügt einem Gegner $d lang alle $t@effectindex Sek. körperlichen Schaden zu.,Verursacht alle $t@effectindex Sek. körperlichen Schaden.,6,70,1,1,1,50,50
67,Fügt einem Gegner $d lang alle $t@effectindex Sek. Heiligschaden zu.,Verursacht alle $t@effectindex Sek. Heiligschaden.,6,70,1,1,2,50,50
68,Fügt einem Gegner $d lang alle $t@effectindex Sek. Feuerschaden zu.,Verursacht alle $t@effectindex Sek. Feuerschaden.,6,70,1,1,4,50,50
69,Fügt einem Gegner $d lang alle $t@effectindex Sek. Naturschaden zu.,Verursacht alle $t@effectindex Sek. Naturschaden.,6,70,1,1,8,50,50
70,Fügt einem Gegner $d lang alle $t@effectindex Sek. Frostschaden zu.,Verursacht alle $t@effectindex Sek. Frostschaden.,6,70,1,1,16,50,50
71,Fügt einem Gegner $d lang alle $t@effectindex Sek. Arkanschaden zu.,Verursacht alle $t@effectindex Sek. Arkanschaden.,6,70,1,1,64,50,50
72,Fügt einem Gegner $d lang alle $t@effectindex Sek. Chaosschaden zu.,Verursacht alle $t@effectindex Sek. Chaosschaden.,6,70,1,1,127,50,50
83,Heilt den Zaubernden $d lang alle $t@effectindex Sek. um $s@effectindex% der maximalen Gesundheit.,Heilt alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit.,6,20,1,1,0,0,0
85,Heilt den Zaubernden um $s@effectindex% seiner maximalen Gesundheit.,,136,0,1,1,0,0,0
91,Unterbricht das Zauberwirken aller Gegner innerhalb von $A@effectindex Metern für $d,,68,0,0,7,0,30,0
92,Unterbricht $d lang das Zauberwirken eines Gegners.,,68,0,1,3,1,30,0
93,"Bringt einen Gegner zum Schweigen, sodass er $d lang keine Zauber wirken kann.",Kann keine Zauber wirken.,6,27,0,3,0,30,0
94,Angriffs- und Zaubertempo $d lang um $s@effectindex% verringert.,Angriffs- und Zaubertempo um $s@effectindex% verringert.,6,193,2,3,0,0,0
96,Stößt einen Gegner zurück.,,98,0,1,3,0,0,0
97,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Schaden absorbieren kann.",Absorbiert $s@effectindex Schaden.,6,69,1,1,127,0,0
98,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex körperlichen Schaden absorbieren kann.",Absorbiert $s@effectindex körperlichen Schaden.,6,69,1,1,1,0,0
99,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Heiligschaden absorbieren kann.",Absorbiert $s@effectindex Heiligschaden.,6,69,1,1,2,0,0
100,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Feuerschaden absorbieren kann.",Absorbiert $s@effectindex Feuerschaden.,6,69,1,1,4,0,0
101,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Naturschaden absorbieren kann.",Absorbiert $s@effectindex Naturschaden.,6,69,1,1,8,0,0
102,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Frostschaden absorbieren kann.",Absorbiert $s@effectindex Frostschaden.,6,69,1,1,16,0,0
103,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Schattenschaden absorbieren kann.",Absorbiert $s@effectindex Schattenschaden.,6,69,1,1,32,0,0
104,"Umgibt den Zaubernden mit einem Schild, der $d lang bestehen bleibt und bis zu $s@effectindex Arkanschaden absorbieren kann.",Absorbiert $s@effectindex Arkanschaden.,6,69,1,1,64,0,0
105,Erhöht das Angriffs- und Zaubertempo des Zaubernden $d lang um $s@effectindex%.,Angriffs- und Zaubertempo um $s@effectindex% erhöht.,6,193,1,1,0,10,0
106,Angriffs- und Zaubertempo $d lang um $s@effectindex% verringert.,Angriffs- und Zaubertempo um $s@effectindex% verringert.,6,193,2,1,0,0,0
107,Verringert die Bewegungsgeschwindigkeit um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% verringert.,6,33,1,1,0,0,0
108,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort körperlichen Schaden zu.,,31,0,1,5,1,50,50
109,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Heiligschaden zu.,,31,0,1,5,2,50,50
110,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Feuerschaden zu.,,31,0,1,5,4,50,50
111,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Naturschaden zu.,,31,0,1,5,8,50,50
112,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Frostschaden zu.,,31,0,1,5,16,50,50
113,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Schattenschaden zu.,,31,0,1,5,32,50,50
114,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Arkanschaden zu.,,31,0,1,5,64,50,50
115,Fügt allen Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Chaosschaden zu.,,31,0,1,5,127,50,50
116,Erhöht die Bewegungsgeschwindigkeit des Zaubernden $d lang um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% erhöht.,6,31,1,1,0,10,0
118,Stößt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort zurück.,,98,0,1,5,0,0,0
119,Fügt allen Gegnern innerhalb von $A@effectindex Metern körperlichen Schaden zu.,,31,0,1,7,1,50,50
120,Fügt allen Gegnern innerhalb von $A@effectindex Metern Heiligschaden zu.,,31,0,1,7,2,50,50
121,Fügt allen Gegnern innerhalb von $A@effectindex Metern Feuerschaden zu.,,31,0,1,7,4,50,50
122,Fügt allen Gegnern innerhalb von $A@effectindex Metern Naturschaden zu.,,31,0,1,7,8,50,50
123,Fügt allen Gegnern innerhalb von $A@effectindex Metern Frostschaden zu.,,31,0,1,7,16,50,50
