ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,UiWidgetSetID,UiMapPinInfoID,ObjectiveType
4,Vignette Test Kill,0,0,89,66,0,0,0,0,0,1,0
5,Vignette Test Loot,18071,0,108,0,0,0,0,0,0,0,0
9,Vignette Test Event,10345,0,90,2,0,0,0,0,0,0,0
10,Sternenbrecher Roghash,22188,0,89,0,0,0,0,0,0,0,0
11,Schatzträger der Fara,22189,0,88,0,0,0,0,0,0,0,0
12,Gefangener Draenei,22190,0,89,0,0,0,0,0,0,0,0
13,Der Leerenseher,22191,0,89,0,0,0,0,0,0,0,0
14,Uraka,22192,0,89,0,0,0,0,0,0,0,0
15,Synodicus,22193,0,89,0,0,0,0,0,0,0,0
16,Verteidigungskristall von Embaari,22194,0,90,0,0,0,0,0,0,0,0
17,Mysteriöse Leere,22196,0,90,0,0,0,0,0,0,0,0
18,Der Vernichter,22197,0,89,0,0,0,0,0,0,0,0
19,Prophezeiung von Jerrikar,22198,0,89,0,0,0,0,0,0,0,0
20,Prophezeiung von Kraator,22199,0,89,0,0,0,0,0,0,0,0
21,Prophezeiung des Sphärenwächters,22200,0,89,0,0,0,0,0,0,0,0
22,Konstruktion des Vernichters,22201,0,89,0,0,0,0,0,0,0,0
23,Blattleser Kurri,22202,0,89,0,0,0,0,0,0,0,0
24,Eisenkettenschatz,22203,0,88,0,0,0,0,0,0,0,0
25,Hygrocybe,22205,0,89,0,0,0,0,0,0,0,0
26,Felshuf,22206,0,89,0,0,0,0,0,0,0,0
27,Talby,22213,0,90,0,0,0,0,0,0,0,0
28,Schattenbergschatz,22215,0,88,0,0,0,0,0,0,0,0
29,Bergzoid,22216,0,89,0,0,0,0,0,0,0,0
30,Yggdrel,22217,33389,89,0,0,0,0,0,0,0,0
33,Blutspitz,19147,0,89,0,0,0,0,0,0,0,0
34,Knackzahn,0,0,89,0,0,0,0,0,0,0,0
35,Zangenkiefer,0,0,89,0,0,0,0,0,0,0,0
36,Kwall,0,0,89,0,0,0,0,0,0,0,0
37,Aetha,0,0,89,0,0,0,0,0,0,0,0
38,Geist von Lao-Fe,0,0,89,0,0,0,0,0,0,0,0
39,Bai-Jin der Schlächter,0,0,89,0,0,0,0,0,0,0,0
40,Gochao die Eisenfaust,19146,0,89,0,0,0,0,0,0,0,0
41,Gaohun der Seelenschnitter,19147,0,89,0,0,0,0,0,0,0,0
42,General Temuja,0,0,89,0,0,0,0,0,0,0,0
43,Schattenmeister Sydow,0,0,89,0,0,0,0,0,0,0,0
44,Wulon,0,0,89,0,0,0,0,0,0,0,0
45,Huo-Shuang,19147,0,89,0,0,0,0,0,0,0,0
46,Baolai der Verbrenner,0,0,89,0,0,0,0,0,0,0,0
47,Vyraxxis,0,0,89,0,0,0,0,0,0,0,0
48,Kri'chon,0,0,89,0,0,0,0,0,0,0,0
49,Richtig ranziges Bier,0,0,90,0,50,-50,0,0,0,0,0
50,Zesqua,0,0,89,0,50,-50,0,0,0,0,0
51,Versunkener Schatz,22051,0,88,0,50,-50,0,0,0,0,0
52,Bis auf die Knochen,22056,0,90,0,50,-50,0,0,0,0,0
53,Kranichknirscher,0,0,89,0,50,-50,0,0,0,0,0
54,Schwarzwaches Strandgut,22347,0,88,0,50,0,0,0,0,0,0
55,Kukurus Schatzkammer,0,0,88,0,50,-50,0,0,0,0,0
56,Verschnürte Schatztruhe,0,0,88,8,0,-30,0,0,0,0,0
57,Funkelnde Schatztruhe,0,0,88,8,0,-50,0,0,0,0,0
58,Funkelnder Schatzbeutel,0,0,88,8,50,-50,0,0,0,0,0
59,Chelon,0,0,89,0,50,-50,0,0,0,0,0
60,Karkanos,0,0,89,0,50,-50,0,0,0,0,0
61,Schlacht um die Seepocke,0,0,90,0,0,0,0,0,0,0,0
62,Jeremy's Test Vignette,0,0,252,66,0,0,0,0,0,0,0
63,Mondfang,0,0,89,0,0,0,0,0,0,0,0
64,Einsturzstelle,22415,0,90,0,50,-50,0,0,0,0,0
65,Eisenfellstahlhorn,0,0,89,0,50,-50,0,0,0,0,0
66,Blattheiler,0,0,89,0,0,-50,0,0,0,0,0
67,Großschildkröte Zornpanzer,0,0,89,0,50,-50,0,0,0,0,0
68,Smaragdkranich,0,0,89,0,50,-50,0,0,0,0,0
69,Gu'chi der Schwarmbringer,0,0,89,0,50,-50,0,0,0,0,0
70,Jadefeuergeist,22604,0,89,0,50,-50,0,0,0,0,0
71,Klapperknochen,0,0,89,0,50,-50,0,0,0,0,0
72,Whizzig,0,0,90,0,50,-50,0,0,0,0,0
73,Zhu-Gon der Saure,0,0,89,0,50,-50,0,0,0,0,0
74,Spelurk,0,0,89,0,50,-50,0,0,0,0,0
75,Garnia,120653,0,977,66660,0,0,0,0,0,0,0
76,Steinmoos,120653,0,977,66660,0,0,0,0,0,0,0
77,Glutfall,120653,0,977,66660,0,0,0,0,0,0,0
78,Tsavo'ka,120653,0,977,66660,0,0,0,0,0,0,0
79,Huolon,120653,0,977,66660,0,0,0,0,0,0,0
80,Monströse Dornzange,120653,0,977,66660,0,0,0,0,0,0,0
81,Bufo,120653,0,977,66660,0,0,0,0,0,0,0
82,Schreckensschiff Vazuvius,120653,0,977,66660,0,0,0,0,0,0,0
83,Golganarr,120653,0,977,66660,0,0,0,0,0,0,0
84,Kaiserpython,120653,0,977,66660,0,0,0,0,0,0,0
85,Tiefenschlund,120653,0,977,66660,0,0,0,0,0,0,0
86,Archiereus der Flamme,120653,0,977,66660,0,0,0,0,0,0,0
87,Behüter Osu,120653,0,977,66660,0,0,0,0,0,0,0
88,Urdur der Kauterisierer,120653,0,977,66660,0,0,0,0,0,0,0
89,Jakur von Ordos,120653,0,977,66660,0,0,0,0,0,0,0
