ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Bluttodesritter,Bluttodesritter,Bluttodesritter,3487,6,0,0
3,Frosttodesritter,Frosttodesritter,Frosttodesritter,3487,7,0,0
4,Unheiligtodesritter,Unheiligtodesritter,Unheiligtodesritter,3487,8,0,0
5,Gleichgewichtsdruide,Gleichgewichtsdruide,Gleichgewichtsdruidin,3485,9,0,0
7,Wildheitsdruide,Wildheitsdruide,Wildheitsdruidin,3485,10,0,0
8,Wächterdruide,Wächterdruide,Wächterdruidin,3485,11,0,0
9,Wiederherstellungsdruide,Wiederherstellungsdruide,Wiederherstellungsdruidin,3485,12,0,0
10,Tierherrschaftsjäger,Tierherrschaftsjäger,Tierherrschaftsjägerin,3477,13,0,0
12,Treffsicherheitsjäger,Treffsicherheitsjäger,Treffsicherheitsjägerin,3477,14,0,0
13,Überlebensjäger,Überlebensjäger,Überlebensjägerin,3477,15,0,0
14,Arkanmagier,Arkanmagier,Arkanmagierin,3482,16,0,0
15,Feuermagier,Feuermagier,Feuermagierin,3482,17,0,0
16,Frostmagier,Frostmagier,Frostmagierin,3482,18,0,0
17,Braumeistermönch,Braumeistermönch,Braumeistermönch,3480,19,0,0
18,Nebelwirkermönch,Nebelwirkermönch,Nebelwirkermönch,3480,20,0,0
19,Windläufermönch,Windläufermönch,Windläufermönch,3480,21,0,0
20,Heiligpaladin,Heiligpaladin,Heiligpaladin,3486,22,0,0
21,Schutzpaladin,Schutzpaladin,Schutzpaladin,3486,23,0,0
22,Vergeltungspaladin,Vergeltungspaladin,Vergeltungspaladin,3486,24,0,0
23,Disziplinpriester,Disziplinpriester,Disziplinpriesterin,3479,25,0,0
24,Heiligpriester,Heiligpriester,Heiligpriesterin,3479,26,0,0
25,Schattenpriester,Schattenpriester,Schattenpriesterin,3479,27,0,0
26,Meuchelschurke,Meuchelschurke,Meuchelschurkin,3481,28,0,0
27,Kampfschurke,Kampfschurke,Kampfschurkin,3481,29,0,0
28,Täuschungsschurke,Täuschungsschurke,Täuschungsschurkin,3481,30,0,0
29,Elementarschamane,Elementarschamane,Elementarschamanin,3484,31,0,0
30,Verstärkungsschamane,Verstärkungsschamane,Verstärkungsschamanin,3484,32,0,0
31,Wiederherstellungsschamane,Wiederherstellungsschamane,Wiederherstellungsschamanin,3484,33,0,0
32,Gebrechenhexenmeister,Gebrechenhexenmeister,Gebrechenhexenmeisterin,3483,34,0,0
33,Dämonologiehexenmeister,Dämonologiehexenmeister,Dämonologiehexenmeisterin,3483,35,0,0
34,Zerstörungshexenmeister,Zerstörungshexenmeister,Zerstörungshexenmeisterin,3483,36,0,0
35,Waffenkrieger,Waffenkrieger,Waffenkriegerin,3478,37,0,0
37,Furorkrieger,Furorkrieger,Furorkriegerin,3478,38,0,0
38,Schutzkrieger,Schutzkrieger,Schutzkriegerin,3478,39,0,0
53,Transporter,Transporter,Transportschiff,4597,0,0,0
54,Zerstörer,Zerstörer,Zerstörer,4620,0,0,0
55,Träger,Träger,Flugzeugträger,4838,0,0,0
56,Schlachtschiff,Schlachtschiff,Schlachtschiff,4601,0,0,0
57,U-Boot,U-Boot,U-Boot,4609,0,0,0
58,Transporter,Transporter,Transportschiff,4597,0,0,0
59,Zerstörer,Zerstörer,Zerstörer,4568,0,0,0
60,Träger,Träger,Flugzeugträger,4842,0,0,0
61,Schlachtschiff,Schlachtschiff,Schlachtschiff,4601,0,0,0
62,U-Boot,U-Boot,U-Boot,4605,0,0,0
63,Verwüstungsdämonenjäger,Verwüstungsdämonenjäger,Verwüstungsdämonenjägerin,5939,0,0,0
64,Rachsuchtdämonenjäger,Rachsuchtdämonenjäger,Rachsuchtdämonenjägerin,5940,0,0,0
65,Schüler des Kranichs,Schüler des Kranichs,Schülerin des Kranichs,3480,0,4,3
66,Schüler des Tigers,Schüler des Tigers,Schülerin des Tigers,3480,0,2,3
67,Schüler des Ochsen,Schüler des Ochsen,Schülerin des Ochsen,3480,0,3,3
68,Braumeistermönch,Braumeistermönch,Braumeistermönch,5951,0,0,0
69,Nebelwirkermönch,Nebelwirkermönch,Nebelwirkermönch,5952,0,0,0
70,Windläufermönch,Windläufermönch,Windläufermönch,5953,0,0,0
72,Arkanisten,Arkanisten,Arkanisten,3482,0,2,3
73,Elementare,Elementare,Elementare,3482,0,3,3
74,Mage C Troop,Mage C Troop,,3482,0,4,3
75,Auferstandene Horde,Auferstandene Horde,Auferstandene Horde,3487,0,3,3
76,Soldaten der Schwarzen Klinge,Soldaten der Schwarzen Klinge,Soldaten der Schwarzen Klinge,3487,0,2,3
77,Monstrosität,Monstrosität,Monstrosität,3487,0,1,3
79,Die Zerschlagenen,Die Zerschlagenen,Die Zerschlagenen,5940,0,3,3
80,Krieger der Illidari,Krieger der Illidari,Krieger der Illidari,5940,0,2,3
81,Waldfreunde,Waldfreunde,Waldfreunde,3485,0,3,3
82,Hainwächter,Hainwächter,Hainwächter,3485,0,2,3
84,Hunter C Troop,Hunter C Troop,,3477,0,4,3
85,Waidmänner,Waidmänner,Waidmänner,3477,0,2,3
86,Jagdschützen,Jagdschützen,Jagdschützen,3477,0,3,3
87,Rekruten der Silbernen Hand,Rekruten der Silbernen Hand,Rekruten der Silbernen Hand,3486,0,3,3
88,Offiziere der Silbernen Hand,Offiziere der Silbernen Hand,Offiziere der Silbernen Hand,3486,0,2,3
89,Paladin C Troop,Paladin C Troop,,3486,0,4,3
90,Priest C Troop,Priest C Troop,,3479,0,4,3
91,Akolythen,Akolythen,Akolythen,3479,0,3,3
92,Zeloten,Zeloten,Zeloten,3479,0,2,3
93,Briganten,Briganten,Briganten,3481,0,3,3
94,Bukaniere,Bukaniere,Bukaniere,3481,0,2,3
95,Rogue C Troop,Rogue C Troop,,3481,0,4,3
96,Urtum des Krieges,Urtum des Krieges,Urtum des Krieges,3485,0,1,3
97,Elementare,Elementare,Elementare,3484,0,3,3
98,Erdenrufer,Erdenrufer,Erdenrufer,3484,0,2,3
99,Valarjar,Valarjar,Valarjar,3478,0,3,3
100,Schildmaiden,Schildmaiden,Schildmaiden,3478,0,2,3
101,Warrior C Troop,Warrior C Troop,,3478,0,4,3
102,Dämonische Horde,Dämonische Horde,Dämonische Horde,3483,0,3,3
103,Diener der Schwarzen Ernte,Diener der Schwarzen Ernte,Diener der Schwarzen Ernte,3483,0,2,3
104,Teufelswache,Teufelswache,Teufelswache,3483,0,1,3
105,Erhabener,Erhabener,Erhabene,3480,0,1,3
108,Bluttodesritter,Bluttodesritter,Bluttodesritter,5936,6,0,0
109,Frosttodesritter,Frosttodesritter,Frosttodesritter,5937,7,0,0
110,Unheiligtodesritter,Unheiligtodesritter,Unheiligtodesritter,5938,8,0,0
111,Gleichgewichtsdruide,Gleichgewichtsdruide,Gleichgewichtsdruidin,5941,0,0,0
112,Wildheitsdruide,Wildheitsdruide,Wildheitsdruidin,5942,0,0,0
113,Wächterdruide,Wächterdruide,Wächterdruidin,5943,0,0,0
114,Wiederherstellungsdruide,Wiederherstellungsdruide,Wiederherstellungsdruidin,5944,0,0,0
115,Tierherrschaftsjäger,Tierherrschaftsjäger,Tierherrschaftsjägerin,5945,0,0,0
116,Treffsicherheitsjäger,Treffsicherheitsjäger,Treffsicherheitsjägerin,5946,0,0,0
117,Überlebensjäger,Überlebensjäger,Überlebensjägerin,5947,0,0,0
118,Arkanmagier,Arkanmagier,Arkanmagierin,5948,0,0,0
119,Feuermagier,Feuermagier,Feuermagierin,5949,0,0,0
120,Frostmagier,Frostmagier,Frostmagierin,5950,0,0,0
121,Heiligpaladin,Heiligpaladin,Heiligpaladin,5954,0,0,0
122,Schutzpaladin,Schutzpaladin,Schutzpaladin,5955,0,0,0
123,Vergeltungspaladin,Vergeltungspaladin,Vergeltungspaladin,5956,0,0,0
124,Disziplinpriester,Disziplinpriester,Disziplinpriesterin,5957,0,0,0
125,Heiligpriester,Heiligpriester,Heiligpriesterin,5958,0,0,0
126,Schattenpriester,Schattenpriester,Schattenpriesterin,5959,0,0,0
127,Meuchelschurke,Meuchelschurke,Meuchelschurkin,5960,0,0,0
128,Gesetzloser Schurke,Gesetzloser Schurke,Gesetzlose Schurkin,5961,0,0,0
129,Täuschungsschurke,Täuschungsschurke,Täuschungsschurkin,5962,0,0,0
130,Elementarschamane,Elementarschamane,Elementarschamanin,5963,0,0,0
131,Verstärkungsschamane,Verstärkungsschamane,Verstärkungsschamanin,5964,0,0,0
132,Wiederherstellungsschamane,Wiederherstellungsschamane,Wiederherstellungsschamanin,5965,0,0,0
133,Gebrechenhexenmeister,Gebrechenhexenmeister,Gebrechenhexenmeisterin,5966,0,0,0
134,Dämonologiehexenmeister,Dämonologiehexenmeister,Dämonologiehexenmeisterin,5967,0,0,0
135,Zerstörungshexenmeister,Zerstörungshexenmeister,Zerstörungshexenmeisterin,5968,0,0,0
136,Waffenkrieger,Waffenkrieger,Waffenkriegerin,5969,0,0,0
137,Furorkrieger,Furorkrieger,Furorkriegerin,5970,0,0,0
138,Schutzkrieger,Schutzkrieger,Schutzkriegerin,5971,0,0,0
139,Aszendenten,Aszendenten,Aszendenten,3484,0,1,3
140,Ausgestoßener,Ausgestoßener,Ausgestoßene,6163,0,0,0
141,Turmwärter,Turmwärter,Turmwärter,6219,0,0,0
142,Dinnergast,Dinnergast,Dinnergast,6219,0,1,1
143,Kämpfer,Kämpfer,Kämpfer,6219,0,0,0
144,Schläger der Echsennarbe,Schläger der Echsennarbe,Schläger der Echsennarbe,5940,0,1,3
145,Krieger der Grimmtotems,Krieger der Grimmtotems,Krieger der Grimmtotems,3484,0,1,3
146,avagner - test,,,6159,0,0,1
147,Wächter der Kirin Tor,Elementare,Wächter der Kirin Tor,3482,0,2,3
148,Frosthäscher der Schwarzen Klinge,Elementare,Frosthäscher der Schwarzen Klinge,3487,0,2,3
149,Stoßtrupp,Elementare,Stoßtrupp,3478,0,2,3
150,Wächter des Hains der Träume,Elementare,Wächter des Hains der Träume,3485,0,2,3
151,Shivarra,Elementare,Shivarra,5940,0,2,3
