ID,InfoName_lang,Type,Modifiers,Profession
1,Gruppe,0,2,0
21,Klasse,0,0,0
41,PvP,0,0,0
62,Schlachtzug,0,0,0
81,Dungeon,0,0,0
82,Weltereignis,0,0,0
83,Legendär,0,0,0
84,Eskorte,0,0,0
85,Heroisch,0,0,0
88,Schlachtzug (10),0,0,0
89,Schlachtzug (25),0,0,0
98,Szenario,0,0,0
104,Side Quest,0,0,0
107,Artefakt,0,0,0
109,Weltquest,2,256,0
110,Epische Weltquest,2,268,0
111,Eliteweltquest,2,258,0
112,Epische Eliteweltquest,2,334,0
113,PvP-Weltquest,3,256,0
114,Erste-Hilfe-Weltquest,1,256,129
115,Kampfhaustier-Weltquest,4,256,0
116,Schmiedekunst-Weltquest,1,256,164
117,Lederverarbeitung-Weltquest,1,256,165
118,Alchemie-Weltquest,1,256,171
119,Kräuterkunde-Weltquest,1,256,182
120,Bergbau-Weltquest,1,256,186
121,Schneiderei-Weltquest,1,256,197
122,Ingenieurskunst-Weltquest,1,256,202
123,Verzauberkunst-Weltquest,1,256,333
124,Kürschnerei-Weltquest,1,256,393
125,Juwelierskunst-Weltquest,1,256,755
126,Inschriftenkunde-Weltquest,1,256,773
128,Abgesandtenquest,5,272,0
129,Archäologieweltquest,1,256,794
130,Angelnweltquest,1,256,356
131,Kochkunstweltquest,1,256,185
135,Seltene Weltquest,2,257,0
136,Seltene Eliteweltquest,2,267,0
137,Dungeonweltquest,6,267,0
139,Weltquest: Legionsinvasion,7,296,0
140,Wertungsbelohnung,3,272,0
141,Schlachtzugsweltquest,8,266,0
142,Eliteweltquest: Legionsinvasion,7,266,0
143,Beitrag der Legionsrichter,9,272,0
144,Weltquest der Legionsrichter,2,334,0
145,Dungeonweltquest der Legionsrichter,6,331,0
146,Legion Invasion World Quest Wrapper,11,0,0
147,Kriegsfront - Brachland,0,0,0
148,Taschendiebstahl,0,0,0
151,Magnis Weltquest - Azerit,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,Beitrag für die Kriegsfront,9,272,0
254,Inselquest,0,0,0
255,PvP im Kriegsmodus,0,0,0
256,PvP-Eroberung,10,272,0
259,Weltquest: Fraktionsangriff,12,360,0
260,Eliteweltquest: Fraktionsangriff,12,330,0
261,Wöchentliche Inselquest,13,144,0
263,Öffentliche Quest,0,16,0
264,Ziel der Bedrohung,5,272,0
265,Verborgene Quest,5,272,0
266,Kampfgefährtenquest,0,0,0
267,Berufe,0,0,0
268,Fortschritt der Bedrohung,14,272,0
270,Abgesandtenquest der Bedrohung,14,272,0
271,Berufungsquest,15,0,0
272,VenthyrPartyQuest,2,448,0
273,Spürbold der Schlundseelenbrut,5,272,0
278,PvP-Eliteweltquest,3,258,0
279,Gesandtenauftrag der Verbotenen Insel,9,0,0
281,Drachenreiterrennen,16,0,0
282,Wichtige Quest,0,1024,0
283,Bonusziel mit Abschlussspruch,0,512,0
284,Metaquest,0,2048,0
286,Decksteinweltquest,17,266,0
287,Decksteinblocker,5,272,0
288,Tiefe,0,0,0
289,Weltboss,18,334,0
291,Hidden NYI,0,272,0
292,Wichtige Quest (Kann nicht abgebrochen werden),0,1280,0
