ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,Akunda der Akunda,,1
4,Akunda der Allwissende,,1
5,Akunda der Sorgenvolle,,1
6,Akunda der Gerissene,,1
7,Akunda der Schmunzelnde,,1
8,Akunda der Schroffe,,1
9,Akunda der Schlaue,,1
10,Akunda der Verurteilte,,1
11,Akunda der Neckische,,1
12,Akunda der Exzentrische,,1
13,Akunda der Überschwängliche,,1
14,Akunda der Unterstützende,,1
15,Akunda der Vergessliche,,1
16,Akunda der Loyale,,1
17,Akunda der Ahnungslose,,1
18,Akunda das Original,,1
19,Akunda der Passiv-Aggressive,,1
20,Akunda der Reuevolle,,1
21,Akunda der Geachtete,,1
22,Akunda der Ehrfürchtige,,1
23,Akunda der Zastamann,,1
24,Akunda der Einzigartige,,1
25,Akunda der Unerschütterliche,,1
26,Gesättigter Schnappdrache,,1
27,Droozun,,1
28,Ghaanam,,1
29,Thoodhon,,1
30,Greenom,,1
31,Pryyshin,,1
32,Flaadym,,1
33,Khaalum,,1
34,Maagrym,,1
35,Thogro der Verschlinger,,0
36,Khemkan die Mitleidlose,,0
37,Xzzikti der Deserteur,,0
38,Manifestierter Ärger,,1
39,Manifestierte Furcht,,1
40,Manifestierte Einsamkeit,,1
41,Manifestierte Bitterkeit,,1
42,Manifestierter Schmerz,,1
43,Manifestierter Zweifel,,1
44,Manifestierte Trauer,,1
45,Manifestierter Verlust,,1
46,Manifestierte Sorge,,1
47,Manifestierter Kummer,,1
48,Anschwellender Hass,,1
49,Wachsender Schrecken,,1
50,Wachsende Isolation,,1
51,Wachsende Verzweiflung,,1
52,Wachsende Agonie,,1
53,Wachsende Folter,,1
54,Illusionärer Stachel,,0
55,Illusionärer Säbelzahn,,0
56,Illusionärer Zermalmer,,0
57,Illusionärer Behemoth,,0
58,Manifestation der Angst,,0
59,Pallaval der Verzerrte,,0
60,Trikidi die Blutige,,0
61,Zee'Gee'Tee die Fanatikerin,,0
62,Lilizzinnk die Obszöne,,0
63,Boppe der Geschmähte,,0
64,Vortophe der Unaussprechliche,,0
65,Jonapa die Opulente,,0
66,Maynard,,0
67,Der Gehörnte Jäger,,0
68,Hohepriesterin Selenis,,0
69,Beißi McStichfratz,,0
70,Yu'gaz,,0
71,Reginald,,0
72,Pikko,,0
73,Der Muskel,,1
74,Zill'kee die Weltenschnitterin,,0
75,Moongo der Sonnenkönig,,0
76,Jünger des Mutes,,0
77,Rathborn,,0
78,Thultain,,0
79,Mal'endra,,0
80,Fel'endae,,0
81,Verängstigte Schickeria,,0
82,Spiegelbild,,1
83,Verhüllter Arkanist,,0
84,Manifestation des Stolzes,,0
85,Manifestation der Arroganz,,0
86,Manifestation der Hybris,,0
87,Manifestation der Selbstsucht,,0
88,Manifestation des Narzissmus,,0
89,Manifestation der Egomanie,,0
90,Manifestation der Paranoia,,0
91,Tibo,,0
92,Kimos,,0
93,Ilapos,,0
94,Bumos,,0
95,Dintos,,0
96,Gramilos,,0
97,Isilios,,0
98,Abalus,,0
99,Ipadipos,,0
100,Pico,,0
101,Haka,,0
102,Dafi,,0
103,Thima,,0
104,Arathane,,0
105,Syla,,0
106,Farra,,0
107,Korinthe,,0
108,Asellia,,0
109,Minta,,0
110,Laratis,,0
111,Bola,,0
112,Apa,,0
113,Deka,,0
114,Koukis,,0
115,Akiris,,0
116,Ipa,,0
117,Toulis,,0
118,Zenza,,0
119,Chaermi,,0
120,Mupu,,0
121,Gefallener Aspirant,,0
122,Zuschauer,,0
123,Bürde des Lebens,,0
124,Argentumkreuzfahrer,,1
125,Durstiger Gast,,0
126,Hungriger Gast,,0
127,Dorfbewohner von Tirna Scithe,,0
128,Infektiöser Zombie,,1
129,Gefallener Aspirant Eolis,,0
130,Gefangener Seelenschinder,,0
131,Ausgestoßene Wut,,0
132,Ausgestoßener Jähzorn,,0
133,Ausgestoßener Ärger,,0
134,Ausgestoßener Hass,,0
135,Ausgestoßener Zorn,,0
136,Ausgestoßene Feindseligkeit,,0
137,Ausgestoßene Bösartigkeit,,0
138,Ausgestoßener Groll,,0
139,Ausgestoßene Maßlosigkeit,,0
140,Ausgestoßener Hunger,,0
141,Ausgestoßenes Frönen,,0
142,Ausgestoßenes Verlangen,,0
144,Vorbeiziehendes Echo,,0
145,Flüchtige Erinnerung,,0
146,Wandernde Reflexion,,0
147,Schwindender Überrest,,0
148,Liriana,,0
149,Ordstark,,0
150,Lorra von den Webern,,0
151,Borial Iosa,,0
152,Raxxat,,0
153,Bravalat,,0
154,Ramorra,,0
155,Toloria von den Eifrigen,,0
156,Majar'Ta,,0
157,Weisheit der Roola,,0
158,Zorn der Roola,,0
159,Sühne der Roola,,0
160,Virielle,,0
161,R'ty'ghn,,0
162,Loret Ty'mana,,0
163,Uima Uima,,0
164,Limao Yuna,,0
165,Sawo von den Uralten,,0
166,Quip der Flinke,,0
167,Bassilion Quash,,0
168,Jassa Ruash,,0
169,Jasslina,,0
170,Jassona,,0
171,Brilla die Großzügige,,0
172,Gur von der Klinge,,0
173,Spukit Shlau,,0
174,Havan von den Tivan,,0
175,Galooft Eir,,0
176,Rashtar der Weise,,0
177,Ro Sternenlicht,,0
178,Ri Sternenlicht,,0
179,Mysterion der Liebe,,0
180,Polron der Große,,0
181,Reska von den Demütigen,,0
182,Jar Lom,,0
183,Geehrter Harrish von Xel,,0
184,Radsur des Krieges,,0
185,Fioni Hoffnungsbringer,,0
186,Himmelsfürstin Thienna,,0
187,Himmelsfürst Vastuk,,0
188,Mysterion des Schicksals,,0
189,Aoifena die Wohlwollende,,0
190,Largena Willensbrecher,,0
191,Lessa des Herzens,,0
192,Gop der Favi,,0
193,Larian Dunkelseele,,0
194,Kasha Seelenseher,,0
195,Gilean der Lehren,,0
196,Forrida der Hingabe,,0
197,Verhüllter Fremdling,,0
198,Rogi,,0
199,Schmuddler,,0
200,Jeebs,,0
201,Schmitters,,0
202,Hicks,,0
203,Siffwart Schlammington III.,,0
204,Belwi,,0
205,Wustur,,0
206,Krethi,,0
207,Egor,,0
208,Grabwart,,0
209,Furgus,,0
210,Colem,,0
211,Panns,,0
212,Drecki,,0
213,Dobb,,0
214,Fegi,,0
215,Kupferwart,,0
216,Fred,,0
217,Plethi,,0
218,Temporalblätterkatalysator,,0
219,Katalysator der wilden Nachtblüte,,0
220,Wildsamenwurzelfaserkatalysator,,0
221,Angelstegbaustelle,,0
222,Angelsteg,,0
224,Markgräfin Draka,,1
225,Würdige Seele,,0
226,Ly'gend,,1
227,Fa'lesh,,1
228,Be'truuk,,1
229,Du'byos,,1
230,Mo'gell,,1
231,Ge'felsh,,1
232,Gehorsame Schlundratte,,0
233,Ermächtigter schlundgebundener Fessler,,0
234,Schlundgebundenes Kauspielzeug,,0
235,Würdige Val'kyrherausforderin,,0
236,Polemarch Kalisthene,,0
237,Aufdringlicher Abnehmer,,0
238,Zittriger Zotenreißer,,0
239,Begüterter Beobachter,,0
240,Bullischer Bieter,,0
241,Großspuriger Gutachter,,0
242,Hochmütiger Händler,,0
243,Knurriger Konsument,,0
244,Klammer Kunde,,0
245,Despektierlicher Dokumentarist,,0
246,Genügsamer Gauner,,0
247,Verdächtiger Verbraucher,,0
248,Komplizierter Käufer,,0
249,Armer Angeber,,0
250,Fahriger Feilscher,,0
251,Taktloser Tauschhändler,,0
252,Portalmagier Zo'honn,,0
253,Portalmagier Zo'dahh,,0
254,Portalmagier Zo'nyy,,0
255,Gierender Gast,,0
256,Kommunikativer Klient,,0
257,Distinguierter Dauergast,,0
258,Bedrückter Besucher,,0
259,Spießiger Salonlöwe,,0
260,Trunkener Tourist,,0
261,Schatzschnüfflergromit,Guter Junge,0
262,Schatzschnüfflergromit,Gutester Junge,0
263,Schatzschnüfflergromit,Bester Junge,0
264,Vazzeran der Erleuchtete,,1
265,Kleia,Hand der Hingabe,0
266,Air Blade,,1
267,Marauder,,1
268,Dirt Devil,,1
269,Battle Trak,,1
270,Havac,,1
272,Olea Hanoa,,0
273,Schreckenslordinfiltrator,,1
274,Körperlicher Schatten,,0
275,Verteidigungsmatrixautoma,,1
276,Degenerationsautoma,,1
277,Wächterautoma,,1
278,Akquisitionsautoma,,1
279,Mal'Ganis,Der Ewige,0
280,Kin'tessa,Die Betörerin,0
281,Plünderndes Automa: Neo,,1
282,Stabilisierter Elementar,,1
283,Turbogangkern,,0
284,Arkanes Abbild,,0
285,Aufmerksamer Wächter,,1
286,Befriedeter Bediensteter,,1
287,Opportunistischer Pirscher,,0
288,Aufstrebender Unterboss,,0
289,Durchtriebener Schamane,,0
290,,,0
291,Infiltrator der Nathrezim,,0
292,Getröstete Krabbe,,0
293,Gerettete Meeresschildkröte,,0
294,Gerettetes Schildkrötenjunges,,0
295,Geretteter Wasservogel,,0
296,Gerettete Flussbestie,,0
297,Gerettetes Flussbestienkalb,,0
298,"""Freundlicher"" Gnoll",,1
299,Geretteter Basilisk,,0
