ID,Name_lang,EnumID
1,Fertigkeit,0
2,Inspiration,1
3,Einfallsreichtum,2
4,Finesse,3
5,Gewandtheit,4
6,Wahrnehmung,5
7,Herstellungsgeschwindigkeit,6
8,Mehrfachherstellung,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Inspiration,9
11,Einfallsreichtum,10
12,Finesse,11
13,Gewandtheit,12
14,Wahrnehmung,13
15,Herstellungsgeschwindigkeit,14
16,Mehrfachherstellung,15
17,Gewandtheit,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Schwierigkeitsgrad verringern,22
24,Schwierigkeitsgrad erhöhen,23
25,Fertigkeiterhöhung ändern,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Genialität,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Genialität,29
31,Ingenuity Refund Increase (DNT - write manually!),30
